Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2007,0,26.85855856,20.42335918,1285.74,26.83990991,14.88399399,942.7,27.77237237,16.32642643
2008,727.4,25.94,19.54413351,1373.33,26.18073239,14.76276056,1179.5,26.7284507,15.66169014
2009,734.4,27.47674419,21.39660702,615.78,27.47387597,17.5396124,737.8,28.10465116,18.06511628
2010,767.4,26.31428571,20.05082083,579.78,27.25763265,14.80436735,798.8,27.22040816,16.14163265
2011,803,26.40378151,20.19268512,848.78,27.2462605,15.47298319,979.1,27.02815126,16.15714286
2012,1447.4,27.06827586,21.06675285,1080.87,28.35013793,16.16113793,1336,27.76172414,17.16241379
2013,968.6,25.83578947,19.90501423,719.3,26.03747368,14.99715789,837.6,26.85421053,15.89631579
2014,526.6,28.27727273,21.56518308,447.94,30.49924242,16.1975,526.9,28.88181818,17.23333333
2015,1937.2,26.70054795,20.92179224,1460.07,27.56816438,16.36591781,1832.5,27.30410959,17.39917808
2016,1378.4,26.49505495,20.33932441,1236.8,26.69818681,15.27123626,1551.7,27.10082418,16.51126374
2017,1968,26.57707182,20.61359947,1433.36,27.03748619,15.6851105,1991.6,27.18342541,16.91546961
2018,1118,27.46313559,21.30395739,996.76,28.11144068,16.76182203,962.4,28.07076271,17.65550847
2019,977.8,27.37902736,21.10190357,857.55,28.73714286,16.09951368,1066.2,27.9881459,17.11094225
