Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2007,1650.2,28.85718232,16.98453039,1466.67,28.90022099,16.16157459,1543.4,29.06022099,17.09116022
2008,1270.6,27.85273224,16.20874317,1284.22,28.33907104,15.78174863,1246.3,28.06939891,16.36584699
2009,464.2,26.83397436,15.69679487,537.99,26.80487179,15.48301282,510,27.11217949,15.90192308
2010,722.8,28.21054313,16.26709265,698.63,28.85651757,15.73370607,795,28.45878594,16.37348243
2011,1405.4,28.09559229,16.42506887,1247.28,28.58066116,15.88002755,1535,28.32672176,16.51818182
2012,1271.4,28.6509589,17.1430137,1108.32,29.62961644,16.74164384,1304.6,28.87835616,17.20547945
2013,1318.6,28.08103448,17.50793103,1255.89,28.65441379,17.13558621,1374.3,28.33103448,17.63068966
2014,827.2,29.03416149,17.11428571,776.51,30.27826087,16.60897516,888.3,29.27453416,17.19782609
2015,1392,28.6939726,17.77150685,1324.74,29.44216438,17.32978082,1480,28.92164384,17.87534247
2016,1058,28.46197605,16.54580838,1107.83,28.40637725,15.84287425,1410,28.68473054,16.65868263
2017,1389.8,28.67506849,17.15452055,1232.33,29.04194521,16.58358904,1568.5,28.90246575,17.24109589
2018,1084.8,29.24921136,17.7488959,1041.38,29.74921136,17.4829653,1136.4,29.47728707,17.88044164
2019,839.8,29.72986301,17.66054795,759.02,31.15246575,17.36331507,1065.5,29.93178082,17.74164384
2001,611.4,29.37692308,17.48547009,588.51,30.53034188,16.84538462,543,29.61623932,17.64358974
2002,822.8,28.81196172,17.09808612,746.8,29.1677512,16.41521531,693.8,29.07607656,17.34210526
2003,1146.8,28.47936508,16.45333333,1188.43,28.48749206,15.56060317,984.2,28.70031746,16.61746032
2004,555,29.85306122,18.67040816,619.78,30.2494898,18.37795918,505.2,30.06122449,18.77653061
2005,1279.6,28.34876543,17.48240741,1024.08,29.08074074,16.21746914,1206.1,28.57253086,17.66234568
2006,1036.4,28.94077381,16.89791667,1012.02,29.59074405,16.25029762,956.6,29.1485119,17.10208333
2020,642.6,28.3028169,16.70704225,436.56,30.16347418,16.02544601,709.8,28.52629108,16.80422535
