Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,955.8,29.95294118,25.68391544,1156.41,27.11658088,24.94886029,1091.6,29.96544118,22.51838235
2018,492.8,30.68759124,25.75758819,587.87,27.41642336,25.01989051,471.9,30.6919708,22.13284672
2019,1040.2,31.56356164,26.40602738,1044.19,28.16868493,25.77580822,953.8,31.56520548,22.72383562
2020,960.8,31.45789474,26.77877024,791.81,28.72092105,26.56657895,882.5,31.4625,23.46447368
2009,1865,30.91464088,26.30714214,1187.24,28.00936464,25.68864641,1657.6,30.91878453,22.93950276
2010,1450.6,30.92214984,26.35449738,782.97,28.07739414,25.70970684,1268.3,30.92508143,23.11107492
2011,1306.4,29.73728223,25.52281173,896.68,27.26240418,25.07289199,1162.6,29.74216028,22.42578397
2012,872.6,30.53727811,25.71162475,594.89,27.4552071,25.02926036,811.8,30.54289941,22.06597633
2013,1333,30.68559557,26.09184605,901.12,27.80742382,25.44620499,1248.5,30.69058172,22.68919668
2014,814,30.80181159,26.14325179,586.76,27.92898551,25.51753623,825.6,30.81956522,22.5923913
2015,1163.8,30.88356164,26.12169844,873.65,27.97336986,25.50893151,969.2,30.9739726,22.44849315
2016,334.8,32.22146893,27.27117828,285.45,28.78451977,26.23519774,306.7,32.2519774,23.53389831
