Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1112.8,32.24513619,24.52910807,1025.48,30.90319066,19.4181323,1045.7,32.21439689,18.62023346
2018,1507.4,31.60356164,24.03701361,1189.96,30.02942466,19.03257534,1322.1,31.58438356,18.33260274
2019,1284.8,31.79754386,24.461805,996.37,30.35245614,19.78066667,1252,31.80105263,19.03649123
2020,951,30.66056338,23.19181889,609.3,29.74685446,18.55769953,850.6,30.6629108,17.63755869
2009,1299.4,29.99475138,23.50268536,1480,28.91171271,18.80928177,1727.9,30.12845304,18.82734807
2010,1163.6,30.48181818,23.74875924,1076.83,29.46639296,18.03894428,1210.7,30.64164223,18.38093842
2011,1761.4,30.43222222,23.22905015,1512.7,28.9135,18.08619444,1695.7,30.52,17.79555556
2012,1500.8,30.87071823,23.63742946,1272.93,29.8171547,18.57607735,1391.6,30.95441989,18.14944751
2013,1340.2,30.39189189,22.89189347,1123.2,29.57462462,18.35876877,1340.7,30.43213213,17.51891892
2014,945.6,31.38108108,23.60603101,809.22,31.33069069,19.0463964,1009.6,31.37927928,17.65045045
2015,1126.6,31.90917431,24.53487844,1147.78,31.01966361,20.12807339,1145.9,31.90489297,19.22752294
2016,1456,31.64262295,23.80738595,1222.03,30.48281421,18.75494536,1468.5,31.65054645,17.98907104
2007,1205,31.26392045,24.00557337,1123.84,30.28900568,18.35227273,1198.8,31.34090909,18.32670455
2008,1056,30.20304709,23.23858033,1361.1,29.63922438,18.34781163,1454.8,30.33573407,18.00277008
