Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1112.8,32.24513619,24.52910807,1025.48,30.90319066,19.4181323,1045.7,32.21439689,18.62023346
2018,2576.654,31.41776712,21.01136434,2408.2,30.01061644,19.19028767,2442.5,31.62150685,18.01219178
2019,2522.046,31.92861538,21.1639745,2050.39,30.73018462,19.86195385,2455.7,32.02415385,18.39384615
2020,1614.516,30.61800469,20.47332729,1222.08,29.63194836,18.69194836,1618,30.79788732,17.19389671
2010,751.2,30.48085106,23.40213171,598.54,29.53365248,17.43592199,747.6,30.62765957,17.64361702
2011,1761.4,30.43222222,23.22905015,1512.7,28.9135,18.08619444,1695.7,30.52,17.79555556
2012,1500.8,30.87071823,23.63742946,1272.93,29.8171547,18.57607735,1391.6,30.95441989,18.14944751
2013,1340.2,30.39189189,22.89189347,1123.2,29.57462462,18.35876877,1340.7,30.43213213,17.51891892
2014,945.6,31.38108108,23.60603101,809.22,31.33069069,19.0463964,1009.6,31.37927928,17.65045045
2015,1126.6,31.90917431,24.53487844,1147.78,31.01966361,20.12807339,1145.9,31.90489297,19.22752294
2016,2469.822,31.59739677,22.19151393,2145.36,30.69362657,19.26168761,2550.4,31.90017953,18.16337522
