Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,383,30.73214286,20.53178571,610.92,32.16078571,20.19575,463.7,30.62321429,20.42071429
2018,652.6,31.13323171,20.38445122,679.39,32.51164634,20.29091463,647.9,30.64085366,19.6929878
2019,736.4,31.31369863,20.48575342,861.54,32.82254795,20.57816438,857.5,31.31506849,20.49917808
2020,797.4,30.19512195,21.25609756,888.77,31.07497561,21.07141463,955.4,30.2,21.23609756
2009,651,31.14751381,20.70524862,888.94,32.22464088,20.74403315,645.9,31.10524862,20.68038674
2010,162.8,30.55934066,20.62884615,1175.74,31.22016484,20.36082418,844.3,30.52087912,20.66868132
2011,752,30.13140496,19.86997245,874.8,31.51906336,19.96523416,868.4,30.22865014,19.69449036
2012,336.8,31.64373089,19.92844037,387.74,33.16984709,20.22382263,399.3,31.60642202,19.96788991
2013,686,30.91568047,20.45088757,826.8,32.17485207,20.41807692,727.1,30.78964497,20.09023669
2014,711.2,30.44435262,20.02369146,791.24,31.94487603,20.07415978,747.6,30.31046832,19.60881543
2015,458,30.6154717,19.58641509,592.12,31.62169811,19.81939623,539.7,30.3709434,19.56641509
2016,260.6,31.9587963,20.69074074,377.56,33.56097222,21.00569444,285.3,31.74259259,20.83472222
2008,804.2,30.25497238,19.97955801,763.29,32.30069061,19.9869337,858.5,30.21160221,19.80801105
