Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1003.2,27.8892562,17.39297521,981.63,29.39347107,17.75706612,1133,28.79173554,18.11694215
2018,1758,27.45247253,17.47747253,1458.36,28.06365385,17.47945055,1614.1,28.3739011,18.25137363
2019,1304.4,28.32754237,18.58813559,1119.83,28.21635593,18.80733051,1416.1,29.23898305,19.3
2020,911.8,27.19570552,17.50306748,721.6,27.46693252,17.52785276,883,28.11226994,18.23435583
2009,907.6,27.72894737,18.94473684,605.72,27.71171053,19.71671053,713.4,28.57763158,19.69868421
2010,1793.2,27.41487603,17.18953168,1274.76,28.32484848,16.80179063,1383.5,28.30247934,17.84517906
2011,1719.8,26.77548209,16.58126722,1480.98,27.41760331,16.66352617,1578.4,27.68980716,17.40991736
2012,1506.6,27.04587912,16.61346154,1225.13,28.29228022,17.06964286,1476.4,28.00192308,17.65192308
2013,1651,26.79834254,17.01574586,1349.38,27.71116022,16.99024862,1781.9,27.69254144,17.79530387
2014,599.2,27.48196721,16.86393443,544.97,29.79745902,16.835,608.8,28.39836066,17.61639344
2015,1345,27.77671233,17.92958904,1359.1,28.76345205,18.01041096,1598.2,28.66931507,18.64712329
2016,1272.4,27.7043956,17.54230769,1345.53,28.51197802,17.31214286,1479.5,28.58598901,18.2489011
2007,1388.4,27.34875346,17.52686981,1312.53,28.73556787,17.05412742,1436.3,28.06592798,18.28947368
2008,1707.6,26.55208914,16.99554318,1443.84,27.70654596,16.68796657,1533.8,27.36545961,17.74930362
2004,1662.6,27.03697479,17.52941176,1593.69,27.17977591,16.34792717,1605.7,27.31876751,17.88235294
2005,1640.8,26.75952381,17.18809524,1292.48,27.79645833,16.990625,1431.3,27.40416667,17.98125
2006,2005,26.87850746,17.26298507,1589.42,27.56244776,16.80080597,1842.6,27.53432836,18.02507463
