Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1587,25.79205479,15.78849315,1619.09,25.21331507,15.09841096,1633.1,26.19616438,16.09671233
2018,1044.6,26.11232877,15.7690411,1263.57,25.4690137,15.09057534,1098.1,26.49013699,16.06849315
2019,1257.6,26.84684932,16.33890411,1269.48,26.74657534,15.4849589,1161.5,27.24767123,16.5890411
2020,439.6,26.0810219,15.85912409,480.09,26.35642336,15.07372263,457.2,26.48540146,16.06423358
2009,1542.6,25.13226744,15.74825581,1791.92,24.54197674,15.03188953,1574.5,25.5872093,16.1252907
2010,1026.2,25.69475806,16.04233871,1046.2,24.23508065,15.16294355,1055.4,26.17782258,16.34637097
2011,1171.8,25.19517045,14.91392045,1186.99,25.01394886,14.231875,1291.9,25.63380682,15.17982955
2012,853.6,25.42311321,14.97688679,700.67,25.95495283,14.1259434,1018.6,25.89198113,15.26273585
2013,1418.6,25.45274725,15.1521978,1327.49,24.74332418,14.36104396,1293.5,25.86510989,15.43489011
2014,1135.2,26.41867816,16.19798851,1126.94,26.81738506,15.3691092,1143.3,26.80718391,16.46408046
2015,1771.4,26.2763754,16.68996764,1593.78,25.99440129,15.9728479,1755.9,26.70355987,16.9763754
2016,1380,25.70601093,15.33852459,1414.53,24.74330601,14.58928962,1289.4,26.1136612,15.63579235
2007,767.8,26.17705382,15.58498584,1462.09,25.44832861,14.56963173,1200.6,26.66997167,15.91076487
2008,1331.2,24.95342466,15.11260274,1339.56,24.9049589,14.27742466,1463,25.44082192,15.39835616
