Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,566.2,27.30885246,17.53377049,854.56,29.36744262,17.85219672,552.4,27.91508197,18.12983607
2018,792,27.16164384,17.2969863,1226.06,28.8210137,17.87169863,815.3,27.75178082,17.9060274
2019,683.4,28.14668588,17.21239193,920.19,29.81440922,18.0970317,614.2,28.71988473,17.82910663
2020,643.4,27.58356808,17.75821596,823.17,28.957277,18.5257277,697.7,28.17652582,18.35070423
2009,514.2,27.94380531,18.00619469,695.47,29.61513274,18.79858407,445.6,28.43672566,18.51460177
2010,926.2,27.11373626,17.55631868,1005.96,29.40266484,18.03244505,791.8,27.68956044,18.07197802
2011,859.6,26.48792135,16.9994382,1094.94,28.35384831,17.56216292,622.8,26.9758427,17.52078652
2012,340.2,27.2429878,16.98536585,517.81,29.84009146,17.46,284.4,27.74146341,17.48719512
2013,776.4,26.9728022,17.78406593,1237.86,28.66153846,18.04813187,699.1,27.47032967,18.28351648
2014,980,26.46191781,17.1109589,1218.8,28.48572603,17.60978082,766.2,26.93013699,17.59753425
2015,673.6,28.20365449,17.64817276,773.8,30.30521595,18.52800664,563.4,28.64717608,18.15913621
2016,708.8,27.84726776,17.55874317,1092.65,29.54784153,18.10674863,885,28.40355191,18.1579235
2007,474.2,25.94153005,16.05081967,406.53,29.16606557,16.68508197,327.4,26.49180328,16.50054645
2008,868.8,27.23729282,16.8859116,795.38,29.78610497,17.70359116,627.8,27.78563536,17.33839779
2004,893.6,26.45989011,17.26153846,1109.82,28.72315934,17.71695055,807.8,26.99368132,17.68928571
2005,754.4,26.84848485,17.57878788,825.2,29.51259259,18.30430976,604,27.44141414,18.02861953
2006,537.8,27.38058252,17.45048544,686.01,29.61169903,18.05776699,516.2,28.01116505,17.82961165
