Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1778.6,30.65972603,18.82986301,1515.3,30.28273973,19.63873973,1630.7,30.65835616,18.58657534
2018,1353.4,31.41054313,19.21277955,1040.56,30.78319489,20.52536741,1279.5,31.38881789,19.01693291
2019,694,31.66426117,18.79175258,649.52,32.22646048,20.26542955,715.6,31.62371134,18.60068729
2009,683.4,30.3137741,19.23581267,1615.14,29.35785124,19.7323416,1397.6,30.23057851,19.11294766
2010,554.6,31.37320261,19.40490196,1079.88,30.56542484,19.7027451,940.4,31.29869281,19.22777778
2011,1362,31.1199095,19.62533937,1227.28,30.05751131,20.55895928,1192.9,31.03031674,19.50588235
2012,1218.2,31.13452055,18.96739726,1170.04,31.0089589,19.76868493,1229,31.05150685,18.80465753
2013,1224.4,30.55521978,18.64230769,1017.36,30.54868132,19.62848901,1159.8,30.48214286,18.5043956
2014,1096,31.36219178,18.8060274,1082.62,31.54293151,20.0390411,1230.9,31.27643836,18.64027397
2015,1632.2,31.24109589,19.30520548,1339.49,30.77676712,20.43506849,1622.1,31.19616438,19.10876712
2016,848.6,31.84763636,19.20981818,912.04,31.51934545,20.27170909,887.5,31.80436364,18.99745455
2008,1573.8,30.45013699,18.97369863,1319.2,30.26068493,19.31635616,1388.4,30.37232877,18.81835616
