Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1210.6,28.70940439,16.54420063,1171.02,28.20040752,16.62216301,1256.5,28.59310345,16.40564263
2018,1059.2,28.87369863,16.29287671,1126.44,28.74457534,16.67019178,1270.2,28.75178082,16.18657534
2019,946.2,29.13666667,16.79966667,931.31,28.97556667,17.03056667,1181,29.019,16.64466667
2020,662.2,28.37717391,15.9625,641.72,28.11119565,16.11842391,734.5,28.15380435,16.42119565
2009,1340.8,27.90138122,16.44723757,1705.72,27.0421547,16.48632597,1461,27.77403315,16.31491713
2010,1170.4,28.43107345,15.74067797,972.1,27.92892655,15.71155367,1298.5,28.30960452,15.61581921
2011,978.6,27.99069767,15.48093023,867.27,28.16265116,15.43427907,1003,27.89209302,15.3944186
2012,1336.4,28.69835616,16.27150685,1227.04,28.51586301,16.47871233,1389.3,28.57068493,16.12684932
2013,1450.8,27.75082418,15.88901099,1313.33,27.29096154,15.86299451,1454.5,27.62912088,15.74065934
2014,821,29.52829582,16.69099678,779.21,30.30385852,17.16048232,943.9,29.40160772,16.54726688
2015,1402.4,28.46160458,17.00744986,1254.85,28.43512894,17.18404011,1529,28.34469914,16.86303725
2016,1157.8,29.69045802,17.89656489,1070.66,28.88091603,17.69736641,1245.4,29.57442748,17.79656489
2007,1505.6,29.03267045,16.38238636,1267.32,28.17704545,15.88713068,1311.7,28.89005682,16.22755682
2008,1380,27.73589041,15.67561644,1323.68,27.63068493,15.66460274,1323.1,27.61835616,15.5539726
