Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1542.6,28.62904192,21.92803026,1364.81,27.66517964,17.04523952,1436.5,28.10958084,16.72095808
2018,1494.4,28.69113573,21.96406973,1259.86,28.37559557,17.04401662,1448.5,28.22105263,16.83518006
2019,1299.4,29.48136986,22.4899727,1496.63,27.66709589,17.16010959,1484.1,28.97287671,17.10191781
2020,0,27.48666667,19.95319443,8.31,25.329,12.57866667,1,26.95,13.87
2009,1888.4,27.79972376,21.47816528,1536.56,27.09395028,16.44593923,1867.9,27.39889503,16.65856354
2010,1702.8,28.66831956,21.79336496,1653.88,26.6553719,16.95641873,1522.9,28.2523416,16.1338843
2011,1852.2,28.01412742,21.46800006,1312.35,27.71047091,16.48063712,1662.2,27.62742382,16.20110803
2012,1393.6,28.33131868,21.76397467,1604.37,26.78629121,16.39101648,1346.1,27.95027473,16.4760989
2013,1285.4,27.92963989,21.36337043,1185.85,27.80567867,16.72371191,1538.3,27.50914127,16.27700831
2014,1064,28.81449275,21.99796892,1248.25,27.41936232,16.67089855,1184.8,28.39217391,16.34695652
2015,1475.4,28.78395062,22.14252829,864.13,29.24814815,17.06895062,1425.8,28.32438272,16.87160494
2016,1789.4,29.0136612,22.12100755,1334.53,28.57972678,17.80407104,1640,28.55655738,16.71721311
2007,1154,28.63097345,21.92209372,1515.36,26.65489676,16.17292035,1087,28.26312684,16.29882006
2008,1517.8,27.75027473,21.37753718,1308,28.09206044,16.68901099,1451.3,27.3782967,16.2239011
