Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1567.2,27.38246575,16.56547945,1169.31,28.61139726,16.72126027,1406.2,28.31780822,17.19342466
2018,1320.8,27.79283388,17.18501629,1057.49,28.88032573,17.67957655,1302.3,28.69022801,17.76612378
2019,1408.2,28.03780822,16.93369863,906.56,30.0980274,17.50326027,1253.1,28.96054795,17.54164384
2020,916.2,27.00892019,15.842723,590.1,28.78314554,16.20596244,857,27.84225352,16.25680751
2009,2066,26.47300275,16.3523416,1705.53,27.10278237,16.73391185,1924.1,27.44407713,16.91157025
2010,1222.2,27.30027473,16.00906593,932.3,28.45942308,16.20005495,1228.2,28.29230769,16.54862637
2011,1744.4,26.87753425,15.98054795,1309.77,27.75591781,15.9970137,1636.1,27.88849315,16.4660274
2012,1119.4,26.87040816,15.97482993,821.22,28.8237415,16.35319728,1163.4,27.83979592,16.46020408
2013,1570.2,26.46428571,16.09642857,1320.66,27.56423077,16.20043956,1500,27.42747253,16.69010989
2014,705.6,28.78713235,17.45919118,741.54,31.09727941,17.97268382,930.4,29.78382353,18.05
2015,1410.4,27.39013699,17.23150685,1250.17,28.89739726,17.50838356,1492,28.39178082,17.73287671
2016,1603.8,27.12375,15.9140625,1131.46,27.79990625,15.7526875,1497.2,28.089375,16.5640625
2008,1097,26.53260274,15.66027397,1262.57,27.98586301,16.08213699,1263.3,27.50465753,16.29205479
