Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2007,0,26.85855856,20.42335918,1285.74,26.83990991,14.88399399,942.7,27.77237237,16.32642643
2008,727.4,25.94,19.54413351,1373.33,26.18073239,14.76276056,1179.5,26.7284507,15.66169014
2009,734.4,27.47674419,21.39660702,615.78,27.47387597,17.5396124,737.8,28.10465116,18.06511628
2010,767.4,26.31428571,20.05082083,579.78,27.25763265,14.80436735,798.8,27.22040816,16.14163265
2011,803,26.40378151,20.19268512,848.78,27.2462605,15.47298319,979.1,27.02815126,16.15714286
2012,1447.4,27.06827586,21.06675285,1080.87,28.35013793,16.16113793,1336,27.76172414,17.16241379
2013,968.6,25.83578947,19.90501423,719.3,26.03747368,14.99715789,837.6,26.85421053,15.89631579
2014,526.6,28.27727273,21.56518308,447.94,30.49924242,16.1975,526.9,28.88181818,17.23333333
2015,1937.2,26.70054795,20.92179224,1460.07,27.56816438,16.36591781,1832.5,27.30410959,17.39917808
2016,1378.4,26.49505495,20.33932441,1236.8,26.69818681,15.27123626,1551.7,27.10082418,16.51126374
2017,1968,26.57707182,20.61359947,1433.36,27.03748619,15.6851105,1991.6,27.18342541,16.91546961
2018,1118,27.46313559,21.30395739,996.76,28.11144068,16.76182203,962.4,28.07076271,17.65550847
2019,977.8,27.37902736,21.10190357,857.55,28.73714286,16.09951368,1066.2,27.9881459,17.11094225
2007,1650.2,28.85718232,16.98453039,1466.67,28.90022099,16.16157459,1543.4,29.06022099,17.09116022
2008,1270.6,27.85273224,16.20874317,1284.22,28.33907104,15.78174863,1246.3,28.06939891,16.36584699
2009,464.2,26.83397436,15.69679487,537.99,26.80487179,15.48301282,510,27.11217949,15.90192308
2010,722.8,28.21054313,16.26709265,698.63,28.85651757,15.73370607,795,28.45878594,16.37348243
2011,1405.4,28.09559229,16.42506887,1247.28,28.58066116,15.88002755,1535,28.32672176,16.51818182
2012,1271.4,28.6509589,17.1430137,1108.32,29.62961644,16.74164384,1304.6,28.87835616,17.20547945
2013,1318.6,28.08103448,17.50793103,1255.89,28.65441379,17.13558621,1374.3,28.33103448,17.63068966
2014,827.2,29.03416149,17.11428571,776.51,30.27826087,16.60897516,888.3,29.27453416,17.19782609
2015,1392,28.6939726,17.77150685,1324.74,29.44216438,17.32978082,1480,28.92164384,17.87534247
2016,1058,28.46197605,16.54580838,1107.83,28.40637725,15.84287425,1410,28.68473054,16.65868263
2017,1389.8,28.67506849,17.15452055,1232.33,29.04194521,16.58358904,1568.5,28.90246575,17.24109589
2018,1084.8,29.24921136,17.7488959,1041.38,29.74921136,17.4829653,1136.4,29.47728707,17.88044164
2019,839.8,29.72986301,17.66054795,759.02,31.15246575,17.36331507,1065.5,29.93178082,17.74164384
2001,611.4,29.37692308,17.48547009,588.51,30.53034188,16.84538462,543,29.61623932,17.64358974
2002,822.8,28.81196172,17.09808612,746.8,29.1677512,16.41521531,693.8,29.07607656,17.34210526
2003,1146.8,28.47936508,16.45333333,1188.43,28.48749206,15.56060317,984.2,28.70031746,16.61746032
2004,555,29.85306122,18.67040816,619.78,30.2494898,18.37795918,505.2,30.06122449,18.77653061
2005,1279.6,28.34876543,17.48240741,1024.08,29.08074074,16.21746914,1206.1,28.57253086,17.66234568
2006,1036.4,28.94077381,16.89791667,1012.02,29.59074405,16.25029762,956.6,29.1485119,17.10208333
2020,642.6,28.3028169,16.70704225,436.56,30.16347418,16.02544601,709.8,28.52629108,16.80422535
2017,1334.4,30.22958904,23.68774615,1152.21,30.09380822,18.26010959,1330.6,30.45561644,18.40410959
2018,1165.2,30.75221519,24.04776136,1016.38,30.23553797,18.92610759,1382.5,30.96962025,18.86835443
2019,1362.6,31.31861862,24.46497151,879.36,31.69057057,19.33174174,1259.5,31.53813814,18.9990991
2020,791,30.99537037,24.69920963,490.41,29.73101852,19.88064815,643.6,31.23518519,20.19722222
2017,955.8,29.95294118,25.68391544,1156.41,27.11658088,24.94886029,1091.6,29.96544118,22.51838235
2018,492.8,30.68759124,25.75758819,587.87,27.41642336,25.01989051,471.9,30.6919708,22.13284672
2019,1040.2,31.56356164,26.40602738,1044.19,28.16868493,25.77580822,953.8,31.56520548,22.72383562
