Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1357.4,29.08712329,18.83287671,1547.16,26.96230137,16.77336986,1273.4,29.6709589,19.30986301
2018,1614.4,29.15726027,19.06109589,1361.76,27.91276712,17.26342466,1479,29.74465753,19.45342466
2019,1260,29.94849315,19.44520548,1268.16,27.78605479,16.46167123,1174.2,30.52520548,19.88410959
2020,864.2,28.69226519,18.96629834,1015.28,25.79055249,15.96823204,1005.2,29.28066298,19.44198895
2009,1446.2,28.43801653,18.76721763,1592.57,26.13261708,15.90787879,1615.2,29.05619835,19.20082645
2010,1283.2,29.24707521,18.5281337,1207.11,26.59454039,16.31445682,1268.1,29.86072423,18.95320334
2011,1521,28.63168044,18.37217631,1747.59,25.89217631,16.29900826,1592.8,29.23333333,18.79972452
2012,1463,28.87561644,18.76958904,1885.68,25.64087671,16.49961644,1348,29.48273973,19.18
2013,1700.4,28.52011019,18.46473829,1515.82,26.08504132,16.28705234,1483.1,29.12203857,18.90743802
2014,1137.4,29.15068493,18.84547945,1395.92,26.73717808,16.40717808,1133,29.74383562,19.28520548
2015,1504,29.58739726,19.50164384,1364.46,27.22479452,16.82030137,1433.3,30.18410959,19.90547945
2016,1699.2,29.57307692,19.04120879,1293.07,27.46758242,16.88445055,1523.8,30.17417582,19.48956044
2007,1412,28.86361111,18.34388889,1681.49,26.78769444,16.47872222,1287,29.49972222,18.79222222
2008,857.8,28.70315315,18.65720721,1011.32,26.6804955,16.13774775,948.2,29.31936937,19.07702703
2004,308.4,28.51372549,19.28235294,240.51,27.09607843,18.34941176,316.6,29.30980392,19.77254902
2005,716.4,28.34241071,18.17723214,876.29,26.03669643,14.96589286,854.8,29.23973214,18.74732143
2006,1493.4,28.03902439,18.18079268,1370.22,26.53615854,15.90640244,1675,28.77957317,18.65518293
2003,340.8,27.92341463,16.98682927,621.99,25.14853659,15.25746341,380.8,28.84536585,17.41707317
