Year,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1378.2,31.41875,19.02434211,1408.31,29.33029605,19.10822368,1446.6,31.36842105,18.00789474
2018,1218.8,32.12931507,18.60958904,1045.93,30.27013699,19.26706849,1199.4,31.99726027,17.82684932
2019,1125.4,32.50958904,18.92109589,951.69,32.03112329,20.144,1193.4,32.46657534,18.39068493
2020,696.4,31.00375587,17.75164319,554.93,30.35215962,18.50093897,642.2,30.95211268,17.33380282
2009,1608.8,30.39338843,18.88126722,1576.21,28.68201102,18.8584573,1718.7,30.29504132,18.8677686
2010,973.4,31.20964187,18.51404959,954.24,30.19812672,18.37134986,949.1,31.16914601,18.44958678
2011,1408.8,31.2965812,20.03290598,1413.72,29.65521368,20.19145299,1387.5,31.19871795,19.88931624
2012,1671.8,31.29726027,19.07123288,1165.08,30.65547945,19.04238356,1480.6,31.20054795,18.89424658
2013,687.6,31.35730337,21.07865169,441.01,29.34247191,21.13573034,598.1,31.26292135,20.88089888
2014,186,31.92222222,21.22222222,158.14,29.78333333,21.32888889,180.1,31.8962963,20.68518519
2015,1584.6,31.52712329,19.26767123,1386.85,30.3010137,19.62252055,1533.8,31.53479452,18.72438356
2016,1369,31.67513661,18.21502732,1221.79,29.78166667,18.31797814,1618,31.58251366,17.48715847
2007,1351.8,31.10698324,19.12094972,1355.93,29.8852514,18.31223464,1410.5,31.1122905,19.17877095
2008,1431.2,30.32794521,18.71479452,1326.87,29.72846575,18.44463014,1457.6,30.34767123,18.70821918
