Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2001,9,1,0,32.2,18.4,0,32.95,17.26,1,32.4,18.6
2001,9,2,0,32.3,18.9,0.05,33.23,17.33,0,32.5,19.1
2001,9,3,0,32,19,0.03,32.99,18.65,0,32.2,19.2
2001,9,4,0,33.2,18.3,0,33.98,16.87,0,33.4,18.6
2001,9,5,0,29.6,17.6,0,30.63,17.12,0,29.9,17.8
2001,9,6,0,28.1,17,0,28.81,16.25,0,28.4,17.2
2001,9,7,0,27.6,15.8,0,28.36,15.7,0,27.9,16
2001,9,8,0,32.2,13.7,0,32.9,13.66,0,32.4,14
2001,9,9,0,32,17.3,0,32.62,15.95,0,32.3,17.6
2001,9,10,0,34.9,18.2,0.08,34.9,16.75,0,35.1,18.5
2001,9,11,0,28.1,18.3,0.02,28.95,15.33,0,28.4,18.5
2001,9,12,0,26.5,12.5,0.13,25.87,12.13,0,26.8,12.7
2001,9,13,0,32.4,13.2,6.93,32.75,13.03,0,32.6,13.5
2001,9,14,6,26.1,18.6,14.75,31.09,18.51,11.3,26.3,18.1
2001,9,15,13.2,25,17.7,8.32,27.75,15.73,20.4,25.3,17.9
2001,9,16,0,22.4,10.1,0.01,23.96,9.55,0,22.7,10.5
2001,9,17,0,20.9,5.6,0.01,21.08,5.87,0,21.2,5.9
2001,9,18,0,24,10,0.01,24.89,10.75,0,24.2,10.2
2001,9,19,0,27.2,11.1,0.02,28.3,10.51,0.4,27.4,11.4
2001,9,20,0,28.3,12.7,0.32,30.03,11.65,0,28.5,13
2001,9,21,0,25.1,15.8,0.37,28.26,15.69,0.4,25.5,16
2001,9,22,3.2,25.9,15.7,6.06,28.72,15.52,1.8,26.1,16
2001,9,23,6.6,28,15.1,11.3,27.73,16.33,4.1,28.2,15.4
2001,9,24,0.4,32,16.5,1.7,33.69,15.54,0.2,32.2,16.8
2001,9,25,0,26.6,18.4,1.78,29.08,17.49,1,26.9,18.6
2001,9,26,4.6,27.4,18.6,4.04,29.72,17.96,2.2,27.5,18.8
2001,9,27,1.4,25.6,18,0.11,28.58,17.22,1.4,25.9,18.1
2001,9,28,0,30.6,16.6,1.2,31.87,16.09,0,30.7,16.8
2001,9,29,0,28.9,17,0.03,30.07,16.15,0,29.2,17.2
2001,9,30,0,31.6,17,0.27,31.42,16.55,0,31.8,17.3
2001,10,1,0,30.9,21,4.36,31.83,19.05,0.1,31.1,21.2
2001,10,2,40.2,23.3,19.6,42.15,25.92,17.12,26.5,23.7,15.7
2001,10,3,0.4,26.3,13.3,0,27.9,13.47,5.9,26.4,13.6
2001,10,4,0,30.4,13.6,0.01,29.98,11.08,0.4,30.5,13.9
2001,10,5,0,30.6,18.9,0.04,32.01,14.28,0.4,30.7,19.1
2001,10,6,0,30,15.9,0,32.08,15.55,3.4,30.2,16.1
2001,10,7,0,30.5,16.1,3.51,30.31,15.53,1.2,30.8,16.4
2001,10,8,12.2,21.2,15.8,22.22,30.21,16.66,4.7,21.7,16.1
2001,10,9,13.4,27.7,17.1,10.47,25.47,16.89,12.9,27.9,18.4
2001,10,10,7.4,28.4,19.6,2.57,30.17,18.23,1.7,28.7,19.9
2001,10,11,0,31.2,18.5,4,30.37,18.12,1.5,31.4,18.8
2001,10,12,0.2,30.3,16.4,0.05,32.27,18.27,0.6,30.5,16.7
2001,10,13,0,30.3,17.4,0,31.32,17.8,0,30.5,17.7
2001,10,14,0,27.9,16.8,0.02,30.66,17.27,0,28.2,17.1
2001,10,15,0,30.5,16.8,0.28,28.76,16.48,0,30.8,17.1
