Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2017,1,1,0,33.6,27.079167,2.58,32.08,20.83,0,33.7,20.6
2017,1,2,0,31.7,26.55,0.43,31.48,21,0,31.9,20.1
2017,1,3,0,34.9,27.270833,1.64,31.61,22.66,0,35,22.3
2017,1,4,16.8,28.6,24.4625,3.2,30.94,21.85,9.3,29,19.8
2017,1,5,36.4,26.1,23.8,2.48,29.04,21.79,10.3,26.7,20.6
2017,1,6,3,33,26.745833,5.58,31.84,21.65,31.7,33.2,22.1
2017,1,7,0,34.2,26.8125,1.79,30.87,21.48,0,34.3,20.4
2017,1,8,0,35.1,28.258333,3.63,32.44,21.87,1.8,35.1,22.4
2017,1,9,0,31,25.870833,9.75,27.86,22.87,2.8,31.2,22.1
2017,1,10,5.8,30.5,25.175,23.32,28.84,21.68,1.8,30.8,21.3
2017,1,11,0,29.2,23.816667,10.54,25.6,21.84,1.5,29.4,21.4
2017,1,12,0,31.3,23.8125,9.13,27.67,21.26,5.1,31.5,21
2017,1,13,2.4,28.5,22.358333,4.56,25.94,21.25,1.8,28.7,20.5
2017,1,14,0.2,30.3,23.754167,1.1,28.65,20.66,5.1,30.6,20.6
2017,1,15,3.4,30.1,23.775,10.91,27.82,21.44,9.6,30.1,20.9
2017,1,16,12.4,28.9,22.970833,16.9,26.49,20.64,10.1,28.9,21.1
2017,1,17,23.8,27.9,22.791667,14.58,25.38,20.01,10.9,28.2,21.1
2017,1,18,12.4,29.2,22.4625,9.11,25.01,21.2,10.9,29.1,21
2017,1,19,9.8,27.9,23.066667,8.95,27.26,20.48,17.1,27.9,20.9
2017,1,20,11.6,25.3,22.008333,5.41,24.77,20.09,13.7,25.5,19
2017,1,21,2.6,27.7,22.929167,1.29,27.15,19.13,3.7,27.9,20.2
2017,1,22,1.4,27.3,22.916667,1.21,27.29,19.78,5.4,27.6,20.2
2017,1,23,0.2,28.7,22.7375,1.29,27.62,20.13,1.9,28.9,19.6
2017,1,24,0.8,32.2,24.816667,6.61,29.48,19.84,2.9,32.1,21.2
2017,1,25,28,31.1,24.033333,6.18,27.2,20.76,16.2,31.2,20.5
2017,1,26,5.8,27.7,23.245833,14.26,25.65,21.06,8.4,27.6,20.8
2017,1,27,7.4,26.2,22.291667,1.84,26.23,20.34,9.6,26.4,20.2
2017,1,28,2.6,33.2,25.670833,10.5,29.87,20.8,13.1,33.3,20.8
2017,1,29,0,32.7,26.129167,0.95,29.79,19.15,0,33,20.3
2017,1,30,0,33.1,27.258333,0.21,29.61,19.73,0,33.3,21.6
