Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2009,1,1,0,33,27.829167,0.1,28.75,26.08,0,33,23.7
2009,1,2,0,33.9,27.716667,0.06,29.33,26.08,0,33.9,22.9
2009,1,3,0,33.4,28.166667,0.03,29.68,26.21,0,33.4,24.2
2009,1,4,0,33.5,28.283333,0.01,29.76,26.4,0,33.5,24.9
2009,1,5,0,33.7,28.1,0.07,29.71,26.18,0,33.7,24.2
2009,1,6,0,32.5,27.958333,0.06,28.66,26.51,0,32.5,24.9
2009,1,7,0,33.2,28.054167,0.03,28.74,26.01,0,33.2,24.8
2009,1,8,0,32.4,27.666667,0.06,28.31,26.04,0,32.4,24.8
2009,1,9,0,32.7,27.316667,0.13,27.89,25.63,0.1,32.7,24.1
2009,1,10,2.8,32.3,27.175,0.15,28.37,25.91,2.6,32.3,22.9
2009,1,11,2.4,32.3,26.8125,2.51,28.13,25.44,0.7,32.3,22.4
2009,1,12,18.2,31.5,26.291667,5.32,28.22,25.98,13.8,31.5,23.2
2009,1,13,0.4,32.3,26.020833,0.83,28.75,25.72,1.8,32.3,20.6
2009,1,14,0,32.6,26.891667,0.48,28.9,25.9,0.1,32.6,21.8
2009,1,15,0,32.9,27.2625,1.18,28.83,26.27,0,32.9,22.4
2009,1,16,11.8,31.2,26.479167,2.35,28.43,26.75,8.9,31.2,23.6
2009,1,17,0,32,27.5875,0.61,28.92,26.3,0.2,32,24.7
2009,1,18,0,32,27.1625,0.34,28.65,25.8,0,32,23.5
2009,1,19,0,32.4,25.345833,0.06,28.8,25.84,0,32.4,19.3
2009,1,20,0,33.1,27.154167,0.29,28.9,25.68,0,33.1,21.7
2009,1,21,0,32.6,27.883333,0.12,29.32,26.74,0,32.6,24.5
2009,1,22,0,32.1,27.6,0.04,29.19,26.72,0.1,32.1,25.5
2009,1,23,0,33,27.3875,0,29.12,26.51,0,33,22.7
2009,1,24,0,33.2,27.875,0.02,28.86,26.26,0,33.2,23.1
2009,1,25,0,32.7,27.916667,0.11,28.63,26.5,0,32.7,24.3
2009,1,26,0,33,28.016667,0.46,28.9,26.09,0,33,23.9
2009,1,27,0,33.6,28.083333,0.13,29.09,26.19,0,33.6,25.1
2009,1,28,0,33,27.920833,0.6,28.8,26.35,0,33,24.1
2009,1,29,4.8,32.6,26.45,1.61,28.9,26.73,0.7,32.6,22.2
2009,1,30,0,33.5,27.541667,0.33,28.89,25.83,1.4,33.5,21.8
2009,1,31,0,33.2,26.725,0.21,28.95,25.46,0,33.2,21.2
2009,2,1,0,33.8,27.731818,0.13,29.19,26.3,0,33.8,21.9
2009,2,2,0,33.7,27.491667,4.16,28.63,26.54,0,33.7,22
2009,2,3,0.6,31.4,27.095833,5.89,28.72,26.65,4.4,31.4,25.3
2009,2,4,0.2,32.9,27.354167,0.77,28.93,26.44,3.1,32.9,22.7
2009,2,5,0.2,33.4,27.9125,0.04,28.65,26.15,0.1,33.4,23.2
2009,2,6,0,34,27.908333,0.02,29.08,26.15,0,34,22.7
2009,2,7,0,34,28.3875,0.1,28.98,26.47,0.3,34,23.6
2009,2,8,0,33.6,28.366667,0.28,28.78,25.92,0,33.6,24
2009,2,9,0,33.9,28.525,0.06,29.33,26.48,0,33.9,25.5
2009,2,10,0,33.7,28.083333,0.02,29.42,26.43,0,33.7,22.5
2009,2,11,0,33.6,28.5,0.02,28.9,26.44,0,33.6,25.3
2009,2,12,0,34.4,28.095833,0.04,28.27,25.87,0.4,34.4,22.2
2009,2,13,0,34,27.970833,0.04,29.39,26.26,0,34,22.5
2009,2,14,0,33.4,28.429167,1.42,29.45,26.73,0,33.4,24.2
2009,2,15,1.8,33.3,28.225,1.53,28.76,26.58,5.9,33.3,24.5
2009,2,16,0,33.7,27.383333,0.33,28.69,26.04,0.1,33.7,21.3
2009,2,17,5.4,30.8,25.8,2.21,27.18,25.73,2.3,30.8,23
2009,2,18,5,30.8,25.195833,3.66,27.56,25.91,5.1,30.8,22.6
2009,2,19,1,31.9,26.429167,1.96,28.26,26.23,2.7,31.9,23
2009,2,20,0.6,31.2,26.091667,7.85,28.73,26.33,0.9,31.2,22.4
2009,2,21,4.2,32,26.945833,6.37,28.19,26.58,14,32,24.3
2009,2,22,0,30.8,26.066667,8.82,28.09,26.94,0.3,30.8,23.5
2009,2,23,1.2,32.2,26.4875,4.22,28.17,26.76,3.2,32.2,22.3
2009,2,24,0,32.8,26.6875,0.35,28.73,26.57,3.4,32.8,22.3
2009,2,25,0.4,33.2,27.133333,2.37,28.85,26.08,0.2,33.2,23
2009,2,26,0.6,33,27.329167,1.72,28.65,26.23,0.8,33,23.7
2009,2,27,10.8,30.3,25.4,6.51,28.64,26.53,5.6,30.3,22.3
2009,2,28,23.2,31.8,26.15,6.7,28.13,26.5,17.2,31.8,23.7
2009,3,1,2.4,31.9,27.491667,0.95,28.33,26.4,11.9,31.9,24.8
2009,3,2,27.8,31.2,25.729167,32.35,27.62,26.08,13.7,31.2,23.5
2009,3,3,30.2,28.7,25.320833,13.79,28.48,26.75,20.1,28.7,23.6
2009,3,4,0.2,32.4,27.354167,1.63,28.65,26.75,3.8,32.4,23.8
2009,3,5,0,32.3,27.070833,2.08,28.83,26.49,0,32.3,22.7
2009,3,6,0,32.8,26.886957,1.22,28.78,26.09,0,32.8,21.8
2009,3,7,0,32.9,27.079167,0.02,29.31,26.51,0,32.9,22.2
