Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2007,1,1,26.8,27.8,22.683333,45.23,26.03,21.73,29.7,27.6,20.5
2007,1,2,57.4,29.1,23.670833,22.03,27.87,20.48,55,29.2,19.7
2007,1,3,0.8,30.6,24.2,8,28.91,20.55,1.9,30.7,20.6
2007,1,4,8,31,24.775,27.78,24.96,20.3,9.6,31,21.3
2007,1,5,19.8,30.1,22.383333,21.27,26.24,20.83,26,30.1,20.6
2007,1,6,40.4,27.5,23.595833,25.52,26.26,20.69,35.4,27.5,21.3
2007,1,7,28,26.3,23.404167,3.31,28.2,20.03,15.5,26.3,21.2
2007,1,8,0.2,32.7,25.541667,9.3,29.33,21.04,1.5,32.7,21.2
2007,1,12,1.8,32.5,26.2375,9.25,29.1,22.58,2.6,32.6,21.1
2007,1,13,22.4,31,24.304167,14.9,27.19,22.52,12.9,31,21
2007,1,14,22.2,26.6,22.908333,21.55,25.88,22,20.5,26.9,21.2
2007,1,15,20.2,29.4,23.425,18.27,28.6,21.12,25.5,29.2,22.1
2007,1,16,2.6,27.6,23.554167,12.94,26.37,21.69,4.2,27.9,22
2007,1,17,4.6,32.5,25.808333,3.52,27.46,21.68,14.2,32.5,21.7
2007,1,18,0.2,30.4,24.904167,12.56,29.26,21.44,7.4,30.7,21.6
2007,1,19,18,32.9,26.054167,0.91,30.82,21.33,11.1,33,19.5
2007,1,20,0,29.1,24.854167,10.7,29.68,22.76,2.7,29.2,22.7
2007,1,21,0,32,23.766667,14.54,30.26,22.95,1.9,32,21
2007,1,22,29.2,27.7,23.166667,2.27,28.48,21.31,50.7,27.9,20.8
2007,1,23,0.6,28.7,23.725,6.38,28.8,20.83,0.6,28.9,20.9
2007,1,24,7,29.6,24.125,6.81,29.09,20.72,15.6,29.7,20.4
2007,1,25,2.6,30.5,25.1375,2.64,28.82,21.32,1.1,30.5,21.6
2007,1,26,0.2,32,25.466667,12.72,28.67,20.79,3.7,32.1,21.2
2007,1,27,6.2,30.9,24.917391,40.3,26.87,21.62,7.1,30.9,21.9
2007,1,28,8.6,28.7,24.1,24.43,26.52,21.63,7.6,28.8,22
2007,1,29,0.8,30.3,24.708333,5.75,27.45,21.71,1.8,30.4,21.9
2007,1,30,3,30.6,24.716667,7.37,27.34,21.75,1.3,30.6,22
2007,1,31,25,31.4,24.879167,2.91,28.76,22.24,23.8,31.4,21.4
2007,2,1,0,33.2,26.129167,0.56,29.79,21.49,1.6,33.2,21.7
2007,2,2,0.2,31,26.170833,24.02,28.33,22.08,1.4,31,22.2
2007,2,3,8,28.9,23.475,14.18,26.3,20.97,17.8,29.2,20.9
2007,2,4,3.2,31.4,24.866667,1.79,29.34,19.69,9.1,31.5,20.5
2007,2,5,0,31.9,25.9,6.03,28.65,21.73,0.3,31.8,22.8
2007,2,6,0,31.3,25.291667,6.95,27.44,22.06,0.7,31.3,23
2007,2,7,0,29.2,24.275,2.19,27.83,21.43,5.4,29.3,21.1
2007,2,8,0,32.1,24.841667,15.88,29.94,21.17,0,32,21.2
2007,2,9,24.6,30.7,24.1375,3.2,30.12,21.91,24.8,30.9,21.1
2007,2,10,0.2,33.5,26.6,0.09,31.13,19.83,0.9,33.6,21.4
2007,2,11,0,30.7,25.570833,22.15,27.65,22.11,5.2,30.9,22.2
2007,2,12,19.6,25.3,22.008333,30.47,26.05,21.18,19.1,25.5,21.3
2007,2,13,36.2,28.7,23.429167,9.42,28.95,19.51,34.1,28.9,19.9
2007,2,14,0,31.4,24.466667,3.66,29.12,19.3,0,31.4,19.6
2007,2,15,0,32.4,25.779167,6.02,29.51,19.79,0,32.4,20.2
2007,2,16,0,32.5,26.170833,1.04,30.44,19.05,0,32.7,20.2
2007,2,17,36.8,30.9,25.266667,1.3,30.58,20.19,11.9,31.1,20.8
2007,2,18,2,31.6,25.3875,14.39,26.44,21.62,1.5,31.7,21.8
2007,2,19,9.4,31.1,23.7375,12.9,28.81,21.25,7.7,31.2,19.4
2007,2,20,35.4,29.9,24.05,3.62,27.06,21.06,22.2,30,19.5
2007,2,21,0,32.3,25.266667,0.99,29.05,20.71,2.4,32.2,20.7
2007,2,22,0.8,33,26.1625,0,30.49,19.56,0.8,33,21.1
2007,2,23,0,32.5,26.454167,0,30.19,19.23,0,32.5,21.2
2007,2,24,0,33,26.125,0.02,30.35,19.2,0,33.1,19.6
2007,2,25,0,33.1,24.865217,5.02,27.53,20.1,0.3,33.1,20
2007,2,26,1.2,28.1,23.045833,3.67,26.5,19.19,0.4,28.1,20.5
2007,2,28,0,30.7,24.870833,5.2,26.78,21.34,2.1,30.7,20.9
2007,3,1,6.6,31.4,24.5375,0.1,28.65,20.49,2.9,31.4,21.4
2007,3,2,0,32.8,25.704167,0.4,29.69,20.01,0.5,32.7,20.3
2007,3,3,0,32.7,25.608333,0.17,30.24,19.3,0,32.7,19.8
2007,3,4,0,33.5,25.5875,0,29.99,17.54,0,33.4,19.1
2007,3,5,0.6,33,26.416667,0,30.54,18.85,0.2,33,20.4
2007,3,6,7.6,33.1,25.933333,0.01,30.56,19.66,4.3,33.2,20
2007,3,7,0,33,25.620833,3.3,30.37,19.67,0,33.1,20
2007,3,8,0,33.5,25.65,0.76,30.52,19.92,0.3,33.5,20.1
2007,3,9,0,33.5,25.85,0.21,30.15,19.52,1.8,33.7,19.2
2007,3,10,0,33.4,25.666667,5.37,30.43,20.14,0,33.6,20
2007,3,11,39.8,32.8,25.45,4.28,30.44,20.15,18.6,32.9,19.8
2007,3,12,16.6,32.6,25.716667,1.8,30.65,18.65,18.3,32.7,19.6
2007,3,13,2.4,29.8,24.870833,4.1,30.08,20.27,1.1,30.1,21.2
2007,3,14,0,33.4,25.182609,1.68,29.99,20.44,2.4,33.4,20.8
2007,3,15,0,32,25.2,8.83,29.08,20.64,1,32.1,21.3
2007,3,16,0,31.6,24.866667,12.92,28.3,20.68,1.2,31.8,21.3
2007,3,17,40.8,26.3,22.329167,9.36,26.44,21.11,34.7,26.3,20.3
2007,3,18,4.4,29.2,23.129167,13.8,27.99,20.45,2.7,29.3,20.7
2007,3,19,9.4,25.4,22.083333,27.5,26.14,19.26,13.2,25.6,20.8
2007,3,20,7.8,29.3,23.0125,6.86,27.01,19.94,29.7,29.2,19.4
2007,3,21,0,30.2,23.720833,1.88,28.2,19.93,0.8,30.3,20.6
2007,3,22,11.4,31.6,24.191667,0.56,27.18,20.11,5.7,31.7,20.4
2007,3,23,0.6,32.8,25.65,0,29.8,20.57,0.9,32.9,21.7
2007,3,24,0,34.1,26.791667,0,30.98,20.3,0,34.1,21.1
2007,3,25,0,34.1,27.008333,1.04,31.16,20.07,0,34.1,21.1
2007,3,26,0,33.8,26.866667,2.07,31.04,19.97,0,33.8,20.8
2007,3,27,0,33.7,26.908333,0,30.95,19.49,0,33.7,20.4
2007,3,28,0,34.6,27.104167,0.01,31.62,19.9,0,34.6,19.8
