Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2016,1,1,0.25,31.12,21.77,0.51,28.08,22.54,4.7,32.2,21.4
2016,1,2,0,31.22,21.97,0.51,29.85,22.97,0.2,32.1,21.9
2016,1,3,25.656,25.24,21.26,6.51,29.73,23.4,7.6,26.9,21.5
2016,1,4,9.392,28.1,21.6,11.73,26.31,22.93,26.3,29.9,21.4
2016,1,5,16.75,30.22,21.54,6.22,29.6,22.2,21.1,31.5,21.3
2016,1,6,10.92,30.94,22.2,3.25,29.22,21.7,18.3,31.7,21.2
2016,1,7,3.552,30.99,22.43,2.94,31.4,22.59,8,32.8,21.4
2016,1,8,3.796,29.99,22.32,12.31,29.3,23.08,2.9,32.8,22.1
2016,1,9,25.402,28.03,22.45,15.69,27.28,22.85,7.9,30.2,21.9
2016,1,10,37.58,30.02,22.2,13.44,28.83,21.55,27.5,31.1,22.3
2016,1,11,54.602,30.88,22.01,24.67,29.12,22.13,21.8,30.2,22
2016,1,12,54.352,26.27,22.01,48.59,27.19,23.15,52.7,25.2,22
2016,1,13,60.196,23.95,22.24,25.93,26.23,22.95,38.2,25.7,22.2
2016,1,14,125.976,27.3,21.89,41.93,28.87,22.08,77.6,28.2,22.2
2016,1,15,21.584,27.41,22.71,41.8,26.26,22.16,61.9,27.5,22.6
2016,1,16,27.18,26.22,21.91,20.57,28.04,22.08,22,29.7,21.9
2016,1,17,4.572,29.46,19.29,3.7,28.24,19.98,15.3,30.2,20.4
2016,1,18,0.5,30.7,21.47,0.81,30.47,22.12,8.6,31.9,21.2
2016,1,19,0,30.32,21.28,1.16,29.01,20,0,31.1,21.4
2016,1,20,0.76,29.67,20.75,0.52,29.64,20.92,0,30.6,21.1
2016,1,21,0,30.97,19.73,5.02,30.23,20.99,7.3,31.5,19.9
2016,1,22,0,32.21,19.42,0.34,30.15,19.74,0,32.8,19.7
2016,1,23,0,32.38,20.16,0.23,26.94,21.54,0,32.5,19.5
2016,1,24,29.724,31.96,20.57,0.62,28.16,22.19,0,33.2,20.5
2016,1,25,0.25,33.45,20.76,4.42,30.27,21.29,7.5,33.3,19.8
2016,1,26,0,34.74,21.76,0.67,31.11,21.78,0.4,34.4,20.3
