Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2012,1,1,28.448,23.26,19.1,24.24,25.11,19.9,27,24.4,19.4
2012,1,2,0,26.93,17.71,0.06,28.05,16.94,38.3,27.9,17.6
2012,1,3,1.778,27.95,15.99,0.32,28.78,16.85,0,31,17
2012,1,4,0,31.13,15.88,0.09,30.62,17.76,0.4,32.4,18.1
2012,1,5,0,30.89,18.18,1.81,29.48,19.05,0,32.2,19.7
2012,1,6,5.334,31.49,18.43,11.08,27.78,19.05,0.2,32.2,18.8
2012,1,7,4.572,29.24,18.16,11.43,28.19,17.34,10,30.7,18.5
2012,1,8,0.508,26.27,16.76,6.38,28.46,17.71,8.3,29.4,18
2012,1,9,1.778,27.56,17.51,11.63,27.27,18.01,7.6,27.9,17.4
2012,1,10,6.096,21.47,18.11,17.34,22.86,16.97,10,22.7,17.4
2012,1,11,21.336,22.74,18.2,16.72,25.45,16.9,21.4,22.6,18
2012,1,12,0,25.11,16.74,0.03,25.94,16.15,22.8,26,17.5
2012,1,13,0,27.38,16.5,4.71,27.21,17.37,0.2,28.1,17.7
2012,1,14,6.096,25.69,19.33,14.9,27.03,19.42,2.6,26.8,19.2
2012,1,15,56.646,29.45,19,15.45,26.98,19.55,5,30.5,19.4
2012,1,16,12.192,25.24,18.87,8.81,25.48,19.45,41.6,28.2,18.8
2012,1,17,82.046,29.14,17.73,25.39,24.02,18.79,19,30.5,18.6
2012,1,18,0.762,27.58,17.8,28.23,26.32,17.45,25,28.4,18
2012,1,19,11.172,25.76,17.93,28.96,25.15,18.08,23.5,28.9,17.7
2012,1,20,8.382,24.26,18.67,3.53,27.13,18.15,44.2,26.8,18.3
2012,1,21,48.77,29.25,18.18,8.85,27.33,18.65,1.6,30.9,18.7
2012,1,22,28.698,30.18,17.51,2.83,27.61,19.48,4.1,30.7,17.8
2012,1,23,3.556,29.61,18.37,6.7,26.28,18.33,15.8,30.7,18.4
2012,1,24,0.254,27.69,18.62,1.12,27.63,19.31,11.8,28.9,18.7
2012,1,25,7.87,28.94,18.49,5.81,27.44,18.9,3.1,30.6,19.7
2012,1,26,6.096,28.11,19.61,6.04,25.77,18.1,4.2,28.6,19.5
2012,1,27,12.7,26.53,17.36,17.06,26.58,16.91,0.5,28.1,17.9
2012,1,28,10.668,21.21,16.39,1.45,25.78,16.15,20.9,23.6,16.8
2012,1,29,0,27.33,16.82,0.01,27.62,15.78,1.2,29.8,16.5
2012,1,30,0,28.59,13.82,0,27.67,14.23,0,30.3,15.4
2012,1,31,0,30.95,13.38,0.02,28.14,13.3,0,32,14.8
2012,2,1,0,31.47,17.31,0.58,28.4,16.63,0,32.7,18.6
2012,2,2,1.778,29.06,16.06,0.07,29.1,17.43,0.6,31.2,17.5
2012,2,3,0,30.78,17.06,0,29.38,18.53,0,32.5,18.4
2012,2,4,0,30.67,16,0,29.77,17.8,0,32.5,18.5
2012,2,5,0,31.18,17.72,0,29.68,18.76,0,33,19.2
2012,2,6,0,33.33,15.46,0,30.33,18.08,0,33.7,17.5
2012,2,7,0,33.97,16.26,0,31.66,19.83,0,35,18
2012,2,8,0,34.25,17.81,0.05,31.75,19.21,0,35.6,19.7
2012,2,9,0,34.66,18.24,0.31,29.96,21.24,0,34.1,20.2
2012,2,10,24.128,29.85,19.99,13.6,27.43,21.35,0.7,32.1,20.7
2012,2,11,39.628,29.98,18.99,20.76,26.7,20.92,3.7,30.7,19.7
2012,2,12,1.016,28.35,19.56,9.89,26.94,20.32,30.2,29.2,19.4
2012,2,13,0.254,26.76,19.6,2.71,26.44,19.76,4.2,28.6,19.9
2012,2,14,0,29.81,20.01,2.81,26.23,18.26,0.7,31.1,20
2012,2,15,0,30.15,17.27,0.01,27.83,17.23,0,31.4,18.1
2012,2,16,0,30.22,17.39,0.01,28.42,19.47,0,31.9,19.8
2012,2,17,0,30.57,17.42,0.18,28.34,18.7,0,32.2,19.7
2012,2,18,0,30.41,17.13,0.01,29.13,19.64,0,32.8,19.3
2012,2,19,0,30.18,18.11,0.17,26.23,19.13,0,31.5,19.1
2012,2,20,0,29.07,20.7,4.5,26.87,19.64,0,30.6,20
2012,2,22,0,28.75,20.68,2.5,26.89,18.83,3,30.9,18.7
2012,2,23,0,29.59,19.04,0.82,26.58,19.28,1.9,29.4,19.2
