Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2009,1,1,0,34.6,22.1,0,35.84,21.71,0,34.7,22
2009,1,2,0,36.3,21.3,0,36.16,21.89,0.3,36.4,21.2
2009,1,3,0.2,36.4,21.9,1.73,36.58,21.77,1.4,36.5,21.9
2009,1,4,0.4,36.4,23.5,0.39,33.99,22.79,1.5,36.3,23.4
2009,1,5,0,32.9,23.1,3.98,27.19,22.61,8.4,32.8,20.5
2009,1,6,25.8,32.2,20.3,7.02,29.11,22.23,5.8,32.1,21.8
2009,1,7,0,30.8,21.8,0.17,32.26,21.63,0,31,21.7
2009,1,8,0,32.3,21.2,0,34.59,21.05,0,32.4,21.1
2009,1,9,0,29.1,20.5,0,33.97,20.52,0,29.3,20.4
2009,1,10,0,32.7,20.6,0.08,31.67,20.98,0,32.8,20.5
2009,1,11,0,32.7,21.4,0.97,32.76,20.4,0.4,32.8,21.3
2009,1,12,2.4,27.4,21.7,7.49,32.05,20.32,2.7,27.7,21.6
2009,1,13,2.2,31.6,19.8,0.17,33.97,18.97,0.6,31.7,19.7
2009,1,14,0,33.2,21.8,0.04,34.23,20.27,0,33.2,21.7
2009,1,15,0,33.3,20,0.02,35.51,19.29,0,33.3,19.9
2009,1,16,0,33.8,23.2,0.31,33.32,21.72,1.3,33.8,23.1
2009,1,17,0.2,33.8,22.4,0,35.22,21.99,0.4,33.9,22.3
2009,1,18,0,33.5,20.4,0,34.99,19.98,0,33.6,20.3
2009,1,19,0,32.9,19.4,0,35.3,18.59,0,33,19.3
2009,1,20,0,34,20.3,0.01,35.29,21.17,0,34.2,20.1
2009,1,21,0,35.2,21.5,0.97,35.81,22.08,0,35.2,21.4
2009,1,22,0,31.7,23.4,0.6,37.15,22.71,0,31.7,23.2
2009,1,23,0,34.3,21.4,1.63,35.32,23.07,0,34.3,21.3
2009,1,24,0,33.8,22.7,0.51,31.8,22.7,0,33.8,22.7
2009,1,25,0,34.4,21.3,0.03,36.05,21.87,0,34.5,21.2
2009,1,26,0,34.9,23.7,0,36.11,22.63,0,34.9,23.5
2009,1,27,0,34.7,22.1,0,36,21.55,0,34.7,21.9
2009,1,28,0,34,21.9,0.02,35.54,20.98,0,34,21.7
2009,1,29,0,33.2,21.7,0.31,34.8,21.7,0.1,33.3,21.6
2009,1,30,0.2,34,21.3,0,36.25,20.9,0,34.1,21.2
2009,1,31,0,34.3,20.9,0,36.39,21.17,0,34.3,20.8
2009,2,1,0,34.4,21.7,0.01,36.43,22.39,0,34.5,21.6
2009,2,2,0,34.8,22.6,0.81,35.89,22.95,0,34.9,22.4
2009,2,3,0,32.3,23.1,19.25,32.41,22.07,3,32.5,22.5
2009,2,4,2.6,33.2,21.2,2.54,32.49,21.21,0.6,33.2,21.1
2009,2,5,0,33.5,21.2,0,34.47,21.45,0,33.5,21.1
2009,2,6,0,34.8,21.3,0,35.34,22.23,0,34.8,21.2
2009,2,7,0,34.8,22.1,0.01,35.58,22.53,0,34.9,22
2009,2,8,0,35.5,23.1,0.01,35.8,22.57,0,35.5,23
2009,2,9,0,34.5,24.1,0,36.38,22.35,0,34.5,24
2009,2,10,0,35.2,21.6,0,36.98,21.93,0,35.2,21.5
2009,2,11,0,34.2,22.1,0.01,35.45,21.62,0,34.3,22
2009,2,12,0,34.7,21.7,0,35.69,21.98,0,34.7,21.6
2009,2,13,0,36,21.9,0.2,32.33,22.14,0,36,21.8
2009,2,14,0,34.8,23.3,0.42,35.3,22.91,0,34.8,23.2
2009,2,15,0,34.6,22.9,0.59,34.9,21.8,0,34.6,22.9
2009,2,16,0,34.3,21.5,0.06,35.25,20.19,0,34.3,21.4
2009,2,17,0,28.5,21.9,3.36,30.64,21.52,3.5,28.6,21.8
2009,2,18,11.4,29.3,20.7,2.08,29.31,21.01,2.6,29.4,20.6
2009,2,19,0,31.6,20.7,1.06,33.14,20.26,0,31.6,20.6
2009,2,20,0.2,33.3,21.2,1.21,32.83,20.74,0.5,33.3,21.1
2009,2,21,0,31.3,21.8,3.01,31.5,21.92,2.6,31.4,21.6
2009,2,22,0,30.1,22.6,4.13,28.95,22.15,1,30,22.4
2009,2,23,0.8,29.6,21,9.63,29.83,21.47,5.1,29.7,20.9
2009,2,24,37.8,28.6,21.2,0.38,32.95,20.94,7.9,28.7,21.8
2009,2,25,0,30.8,22,0.23,32.73,21.28,0,31,21.9
2009,2,26,0.4,32.3,21.3,0.19,33.48,21.14,0.5,32.3,21.2
2009,2,27,0,30.7,20,1.16,33.15,19.92,0.1,30.8,19.9
2009,2,28,0,30.6,22,1.23,33.39,21.65,0.2,30.7,21.8
2009,3,1,0,31.9,21.7,0.1,33.94,21.15,0,32,21.6
2009,3,2,0,31.3,21.3,0.13,32.69,20.87,0,31.4,21.2
2009,3,3,0,33.6,21.3,0.92,34.91,22.02,0,33.6,21.2
2009,3,4,0,32.7,22.4,0.21,35.48,22.44,1.9,32.8,22.2
2009,3,5,0,35.2,22.6,0,36.74,22.37,0,35.2,22.5
2009,3,6,0,34.7,22.1,0,36.19,22.16,0,34.7,22
2009,3,7,0,33.2,21.6,0,35.91,22.09,0,33.3,21.5
2009,3,8,0,34.4,21.6,0,35.48,22.51,0,34.5,21.5
2009,3,9,0,34.1,20.2,0,35.54,21.02,0,34.2,20.1
2009,3,10,0,34.3,21.3,0.01,36.22,21.63,0,34.3,21.2
2009,3,11,0,33.7,21,0.35,35.24,20.8,0,33.8,20.9
2009,3,12,0,33.2,20.9,0.28,35.48,21.01,0,33.3,20.9
2009,3,13,0,34.4,21.2,0,36.19,21.65,0,34.5,21.1
2009,3,14,0,35.4,21.8,0,37.6,22.37,0,35.4,21.7
2009,3,15,0,37.4,21.6,0.15,38.37,22.77,0,37.4,21.6
2009,3,16,0,35.2,22.3,0.22,36.9,22.89,0,35.3,22.2
2009,3,17,0,34.1,24.4,5.78,35.03,22.84,0.4,34.1,24.3
2009,3,18,0,34.3,21.7,0.63,34.93,21.69,0,34.3,21.6
2009,3,19,0,35.2,21.5,0.01,36.17,21.55,0.6,35.2,21.4
2009,3,20,0,34.7,21.9,0.04,36.46,21.73,0,34.7,21.8
2009,3,21,0,34.8,21.6,0.01,37.38,21.96,0,34.9,21.5
2009,3,22,0,35,21.5,0,37.48,21.15,0,35.1,21.4
2009,3,23,0,35.6,21.7,0.03,37.3,22.28,0,35.7,21.8
2009,3,24,0,35.1,22.6,0.09,37.08,22.4,0,35.2,22.5
2009,3,25,0,36.3,23.2,2.28,36.49,23.39,0,36.2,23.1
2009,3,26,0.6,34.3,23.3,4.07,35.98,22.87,5,34.3,23.1
