Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2008,1,1,0,32.5,19.9,0.05,34.01,21.4,0,32.3,19.8
2008,1,2,0,32.7,19.7,0.08,34.87,20.6,0,32.5,19.6
2008,1,3,0,32.1,19.8,0.01,34.72,18.83,0,31.8,19.9
2008,1,4,0,33.1,18,0.65,35.44,20.31,0,33,18
2008,1,5,0,34.1,21.1,0.44,35.76,21.19,0.1,33.9,21.1
2008,1,6,0,35.4,22.3,0,38.37,19.87,0,34.8,22.3
2008,1,7,0,36.7,21,0,39.43,20.62,0,36.7,21.2
2008,1,8,0,35.2,22.9,0.01,38.3,22.79,0,35.1,22.7
2008,1,9,0.6,34.9,22.1,0,36.92,22.48,0.2,34.2,23.5
2008,1,10,0,34.3,20,0,35.4,20.76,0,33.8,22.6
2008,1,11,0,34.3,20.1,0.03,35.18,20.73,0,33.7,22.6
2008,1,12,0,33.6,19.6,0.01,35.32,21.09,0,33.1,22.3
2008,1,13,0,33.2,18.5,0.17,35.12,19.21,0,31.9,21.4
2008,1,14,0.4,29.3,20.6,0.93,32.98,20.41,0.2,29.4,21.2
2008,1,15,0.6,33.4,18.9,0.25,35.05,20.01,0.6,33.2,18.8
2008,1,16,0,32.7,20.4,1.01,34.8,21.21,0,32.4,20.3
2008,1,17,0,30.4,23.1,1.17,34.4,22.9,0.4,30.2,23
2008,1,18,0.8,33.3,21.2,0.15,34.85,23.07,1.4,33.3,21.1
2008,1,19,0,32.8,20.4,0,36.37,21.2,0,32.7,20.3
2008,1,20,0,35.7,19.4,0,37.97,21.26,0,35.7,19.3
2008,1,21,0,37,22.7,0,38.88,22.48,0,36.9,22.7
2008,1,22,0,34.6,23.2,0,37.3,22.88,0,34.5,23.1
2008,1,23,0,33.9,20,0.03,35.94,20.88,0,33.9,20
2008,1,24,0,33.2,20.1,0.17,34.83,21.95,0,33.2,20.1
2008,1,25,0,34,19.2,0.01,36.24,21.13,0,31.3,19.1
2008,1,26,0,33.5,18.9,0.07,36.16,20.94,0,33.3,18.8
2008,1,27,0,33.5,19.2,0.08,35.55,21.07,0,33.5,19.1
2008,1,28,0,33.6,19.5,0,36.33,21.11,0,33.7,19.5
2008,1,29,0,34,19.3,0,36.21,19.37,0,33.8,19.2
2008,1,30,0,35.5,19.5,0,38.22,21.62,0,35.4,19.5
2008,1,31,0,34.7,23.8,6.79,35.77,23.19,1,34.6,23.5
2008,2,1,19.8,28.2,22.7,13.37,29.36,22.33,18.2,28.2,22.5
2008,2,2,0,33.5,23.1,0.74,34.1,21.61,10.5,33.3,22.9
2008,2,3,1,35.4,22.1,0,37.52,21.59,2.7,35.2,21.9
2008,2,4,0,35.4,23.3,0,37.34,21.38,0,35.2,23.2
2008,2,5,0,35.4,21.6,0,37.08,21.42,0,35,21.4
2008,2,6,0,33.9,21.6,0,35.76,22.09,0,33.8,20.6
2008,2,7,0,34,20.6,0,36.63,19.89,0,34,20.1
2008,2,8,0,34.3,22,0.03,37.14,22.32,0,34.4,21.8
2008,2,9,0,34.2,22.7,0,37.16,22.15,0,34.2,22.7
2008,2,10,0,34.3,20.9,0,36.61,22.33,0,34.2,20.9
2008,2,11,0,34,20.1,0,35.69,21.35,0,33.8,20
