Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2004,1,1,19.4,28.1,19.3,14,26.45,19.26,20,28,19.8
2004,1,2,4.6,27.2,20.5,9.81,26.76,19.69,8.9,27,21
2004,1,3,43.4,28.6,18.6,6.44,28.07,18.18,32.9,28.7,19.1
2004,1,4,0.4,27.4,19.3,3.03,28.54,19.83,11.1,27.8,19.8
2004,1,5,4.4,30.2,20.1,10.52,28.23,20.21,2,30.2,20.1
2004,1,6,8.8,29.4,19.2,14.13,26.29,20.37,23.6,29.7,19.8
2004,1,7,6.2,26,18.4,12.39,27,18.54,11.5,26,18.9
2004,1,8,27.6,26,19.1,12.88,27.27,18.8,23.5,26.2,19.5
2004,1,9,20.6,26.9,19.9,26.38,24.18,19.33,13.4,27,20.5
2004,1,10,21.4,26.5,19.8,10.39,27.4,18.01,28,26.6,20.2
2004,1,11,0.4,29.5,20.2,1.47,29.18,18.66,1.2,29.8,20.6
2004,1,12,0,31.1,21.6,6.74,28.73,20.83,0,31.2,22
2004,1,13,11.2,29.5,21,12.85,29.05,20.55,5.3,29,21.5
2004,1,14,7,29,20.6,6.52,27.94,21.21,5.5,29.1,21
2004,1,15,3.2,29.8,21,1.07,28.32,19.92,5,29.8,21.5
2004,1,16,0,30.6,21.3,0.69,28.61,19.51,0,30.8,21.6
2004,1,17,0,29.8,19.4,0.46,28.45,19.19,0,30.2,19.9
2004,1,18,0,29.9,18.2,0.17,28.4,16.96,0,30.1,18.6
2004,1,19,0,29.5,18.2,0.02,28.49,18.61,0,29.8,18.7
2004,1,20,0,30.6,18.5,1.17,27.62,18.52,0,30.7,18.9
2004,1,21,0,30.3,20,1.17,25.93,18.17,0,30.6,20.4
2004,1,22,0,29.2,21.9,11.79,28.65,17.84,0,29.5,20.6
2004,1,23,1.6,26.9,20,3.69,28.01,19.86,3.9,27.1,20.5
2004,1,24,0,25.1,20.9,2.7,26.98,19.52,0,25.3,21.3
2004,1,25,0.4,25.8,21.4,16.24,24.37,19.96,0.4,26.1,21.7
2004,1,26,11.8,22.7,18.5,37.63,22.61,18.9,10.4,22.8,18.9
2004,1,27,48,23.3,18.9,50.3,25.64,19.45,46.2,23.6,19.3
2004,1,28,20.6,25.6,19.6,8.94,26.77,19.84,17.8,25.9,20
2004,1,29,0.2,30.2,18.7,1.59,27.12,18.61,1.2,30.4,19.2
2004,1,30,0.4,30.1,19.9,3.83,28.02,19.18,0.2,30.3,20.3
2004,1,31,0,30.7,19.3,3.15,28.23,18.58,2.5,30.7,19.6
2004,2,1,8,27.7,19.1,5.26,26.94,19.31,11.1,27.4,19.6
2004,2,2,0.2,26.3,19.5,5.69,25.73,19.48,6.2,26.1,19.9
2004,2,3,14,28.6,19.7,5.18,26.87,18.29,9.3,29,20.3
2004,2,4,3.8,30.5,20.1,4.17,27.51,20.12,4.6,30.6,21.5
2004,2,5,0.2,31,21.4,14.03,27.78,19.48,2.6,31,21.9
2004,2,6,25.8,26.2,19.8,23.23,26.6,17.7,27.8,26.4,20.2
2004,2,7,2.6,25.4,19.5,8.17,27.97,16.15,6.6,25.6,20
2004,2,8,1.2,22.9,18.3,1.12,24.66,17.01,0.4,23.1,18.7
2004,2,9,0.2,24.1,16.4,1.42,24.6,17.17,0.1,24.5,16.8
