Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2007,1,1,6.8,22.8,19.8,15.86,24.36,18.31,11.9,23.3,20.2
2007,1,2,14.8,25.2,19.8,17.21,25.4,19.35,14,25.4,20.2
2007,1,3,6.8,28.7,20.1,17.69,26.61,19.83,12.5,29,20.5
2007,1,4,9.2,26.3,20.3,8.49,26.65,20,12,26.8,20.7
2007,1,5,35,22.5,19.3,17.14,24.88,19.76,23.9,22.9,19.7
2007,1,6,38,25.1,20.3,22,27.22,19.51,36.3,25.3,20.7
2007,1,7,35.4,26.4,19.8,12.43,25.44,19,27.6,26.9,20.2
2007,1,9,0,27.7,17.7,4.65,26.21,17.62,0,28,18.1
2007,1,10,0.2,30.6,19.2,0.37,26.39,18.16,3.5,30.9,19.5
2007,1,11,0,31.1,18.5,0.07,30.44,17.57,0,31.5,18.8
2007,1,12,0,30.2,20.6,5.04,28.14,20.34,3.5,30.6,20.6
2007,1,13,29,26.2,19.5,7.46,27.76,17.06,19.1,26.7,20
2007,1,14,2.6,29.7,19.2,3.28,27.98,15.94,3.2,30.1,19.7
2007,1,15,0,27.7,18.1,2.72,22.29,17.66,3.9,28,18.5
2007,1,16,0,26.9,17.3,0.62,24.9,16.99,0,27.4,17.6
2007,1,19,6.4,30.1,20.9,26.55,26.68,20.58,12.4,30.6,21.2
2007,1,21,0.4,28.4,19,0.79,25.98,18.3,10.4,28.8,20
2007,1,22,0,23.3,17.9,1.3,23.19,17.21,4.6,23.8,18.3
2007,1,23,0,26.8,16.6,1.01,26.87,16.04,0,27.2,17
2007,1,24,0,30.3,16.3,0.08,28.8,16.07,0,30.7,16.7
2007,1,25,0,30.2,19.4,4.16,30.44,17.62,0,30.7,19.7
2007,1,27,1.4,29.8,21,18.36,28.3,20.71,3,30.2,21.3
2007,1,28,1.4,27.2,21.3,20.55,25.76,20.87,1.6,27.7,21.6
2007,1,29,4.6,28.8,20.8,13.42,25.33,21.09,20.1,29.2,21.2
2007,1,30,41,25.2,18.9,0.91,28.3,17.81,26,25.9,19.3
2007,1,31,0,28.1,19,0.02,28.06,17.49,0,28.6,19.4
2007,2,1,0,30.5,19.4,0.93,30.48,18.31,0,31,19.8
2007,2,2,0,28.8,20.6,2.9,27.7,19.05,1,29.2,21.1
2007,2,3,0,29.3,19.1,0.16,28.02,17.54,0,29.8,19.5
2007,2,4,0,29.7,17.7,0.06,28.76,17.13,0.5,30.1,18
2007,2,5,0,30.4,18.2,4.59,28.87,17.42,14.9,30.9,18.5
2007,2,6,1.2,31.1,19.1,13.71,28.78,19.51,3.1,31.5,19.5
2007,2,7,0,27.9,21.9,6.45,27.75,20.58,0,28.5,22.1
2007,2,8,11.6,26.8,20.2,8.67,27.63,19.47,4.7,27.2,20.6
2007,2,9,0,28.6,20.7,15.2,28.27,19.21,8.1,29,21
2007,2,10,32.2,29.3,20.5,15.31,25.83,20,18.7,29.8,20.9
2007,2,11,14.4,24.5,20.4,13.72,24.44,16.44,18.1,25.2,19.3
2007,2,12,3.4,25.3,16.4,0.55,23.4,15.37,26.9,25.7,16.8
2007,2,13,0,25.6,15.1,0.5,24.03,14.89,0,26.1,15.5
2007,2,14,0,27.2,16,18.57,24.48,15.75,0,27.5,16.3
2007,2,15,0,28.2,16.7,2.2,26.73,15.47,0,28.7,17
2007,2,16,0,31,17.9,0,29.02,17.03,2.6,31.4,18.2
2007,2,17,0,32,19.5,0.08,29.87,17.79,0,32.4,19.9
2007,2,18,0,29.7,21.4,27.65,27.92,20.79,8.3,30.2,21.7
2007,2,19,17.8,27.2,19,9.24,26.83,19.65,19.5,27.7,19.5
2007,2,20,0,27.8,20.3,14.78,26.66,19.2,2.2,28.4,20.7
2007,2,21,12,29,19.8,6.29,27.33,19.81,8.2,29.6,19.9
2007,2,22,12.8,31.3,19.5,0.83,29.55,19.51,9,31.7,20.1
2007,2,23,0,31.9,20.4,0.12,30.21,19.74,0,32.2,20.7
2007,2,24,0,32,20.1,0.22,29.98,19.23,5.3,32.4,20.4
2007,2,25,0,27.4,20.7,7.3,24.92,19.01,0,28.1,21
2007,2,26,8.2,24.8,17.8,6.9,25.69,18.37,28.3,25.5,18.3
2007,2,27,6.8,26.4,17.8,4.01,25.73,18.35,9.6,26.9,18.2
2007,2,28,17.6,27.5,18.9,2.07,28.25,19.04,15.2,27.9,19.2
2007,3,1,13.6,28.1,18.1,1.95,25.3,19.19,12.4,28.6,18.5
2007,3,2,0,31.2,20.2,0.85,26.21,19.51,1.5,31.6,20.6
2007,3,3,0,31.1,20.1,0.17,29.01,17.77,2.1,31.6,20.4
2007,3,4,0,30.6,19.2,0.01,28.54,17.86,0,31.1,19.6
2007,3,5,0,32.1,18.7,0.19,30.4,17.4,0,32.5,19.1
2007,3,6,0,32,19.7,0.01,29.89,17.06,2.3,32.5,19.9
2007,3,7,0,31.9,18.3,9.55,29.8,16.93,0,32.3,18.7
2007,3,8,0,30.6,19.2,3.54,29.62,19.01,5.4,31.1,19.5
2007,3,9,0,31.9,19.7,2.04,29.62,19.26,0.5,32.3,20
2007,3,10,0,31.2,19.7,0.71,30.35,18.66,0.5,31.7,20.1
2007,3,11,0,31.1,19.6,9.7,29.26,20.27,1.5,31.4,19.9
2007,3,12,0,29.4,20.6,23.12,22.72,19.4,7.2,29.9,19.8
2007,3,13,0,27.2,19.3,18.87,22.41,18.72,8.1,27.8,19.6
2007,3,14,0,28.4,19,6.31,27.58,17.94,10.7,28.8,19.3
2007,3,15,0,28.9,18.2,6.19,28.1,19.3,3,29.3,18.6
2007,3,16,0,28.8,20,9.6,27.42,19.63,2.2,29.3,20.4
2007,3,17,0,25.5,18.6,9.9,22.37,18.14,3.9,25.8,19
2007,3,18,0,26,18.2,5.46,25.3,18.57,1.2,26.4,18.7
2007,3,19,0,26.5,18.4,0.22,25.6,14.9,5.8,26.9,18.8
2007,3,20,0,26.3,14,0.03,24.3,13.38,0,26.7,14.5
2007,3,21,0,27.3,14.7,0,25.97,15.26,0,27.8,15
2007,3,22,0,29.2,15.9,0.05,26.16,16.28,0,29.5,16.4
2007,3,23,0,30.4,18.7,1.51,28.64,18.52,0,30.8,19.1
2007,3,24,0,31.9,18.6,0.07,29.11,18.05,0,32.2,19
2007,3,25,0,30.5,18.6,0.05,27.96,17.53,0,31,18.9
2007,3,26,0,31.1,18,0.03,29.24,17.65,0,31.6,18.3
2007,3,27,0,31.9,18.8,0,30.11,17.26,0,32.4,19.1
2007,3,28,0,33,18.3,0,30.82,17.25,0,33.4,18.8
2007,3,29,0,32.3,19.9,0,30.14,17.44,0,32.7,20.1
2007,3,30,0,31.1,19.3,0.06,30.19,18.04,0,31.6,19.6
2007,3,31,0,33,19.7,3.88,31.4,19.62,0,33.4,20
2007,4,1,0,30,21.4,1.63,29.23,19.31,0,30.5,21.6
2007,4,2,0,31.3,19.5,2.53,30.48,19.52,0,31.8,19.9
2007,4,3,0,31.2,21.1,5.65,28.72,19.96,0,31.7,20.4
2007,4,4,0,27.2,19.6,7.55,28.17,19.23,0.3,27.9,19.9
2007,4,5,0,24.1,19.6,0.99,26.05,17.36,0,24.7,19.9
2007,4,6,0,25.2,17.2,0.44,24.89,17.06,0,25.8,17.5
2007,4,7,0,23,17.7,5.4,26.3,17.18,0,23.6,18
2007,4,8,0,25.4,16.3,6.27,23.28,17.61,0.2,25.7,16.9
2007,4,9,0,25.6,15.8,0.2,25.19,15.82,7.8,26,16.3
2007,4,10,0,26,15.7,0.08,25.37,15.43,0,26.5,16.1
2007,4,11,0,28.3,16.5,0.01,26.55,15.18,0,28.8,16.8
2007,4,12,0,29.4,16.7,1.74,27,16.27,0,29.8,17.2
2007,4,13,0,22.8,18.3,14.59,25.02,17.72,0,23.5,18.8
2007,4,14,0,26.7,17.8,9.26,26.01,16.89,0,27.3,18.2
2007,4,15,0,28.5,17.7,1.15,26.76,17.82,0,28.9,18
2007,4,16,0,28.3,17.9,0.04,26.81,16.94,0.5,28.8,18.3
2007,4,17,0,27.2,17.4,0.01,25.74,15.48,0,27.7,17.8
