Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2004,1,1,0,32.4,17.2,0.18,35.02,19.02,0,32.9,17.7
2004,1,2,0,32.9,18.9,0.02,35.44,20.27,0,33.2,19.4
2004,1,3,0,30.6,20.9,0.16,34.87,21.15,0,31.2,21.5
2004,1,4,0,31.4,20.5,0.21,33.15,19.96,0,32,21
2004,1,5,0,30.7,19.4,0.04,33.61,18.89,0,31.1,19.9
2004,1,6,0,30.9,18.2,0.18,33.69,18.11,0,31.2,18.8
2004,1,7,0,30.4,18,0.05,33.69,19.07,0,30.9,18.5
2004,1,8,0,29.3,18.9,2.74,30.89,20.05,0,29.7,19.4
2004,1,9,0,31.7,20.2,1.26,33.21,20.28,0.2,32.2,20.7
2004,1,10,0,28.3,20.3,1.22,28.87,20.58,0.2,28.9,20.8
2004,1,11,1,27.3,20.4,9.73,31.5,20.69,0.6,28.1,20.8
2004,1,12,2.4,30,20,12.98,32.07,19.61,2.8,30.5,20.7
2004,1,13,7.2,27.5,19.8,22.78,28.02,21.63,10,28.1,19.9
2004,1,14,29.2,29.1,19.2,36.02,27.05,20.83,29.3,29.6,19.4
2004,1,15,32.8,27.6,20.5,21.35,27.9,20.83,32.7,28.1,21
2004,1,16,2.2,28.5,20.5,22.21,28.1,21.39,5.2,29,20.9
2004,1,17,37.6,29.2,20.8,34.23,26.78,21.73,30.5,29.7,21.3
2004,1,18,40.2,23,19,23.35,24.11,19.75,35.1,23.6,19.5
2004,1,19,8.2,23.5,17.8,3.55,26.62,18.31,5.8,24,17.7
2004,1,20,0.2,26.9,18.4,8.75,29.13,17.94,0.3,27.3,19
2004,1,21,4.8,28.3,19.4,8.78,28.46,20.91,23.3,28.8,19.9
2004,1,22,0,28.3,20.5,4.05,29.08,20.33,0.2,28.8,21
2004,1,23,2.4,27.5,18.8,0.9,28.81,19.62,1.5,28.1,19.3
2004,1,24,0.2,28.2,18.3,3.18,27.83,19.24,0.1,28.8,18.8
2004,1,25,0.2,28.2,19.2,2.27,28.05,19.11,0,28.7,19.7
2004,1,26,0,24.7,18.7,1.31,29.19,18.66,0.3,25.2,19.2
2004,1,27,7.2,28.2,18.3,1.62,29.13,18.98,3.8,28.6,18.8
2004,1,28,0,27.8,17.4,3.32,28.81,18.12,0,28.3,18
2004,1,29,1,28.1,18.3,5.51,28.07,18.79,1.1,28.4,18.8
2004,1,30,1.6,28.1,18.5,15.56,28.73,18.75,1,28.6,19
2004,1,31,12,26.1,17.5,7.09,27.48,20.09,7.5,26.5,18
2004,2,1,1.6,27.8,18.8,1.98,27.78,19.69,0.6,28.1,19.3
2004,2,2,2.4,28.1,19,1.5,28.2,19.71,2.1,28.7,19.5
2004,2,3,0,26.1,19.3,1.04,26.47,19.05,0,26.6,19.8
2004,2,4,0.2,27.4,18.2,4.33,28.47,18.86,0.2,27.9,18.8
2004,2,5,0.6,28.2,19,5.17,29.34,19.04,0.4,28.6,19.5
2004,2,6,2,29.2,19.4,1.61,30.52,19.26,2.4,29.8,19.8
2004,2,7,0,29.8,20.3,2.67,29.02,20.87,0.1,30.4,20.8
2004,2,8,0,26.2,20.2,16.6,25.16,20.67,1.9,26.9,20.4
2004,2,9,34.2,26.2,18.7,3.57,28.49,20.46,20.9,26.9,19.1
2004,2,10,0,27.7,18.8,0.03,28.8,20.04,0,28.1,19.3
2004,2,11,0,29,18.8,2.09,28.62,19.26,0,29.4,19.3
2004,2,12,0.2,28.7,19.6,1.92,29.04,19.48,0,29.1,20.1
2004,2,13,0.2,25.9,18.2,1.34,29.18,18.03,0.4,26.5,18.6
2004,2,14,0,28,17.8,0.27,29.38,17.33,0,28.6,18.3
2004,2,15,0.2,29.5,18,0.33,31.13,18.95,0,30.1,18.5
2004,2,16,0,29.6,19.6,0.27,29.45,20.29,0,30.2,20
2004,2,17,0,29.1,20.3,2.05,30.27,20.42,0.2,29.7,20.8
2004,2,18,0,29.1,20.5,0.35,30.66,20.34,0.2,29.6,20.9
2004,2,19,0,27,19.2,2.2,29.73,19.42,0,27.4,19.7
2004,2,20,1,25.2,18.1,4.03,26.98,19.4,2.5,25.8,18.6
2004,2,21,2.4,28,19.5,2.62,28.95,19.48,1.3,28.3,20
2004,2,22,14.4,25.9,18.8,5.09,27.87,18.99,6.9,26.5,19.4
2004,2,23,4,29,18.9,0.31,30.63,18.47,2.2,29.5,19.4
2004,2,24,0.2,30.8,17.8,0.02,31.88,18.74,0,31,18.3
2004,2,25,0,29.9,19.2,0,30.92,19.56,0,30.4,19.7
2004,2,26,0.2,29.6,18.9,0.09,30.11,19.29,0.1,30,19.4
2004,2,27,0,29.1,18.4,2.16,32.65,18.98,0,29.8,18.9
2004,2,28,0.2,29.3,18.6,20.2,30.01,20.19,2.1,29.8,19.2
2004,2,29,3.6,26.9,18.7,2.68,28.15,21.55,23.3,27.4,19.2
2004,3,1,0.4,29,18.8,4.28,28.96,21.41,0.9,29.5,19.3
