Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2019,1,1,0,36.4,22.5,0,38.31,21.4,1.4,36.3,22.2
2019,1,2,0,35.7,22.8,0,38.77,21.77,0,36,22.5
2019,1,3,0,35.7,21.1,0,37.34,23.01,0,36,20.5
2019,1,4,0,35.5,21.2,0.9,37.68,23.09,0,36,20.9
2019,1,5,0,34.1,21.3,0.82,36.96,22.92,0,34.6,20.9
2019,1,6,0,34.6,22.2,0.21,36.2,21.65,0,35.3,21.7
2019,1,7,0,31.7,21.9,0.39,35.55,22.15,0,32.1,21.2
2019,1,8,0.4,32.3,19.7,0.03,36.07,20.77,0.4,33,19.4
2019,1,9,0.2,32,19.3,1.95,34.94,21.55,0.1,32.3,19.3
2019,1,10,0,34.5,22.2,5.07,33.15,22.44,0,34.1,21.8
2019,1,11,0,35.2,20.7,0.98,29.88,21.33,0,35.7,20
2019,1,12,0.6,35.6,21.9,0.04,30.95,19.9,0.2,35.8,21.6
2019,1,13,0,34.6,20.2,1.66,31.69,21.96,0,35,19.5
2019,1,14,0,34.4,22.9,1.18,34.07,21.73,0.3,34.8,22.1
2019,1,15,0,36,21.5,0.5,35.32,21.08,0,36,21.1
2019,1,16,0,34.3,18.1,0.06,34.89,19.98,0,35,18.2
2019,1,17,0,34.6,21.2,0.11,35.42,20.69,0,35.4,20.8
2019,1,18,0,35.5,21.1,0.01,35.86,20.51,0,35.9,20.8
2019,1,19,0,35.9,20.8,0.14,35.55,22.22,0,36.3,20.3
2019,1,20,0,35.6,22.7,0.09,36.94,21.69,0,36.1,22.4
2019,1,21,0,36.1,22.6,0.01,36.97,21.26,0,36.2,22.1
2019,1,22,0,36.2,19.6,0,35.25,21.14,0,36.5,19.3
2019,1,23,0,36.1,21.1,0.07,35.6,20.36,0,36.2,20.9
2019,1,24,0,35.7,22,0.95,34.86,22.29,0,35.4,21.4
2019,1,25,1.2,36.2,21.4,0.08,36.57,21.35,2,35.5,21.3
2019,1,26,0,35.7,19.9,0,35.01,22.89,0,35.6,20
2019,1,27,0,36.1,19.9,0.07,34.69,23.05,0,36.2,19.9
2019,1,28,0,33.5,20.7,2.75,35.77,22.98,0.1,33.4,20.6
2019,1,29,5.8,34.6,22,0.11,36.44,22.26,8.4,34.4,21.3
2019,1,30,0,35.6,19.8,1.3,36.87,23.12,0.3,35.8,19.5
2019,1,31,0,34.3,21.4,0.21,37.67,22.97,0,34.7,21
2019,2,1,0,36,21.9,0,37.07,23.32,0,35.9,21.2
2019,2,2,0,33.7,22.8,0.14,38.63,21.96,0,34.2,22.3
2019,2,3,0,36.3,20.9,1.07,38.25,23.18,0.1,36.2,20.6
2019,2,4,0,37,21.7,2.05,36.23,23.51,0,37.6,21.5
2019,2,5,0,36.7,23.7,1,36.9,23.08,0,37.1,23
2019,2,6,0,30.8,23.6,1.26,37.77,23.79,0,29.9,23.1
2019,2,7,21.6,34.2,22.9,4.94,32.11,23.62,26.1,34.2,22.9
2019,2,8,0,35.8,22.2,4.43,35.86,23.92,0,35.8,21.7
2019,2,9,0,35.9,21.9,1.94,35.98,22.86,0,36.2,21.7
2019,2,10,0,36,22.1,0.86,35.65,21.94,0,35.7,21.9
2019,2,11,0,35.2,23,0.34,33.07,20.93,0,35.2,22.1
2019,2,12,0.2,35.9,21.9,1.28,35.58,19.94,0.2,36.1,21.2
2019,2,13,0,37,21.3,5.8,31.65,22.26,0.1,37,21
2019,2,14,0,35.1,24.8,2.46,33.36,21.86,0,35.7,23.8
2019,2,15,0,36.7,25.1,1.84,32.71,22.02,0.1,36.7,24.3
2019,2,16,0,38.9,23.9,1.03,34.27,21.59,0,38.8,23.5
2019,2,17,1.4,38,24.8,0.82,33.02,21.27,0.6,37.9,23.7
2019,2,18,13.2,35.8,23.6,1.9,34.14,21.27,8.3,36.6,24.5
