Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2007,1,5,15.2,25.1,21.072727,54.19,22.32,18.33,23.9,25,18.1
2007,1,7,2.2,27.7,22.295455,2.22,27.19,18.21,6.6,27.2,19.4
2007,1,8,20.8,27.9,22.178261,3.22,26.94,19.23,10.1,27.8,18.5
2007,1,12,0,29.7,24.779167,0,26.76,17.24,3.2,29.5,20.5
2007,1,13,16.8,28.3,22.620833,0,26.5,17.41,6.3,28,18.8
2007,1,14,10.2,27.4,21.895833,0,27.83,17.08,14.6,27,19.7
2007,1,15,23,27.1,22.470833,0,28.05,17.68,28,26.7,19.3
2007,1,16,69.2,27.7,21.709091,0.01,28.62,18.15,41.8,27,19.3
2007,1,17,2.2,29.9,23.966667,14.1,25.76,20.15,4.8,29.4,20
2007,1,18,1,29.4,22.4,2.1,27.94,18.54,4.8,29,19.1
2007,1,19,13.8,29.8,23.969565,0.4,28.51,18.65,8.5,29.6,19.5
2007,2,1,0.6,30.3,23.270833,14.88,27.53,18.37,13.3,30,19.1
2007,2,2,1.2,30.2,23.8875,3.36,27.94,18.69,2,29.9,20
2007,2,3,30.8,28.4,22.821739,1.86,27.15,18.65,18.3,27.9,17.4
2007,2,4,0,30.5,24.043478,0.12,27.98,19.01,6.9,30.2,18.9
2007,2,5,0.2,31.1,24.695833,0,29.3,18.63,2.9,30.6,20.8
2007,2,6,0,25.9,21.791667,0.03,29.08,18.39,11.2,25.3,19.5
2007,2,7,35.4,28,22.325,2.14,29.5,19.46,31.4,27.4,19.6
2007,2,8,6.6,29,23.770833,14.11,28.44,20.04,11.7,28.5,20.4
2007,2,9,0,30.5,24.566667,5.1,26.84,20.69,6.7,30.1,19
2007,2,10,0,30.5,24.383333,16.85,28.16,19.71,9.1,30.2,18.9
2007,2,11,0,28.3,22.841667,18.44,25.8,19.67,0,28.2,17.8
2007,2,12,19.8,21.6,20.083333,32.04,23.9,19.14,28.9,21.2,18.6
2007,2,13,38,26.9,21.7125,2.92,27.54,17.85,38.6,26.4,18.4
2007,2,14,0,28.5,22.45,1.43,28.57,18.63,0,28.1,17
2007,2,15,0,30,23.5125,19.47,25.8,20.19,0,29.6,18.1
2007,2,16,0,30.6,23.470833,3.31,27.2,20.23,0,30.3,18.5
2007,2,17,0,29.7,23.725,15.29,26.73,19.73,0,29.5,19.1
2007,2,18,0.6,29,22.3375,0.2,29.63,18.79,3.6,28.8,18.2
2007,2,19,0.8,30.6,23.066667,1.18,29.08,18.76,2.8,29.9,17.7
2007,2,20,1.4,26.9,22.429167,5.56,28.12,21.29,1.7,26.6,19.1
2007,2,21,0,29.9,23.15,13.97,27.98,20.01,1.9,29.2,19.1
2007,2,22,0.2,30.1,23.729167,3.7,27.26,18.17,0,29.7,17.7
2007,2,23,0,30,23.066667,20.28,26.2,19.39,0,29.6,17
2007,2,24,0,30.2,23.379167,5.21,25.83,19.83,0,29.9,17
2007,2,25,7.2,29.4,21.658333,3.31,26.62,19.5,15.7,29,16.5
2007,2,26,0,27.9,21.766667,6.16,25.05,20.2,1.9,27.6,16.9
2007,2,27,41.6,27.9,20.8625,10.55,26.76,19.13,20.4,27.5,18.1
2007,2,28,4.2,28.9,22.170833,6.81,28.2,19.05,2.9,28.4,17.9
2007,3,1,27.8,29.6,23.016667,4.73,28.33,19.58,7.1,29.1,18.6
2007,3,2,0,30.1,23.254167,4.71,27.15,20.69,0,29.7,17.3
2007,3,3,0,29.8,23.383333,1.55,27.25,20.76,0,29.4,17.8
2007,3,4,0,29.7,22.858333,10.59,28.6,20.3,0,29.3,16.3
2007,3,5,0,30.3,22.866667,6.29,25.73,21.4,0,29.9,17
2007,3,6,3.4,30.2,23.408333,10.38,25.06,20.02,0.8,29.7,17.4
2007,3,7,0,30.7,23.191667,3.36,26.48,18.88,0.6,30.4,18
2007,3,8,0,30.6,24.020833,3.86,27.56,19.3,0,30.3,18.1
2007,3,9,0,30.1,24.1375,0.36,27.81,18.15,0,29.8,18.2
2007,3,10,0,31.5,25.125,4.83,28.94,19.31,1,31.2,19.2
2007,3,11,0,30.8,24.895833,5.69,27.39,18.84,1,30.4,19.4
2007,3,12,0.6,30.3,23.883333,0.38,26.68,17.46,1.1,30.1,16.3
2007,3,13,0.8,31.4,23.875,6.76,25.23,19.02,0.2,30.8,17.9
2007,3,14,0.4,30.7,23.717391,3.4,25,18.54,0,30.1,19.2
2007,3,15,0,30.3,23.391667,5.12,25.15,19.19,1.4,30,18.5
2007,3,16,3.4,30.1,23.420833,5.64,25.83,18.86,0.8,29.7,19.3
2007,3,17,3,26.6,21.0875,3.59,23.49,18.23,13.9,26.5,18.6
2007,3,18,17,27.1,20.925,13.89,26.78,16.82,14.8,26.8,18.1
2007,3,19,28.2,25.1,21.029167,12.11,25.19,18.44,22.8,24.7,18.1
2007,3,20,17.8,25,20.75,6.43,27.12,17.83,15.8,24.9,17.9
2007,3,21,0.8,28.1,21.326087,9.19,27.65,18.98,3.1,28,18.1
2007,3,22,7,29.8,22.616667,10.47,27.33,18.7,6.7,29.5,18.7
2007,3,23,0.8,31.7,24.25,2.52,27.35,18.87,0.2,31.3,18.6
2007,3,24,0,32.1,25.041667,5.65,27.81,18.83,0,31.6,18.7
2007,3,25,0,31.9,24.820833,7.48,27.3,18.69,0,31.5,18.5
2007,3,26,0,31.1,25.0625,10.53,26.37,19.11,0,30.8,18.4
2007,3,27,0,31.3,24.904167,2.23,27.16,19.37,0,30.9,19.1
2007,3,28,0.4,31.5,24.666667,0.4,27.26,18.68,0.1,31.2,18.3
2007,3,29,0,31.6,24.9875,29.23,26.25,18.33,0,31.3,18.4
2007,3,30,0,30.6,24.058333,5.82,26.89,19.33,0,30.3,18
2007,3,31,0,30.7,24.183333,3.04,27.56,19.64,0,30.5,18.1
2007,4,1,0,31.4,23.5,0.24,26.93,17.71,0,31.2,17.7
2007,4,2,3.8,31.2,24.1,0.24,27.2,18.1,5.3,30.8,18.2
2007,4,3,0,31.3,24.0625,0.13,27.15,17.83,0,31,16.5
2007,4,4,0,31,24.358333,0.12,26.52,17.71,0,30.7,18
2007,4,5,0,30.5,24.195833,5.11,24.69,17.19,0,30.4,18
2007,4,6,0,30.8,24.279167,28.12,26.31,17.44,1,30.5,20.1
2007,4,7,0.2,29.3,22.641667,6.04,25.33,19.37,4.9,28.5,19.2
2007,4,8,0,25.4,21.383333,1.94,24.94,18.88,3.8,25.3,18.7
2007,4,9,22,25.6,21.208333,0.37,26.25,16.87,17.9,25.3,16.7
