Year,Month,Day,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
2018,1,1,27,30.2,18.6,6.88,26.47,20.19,33.3,31.2,18.8
2018,1,2,32.6,29.6,19.6,16.56,26.94,19.44,18.2,30.4,20.2
2018,1,3,45.2,28,18.8,8.93,27.05,20.61,40.7,28.3,19.4
2018,1,4,24.8,28.3,19.7,7.85,27.7,20.91,22.6,29,19.6
2018,1,5,1.4,27.1,20.7,33.96,26.71,20.8,6.8,27.3,20.8
2018,1,6,71.2,23.9,19.8,13.2,25.11,19.52,32.1,24.3,19.8
2018,1,7,7,28.6,20,17.85,24.94,19.19,20,28.5,19.9
2018,1,8,18.2,26.5,19.1,17.6,25.52,18.83,27.7,26.3,19.2
2018,1,9,20.6,29.2,19.3,3.01,27.39,18.61,30.3,26.6,19.6
2018,1,10,0.6,30.6,17.7,0.74,29.15,18.26,3.7,30.7,17.8
2018,1,11,0,30.2,20.4,9.54,27.99,19.26,1.7,30.3,17.9
2018,1,12,44.4,27.8,17.8,2.9,25.86,19.78,21.1,29,18.9
2018,1,13,8.2,30,18.5,6.28,27.98,17.73,2.3,29.9,18.4
2018,1,14,3.6,31,18.5,6.33,28.26,18.71,4.2,30.9,18.4
2018,1,15,0.2,31.2,19,6.76,27.43,19.58,4.5,31.5,17.9
2018,1,16,27.4,28.6,18.9,4.66,26.39,19.78,15,29.2,19.4
2018,1,17,6.4,32.4,20.3,1.37,28.34,19.95,2.9,32.9,20.4
2018,1,18,0,31.8,19.6,0.04,30.06,19.1,0,32.3,19.4
2018,1,19,0,32.8,18.5,0.14,30.54,17.72,0,33.4,18.4
2018,1,20,0,32.6,19.3,0,30.6,18.35,0,33.4,18.7
2018,1,21,0,33,19.5,0,31.33,19.41,0,33,19.4
2018,1,22,0,33.6,19.9,0.23,31.37,19.95,0,34.2,18.9
2018,1,23,0,33.5,20.3,2.9,30.53,19.62,0,35.2,20
2018,1,24,4.6,32,19.8,1.1,30.2,19.61,1.7,32.7,20.7
2018,1,25,8.2,30.8,20.7,6.58,27.96,20.84,2.4,31.1,21.1
2018,1,26,6.4,30.4,20,5.48,29.65,20.01,10.6,30.7,20.4
2018,1,27,13.4,31.1,19.2,2.51,29.7,19.01,12.4,32.6,19
2018,1,28,1.6,31.8,21.1,10.46,29.66,20.01,2.4,31.8,21
2018,1,29,5.6,29.7,20.9,13.35,27.44,20.65,9.3,30.6,21.2
