Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,0,25.625,21.59414667,154.43,26.87416667,19.32583333,109.1,26.54166667,19.7
2,0,28.85652174,23.09076091,130.5,28.35347826,18.85347826,87.3,29.73913043,19.67391304
3,0,29.90322581,23.72526881,164.64,29.20483871,18.34322581,119.9,30.92258065,19.53870968
4,0,27.19,21.64222223,66.27,27.16666667,17.26033333,57.6,28.21666667,18.47
5,0,23.0862069,17.33587579,44.59,22.57758621,12.12310345,22.6,24.0137931,13.74482759
6,0,25.03448276,17.72233252,17.83,23.42241379,10.94275862,13.7,25.9,13.43448276
7,0,22.27096774,15.67040561,177.1,21.70129032,9.234193548,135.5,23.07741935,11.73548387
8,0,25.61612903,18.37067452,2.17,25.16580645,11.35516129,0.6,26.59354839,13.57096774
9,0,28.86666667,21.7665278,14.72,29.173,14.46966667,4.2,29.80333333,16.52
10,0,29.8483871,22.10372255,77.02,31.18,16.36322581,65.8,30.70322581,17.15806452
11,0,26.848,20.64704352,171.73,28.3528,16.294,125,27.732,16.684
12,0,28.62903226,22.5697581,264.74,29.2016129,17.69354839,201.4,29.48709677,18.40967742
1,0,26.40967742,21.417742,183.95,28.00451613,18.19354839,152.3,27.46774194,18.75483871
2,0,28.05555556,22.15848756,179.88,28.00222222,18.4637037,130.1,28.9,19.08888889
3,0,27.81290323,21.70685474,142.66,27.36741935,17.52806452,91.6,28.68709677,18.33225806
4,94.8,25.81,19.89277777,180.35,25.772,16.181,177.3,26.48666667,16.67666667
5,85.8,22.59354839,16.50271461,93.63,22.06806452,11.81354839,79.9,23.19677419,12.49354839
6,64.4,22.94333333,16.61006207,57.16,22.171,11.73433333,61.6,23.54333333,12.89
7,0.6,24.80645161,17.2836021,1.62,23.49322581,10.20967742,0.1,25.47096774,11.77419355
8,125.8,25.19354839,18.45430113,110.88,25.65129032,12.62193548,124,26.0483871,14.01290323
9,82.6,24.76,17.66208333,81.99,25.89,12.13833333,81.7,25.60666667,13.39666667
10,123.8,26.81724138,20.68670434,130.94,28.36310345,16.20137931,124.8,27.58275862,16.96206897
11,33.2,27.77916667,20.88188883,69.98,28.22375,16.42541667,43.4,28.63333333,16.9125
12,116.4,29.00333333,21.91797093,140.29,29.96966667,16.50766667,112.7,29.83666667,17.38
1,354,26.63333333,21.28628627,302.8,27.98733333,18.368,353.7,27.34333333,18.56
2,166.6,28.73333333,22.74723871,135.46,28.18125,19.37291667,166.2,29.33333333,20.01666667
3,70,29.376,22.95979184,88.45,28.7564,18.8276,71.3,29.976,19.264
4,83.8,26.92142857,20.45019707,37.21,26.57928571,16.13392857,76.6,27.52857143,16.54285714
5,50.4,25.2,18.53556761,25.49,24.75888889,13.62777778,52.3,25.8,14.66666667
12,9.6,28.525,23.84986425,26.37,29.8425,19.72,17.7,29.15,21.1
1,19.6,26.7,21.80080417,40.05,26.98166667,19.385,37.2,27.91666667,19.58333333
2,178,29.21,23.97071885,55.22,29.4375,19.699,173.9,30.2,20.675
3,3.2,28.61666667,22.59965283,12.55,27.66583333,17.02166667,1.9,29.51666667,18.69166667
5,6.4,23.04,17.5873486,1.07,23.047,13.631,4.3,23.85,14.73
6,7.8,22.995,16.76584405,16.81,22.299,10.8085,7.7,23.915,13.025
7,56.2,23.85172414,18.08679293,54.62,23.65,12.55793103,49.8,24.73793103,14.34137931
