Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
9,35.4,28.55666667,15.75666667,57.54,29.83933333,15.10466667,44.2,28.79666667,15.97666667
10,150.6,29.71290323,16.76129032,140.75,31.13483871,15.98322581,122.4,29.94193548,16.90967742
11,147.4,30.175,18.95357143,168.32,31.71392857,18.69571429,125.3,30.43214286,19
12,278,29.08571429,18.67142857,221.9,29.41785714,17.81464286,251.1,29.31785714,18.88571429
1,323.8,29.65769231,19.08846154,198.2,30.03730769,19.015,219.4,29.89615385,19.28076923
2,7.6,26.1,19.2,23.58,27.61333333,18.15,25.8,26.4,19.06666667
3,66.8,31.57272727,19.87727273,77.06,30.72545455,19.80681818,68.2,31.79090909,20.14545455
4,0,33.8,20,6.24,31.23,20.86,0,34,20.2
5,89.2,25.96296296,15.7962963,98.69,26.06777778,15.19592593,96.7,26.20740741,16.05925926
6,0,27.784,15.704,2.19,26.8184,13.7088,0.7,28.108,15.944
7,31.6,25.17142857,13.07619048,31.02,25.64761905,12.2447619,30.9,25.4,13.44285714
8,58,28.63076923,16.15769231,88.43,29.89538462,14.98192308,46,28.86153846,16.43461538
9,41.4,27.225,14.7,38.64,28.82,13.8715,28.7,27.605,14.92
10,4.2,34.9,20.5,8.36,35.88818182,19.54272727,2.5,35.24545455,20.84545455
11,76.4,30.98571429,20.24285714,35.06,32.42142857,19.79857143,47.2,31.3,20.45714286
12,123.8,31.5,19.365,139.33,31.8385,19.733,127.7,31.7,19.495
1,289.4,30.02272727,20.37727273,231.83,30.93636364,20.85454545,263,30.20909091,20.66363636
2,135.4,30.96470588,20.43529412,113.29,31.64588235,20.60117647,138.7,31.19411765,20.65882353
3,78,29.97083333,19.5125,167.22,29.70875,19.23458333,69.8,30.1875,19.7125
4,55,28.835,17.445,51.29,27.7,16.406,40.1,29.095,17.59
5,39.6,25.15666667,13.39,32.69,23.89133333,11.94433333,37.2,25.40333333,13.47666667
6,47,27.10344828,15.00344828,25.06,25.52413793,13.0962069,23.1,27.32068966,15.2137931
7,14,26.47,13.89,20.46,25.061,11.348,10,26.68333333,14.04666667
8,33.4,26.07241379,12.53448276,31.46,26.26827586,10.97068966,30.7,26.41724138,12.72758621
9,16.2,29.37,15.19666667,20.31,30.814,14.33133333,11.5,29.59333333,15.29333333
