Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,186.8,30.20645161,24.49206987,201.91,28.32354839,20.93258065,204.9,30.36451613,20.78387097
2,77.2,32.26071429,26.03020829,109.84,29.04642857,20.65928571,97.6,32.43214286,21.1
3,202.2,31.58709677,25.26680097,95.82,29.95677419,19.98193548,185.2,31.8516129,20.36129032
4,59.4,29.85333333,23.71458337,122.1,29.366,18.28333333,81,30.1,18.91
5,108,28.05806452,22.2395161,94.96,27.98806452,17.08258065,103.4,28.31612903,17.69032258
6,0.8,26.63666667,20.27597223,3.09,27.271,13.584,1.5,26.9,14.66666667
7,0,26.31290323,19.36553294,0.16,27.54032258,12.49290323,0,26.55483871,13.17419355
8,13,29.58709677,22.22150532,21.13,31.53,15.96322581,12.3,29.87741935,16.03870968
9,21.2,33.09333333,25.3969444,17.42,35.348,18.75533333,19.6,33.35666667,18.10333333
10,115.6,33.50967742,25.91706984,96.74,34.91741935,20.88322581,93,33.69354839,19.92903226
11,268.8,30.78,24.34069447,217.96,30.15066667,19.94133333,245.5,30.95666667,19.42
12,281.4,31.0483871,25.18575265,171.08,29.64290323,20.71387097,286.6,31.23870968,20.8516129
1,253.4,31.30967742,24.90497316,200.95,28.55,20.99709677,266.3,31.43548387,20.86451613
2,130.8,30.90714286,24.72946432,139.52,28.64464286,19.91964286,162.7,31.07142857,20.33928571
3,132,32.47419355,26.20111084,106.02,29.52354839,21.39774194,114.1,32.71935484,21.40967742
4,15,30.03684211,24.08913484,12.53,29.61894737,18.35105263,19.1,30.33684211,18.94736842
5,0.8,29.15,22.47530739,5.77,29.86944444,15.85722222,0.3,29.43888889,16.58333333
6,0,29.26,21.9093114,0,30.964,15.298,0,29.54,14.96
7,4,29.25483871,21.56827948,2.11,30.87774194,15.33967742,1.8,29.56129032,14.58387097
8,31.2,28.82580645,21.24892471,24.14,30.69129032,15.49451613,23.3,29.05806452,15.41935484
9,57.4,31.25666667,23.8015278,53.89,33.02233333,18.30166667,61.6,31.45333333,17.9
10,158,31.96774194,25.17271506,143.69,31.25258065,20.60677419,212.2,32.18387097,20.20645161
11,215.8,30.04,24.29930563,204.45,29.00333333,20.09366667,361.4,30.23333333,20.20333333
12,166.8,32.3516129,25.80228494,123.31,30.92354839,21.01741935,159.7,32.51935484,20.9516129
1,96.6,33.48387097,26.92134174,78.78,32.10645161,21.77129032,68.2,33.63548387,21.7
2,319.4,31.66785714,25.20669654,157.83,31.50678571,21.89,309.6,31.81785714,20.84285714
3,215.6,31.30645161,25.04811823,110.1,29.28774194,20.42483871,196,31.46451613,20.63548387
4,129.2,30.81333333,24.73236107,73.84,30.77766667,19.36033333,154,31,19.95333333
6,12,27.84827586,21.162069,4.96,29.58896552,14.76655172,8.9,28.14827586,15.2137931
7,12.4,27.47096774,20.1604839,15.6,28.75548387,13.78580645,14,27.78064516,13.71612903
8,8,29.78709677,22.18602152,13.31,31.53322581,16.35451613,10,30.08064516,15.70967742
9,72.6,33.85333333,25.89874997,57.58,35.78033333,20.18933333,68.2,34.12666667,19.14
10,53.6,34.57096774,26.93306465,47.44,35.56129032,21.29354839,45,34.75806452,20.41935484
11,171.4,32.37,25.72821257,96.85,33.763,21.61433333,146.2,32.57333333,20.81
12,271.8,31.24193548,25.09188287,223.07,29.95129032,21.25387097,239.4,31.44193548,20.87741935
1,318,31.96774194,25.37459677,190.06,30.20774194,21.24322581,270.3,32.13870968,21.06129032
2,351.6,29.95862069,24.30071838,192.17,28.57206897,20.58448276,248.4,30.22413793,20.96896552
3,98.8,31.41724138,24.96845048,77.12,29.79206897,19.05103448,95.8,31.72413793,19.72758621
4,22.6,30.34736842,23.79453911,31.06,30.62894737,17.84947368,29.1,30.55789474,18.32631579
