Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,40.4,32.75483871,27.37661297,18.3,28.85096774,26.13258065,30.4,32.75483871,23.32258065
2,55.2,32.77142857,27.25634468,67.59,28.65535714,26.35142857,70,32.77142857,23.19642857
3,67.2,33.06451613,27.47256319,56.93,29.41354839,26.55193548,53.7,33.06774194,22.9
4,102,32.74,27.24236107,140.21,29.15433333,26.77766667,120.3,32.74,23.18333333
5,638.8,29.44516129,25.72419365,419.27,27.58387097,26.11967742,558.6,29.4516129,23.59032258
6,315.8,29.08666667,25.44708337,122.85,26.99233333,25.21366667,256.5,29.08666667,22.95333333
7,207,28.61935484,24.70846771,106.96,26.57387097,24.74322581,165.4,28.61935484,22.1
8,270.2,28.47419355,24.75672048,156.33,26.42451613,24.44354839,259.2,28.47419355,22.23548387
9,82.2,29.53666667,25.30444447,53.14,27.20466667,24.76833333,74.9,29.53666667,22.28333333
10,45.8,30.95,26.33214293,12.98,28.17321429,25.36428571,31.6,30.97857143,22.875
11,2,31.54333333,26.87750007,8.11,28.40833333,25.62066667,5.2,31.55333333,23.17333333
12,38.4,32.1483871,27.2700269,24.57,28.74677419,26.19741935,31.8,32.1516129,23.47419355
1,70,32.12903226,27.07842126,59.86,28.50967742,26.15677419,63,32.13225806,23.32580645
2,103,32.47142857,27.6238095,42.27,28.90357143,26.73428571,94,32.47142857,24.00714286
3,31.8,33.38064516,27.92755368,41.54,29.68870968,27.12032258,34,33.38064516,24.19032258
4,573.8,31.35,27.20916663,212.96,29.08866667,26.97666667,405.7,31.35333333,24.28333333
5,226.2,30.87419355,26.44017652,95.98,28.47387097,26.31967742,180.7,30.87419355,23.71290323
6,239.6,29.4,25.84940486,137.13,27.58214286,25.82928571,247.3,29.4,23.16428571
7,37,28.2875,24.6265625,21.88,26.3325,24.4775,34.4,28.2875,22.1125
8,79,28.42068966,24.16135059,72.58,25.94896552,23.79689655,77.8,28.42068966,21.13103448
9,35.2,28.82,24.51319443,62.82,26.462,24.05866667,70.5,28.82333333,21.43333333
10,30.8,30.48387097,26.04099458,21.25,27.87354839,25.06096774,34.1,30.49032258,22.89354839
11,12.2,31.30666667,26.53694447,11.17,28.14166667,25.355,12.2,31.31,22.95666667
12,12,31.75714286,26.99285721,3.53,28.53142857,25.76285714,14.6,31.77857143,23.63571429
3,21.2,33.025,27.54106683,21.95,29.4575,26.87416667,15.6,33.03333333,23.38333333
4,246.8,31.53333333,26.80708333,194.3,28.68766667,26.69533333,237.4,31.53,23.28
5,320.6,29.43225806,25.76209677,247.2,27.30741935,25.69677419,301.3,29.43225806,23.30645161
6,109.4,28.98666667,24.78999997,77.99,26.588,24.75933333,82.4,28.98666667,22.07666667
7,278.2,27.87096774,24.11465048,143.41,25.99387097,24.23096774,237.5,27.87096774,21.43870968
8,95.2,28.39354839,24.15645161,75.84,26.25709677,24.01354839,85.2,28.39354839,20.93870968
9,73.2,28.57666667,24.48055553,52.81,26.251,23.961,84.8,28.57666667,21.43666667
10,92.2,29.82580645,25.77069897,30.6,27.37548387,24.74387097,63.1,29.84193548,22.73870968
11,54.8,30.23333333,26.2511111,47.52,27.75,25.264,42.2,30.24333333,23.19
12,14.8,31.52258065,26.79905916,5.06,28.30870968,25.60645161,13.1,31.54193548,23.06451613
1,17.2,32.00967742,26.80309132,49.65,28.18193548,25.72322581,17.4,32.01935484,23.17096774
2,52.2,31.90454545,26.85208332,61.05,28.03227273,25.63954545,66.5,31.9,23.28181818
3,53.6,32.03870968,26.81814506,29.71,28.40129032,25.84129032,46.3,32.03870968,22.36129032
4,39.8,31.89333333,26.11166673,18.22,28.391,25.73466667,33,31.89333333,21.37666667
5,194.2,30.67741935,25.50309139,82.95,27.88193548,25.53580645,163.1,30.68387097,21.38064516
6,155,29.34333333,24.84236113,103.45,26.84933333,24.79466667,153.6,29.34333333,21.81
7,162.6,28.19032258,23.96895168,118.05,26.02516129,24.04193548,160.5,28.19032258,21.00967742
8,120.6,28.10344828,24.06034483,81.88,25.52689655,23.49862069,115.2,28.10344828,20.84137931
9,9.6,28.63076923,24.25288454,8.51,26.09769231,23.57307692,11.5,28.63076923,20.83076923
10,55.4,29.43103448,25.17859186,30.79,26.82931034,24.25793103,34.3,29.43103448,22.15517241
11,1.8,31.39333333,26.5711111,6.33,28.26533333,25.319,3.4,31.43333333,23.18666667
12,10.6,31.92580645,26.93293023,4.3,28.2316129,25.59903226,7,31.93548387,22.95483871
1,25.6,32.08064516,27.44744623,16.43,28.79967742,26.13193548,22.8,32.1,23.80322581
2,20.2,32.72857143,27.64761907,9.11,29.025,26.51357143,18.9,32.72857143,23.50357143
3,37.8,32.73448276,27.70589079,15.77,29.04103448,26.49448276,36.2,32.73448276,23.3862069
4,225,32.18666667,26.92541673,163.44,28.775,26.334,212.9,32.19,23
