Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,356.6,29.98214286,24.32190093,393.16,27.97214286,21.41571429,390.9,30.04642857,21.22857143
2,177.6,31.12592593,24.97571796,194.76,28.68037037,20.62037037,169.7,31.1962963,20.91851852
3,148,32.2516129,25.4069659,107.06,29.71935484,19.97322581,140.3,32.30322581,20.42580645
4,51.2,31.96666667,24.6593055,32.03,29.68533333,19.30133333,45.7,32.04333333,19.39
5,34,28.89032258,21.25462942,30.8,27.31451613,14.92709677,29.8,28.97419355,15.20967742
6,0,29.43,21.11692633,3.25,28.28233333,13.996,0,29.50333333,14.00333333
7,62.6,28.87096774,20.61216535,39.28,28.14483871,13.73032258,46.7,28.92903226,14.05806452
8,0,31.1862069,22.79601445,0.45,31.22275862,14.89551724,0,31.28275862,15.0137931
9,8.8,34.23,26.21847223,17.05,35.018,19.113,4.9,34.32,18.86333333
10,77.6,33.99354839,26.81380897,80.81,34.98419355,21.72870968,82.7,34.07419355,20.70322581
11,67,31.72173913,25.20749343,55.1,31.95086957,20.75695652,81.2,31.84347826,20.33913043
12,221.6,31.5483871,25.07069894,170.09,30.61903226,20.67032258,206.9,31.61612903,20.6
1,219.6,29.68,24.14664143,313.31,28.888,21.03866667,295.1,29.74666667,20.79666667
2,220.2,29.884,23.83787612,204.77,28.1024,20.4836,255.3,29.972,20.316
3,216.4,30.01935484,23.64778835,169.65,28.4383871,19.59967742,171.9,30.14516129,19.7516129
4,192.8,29.51666667,23.17597217,133.52,27.77366667,19.301,187.7,29.65333333,19.24333333
5,40,27.19677419,20.28558326,24.53,26.11419355,15.10096774,36.2,27.37419355,14.99354839
6,0.2,28.44666667,20.83810713,0.56,27.42866667,15.04166667,2,28.61,15.04666667
7,0,29.47096774,20.91962358,6.16,28.3616129,13.45612903,0,29.56774194,13.2516129
8,17.6,31.40645161,23.52782255,11.28,31.64612903,16.78870968,10.7,31.56774194,16.49677419
9,12.4,32.17,24.01208333,12.83,33.53566667,17.289,15.1,32.35,16.70333333
10,96.2,32.23870968,25.48306452,106.49,33.02903226,20.92806452,121.9,32.39032258,20.1
11,1,31.19666667,24.55498187,89.17,31.78,20.97533333,110.8,31.35333333,19.82333333
12,39.6,31.1483871,24.56666674,288.83,30.31451613,20.64580645,248.1,31.22903226,20.00967742
1,20.2,30.6,24.15508416,253.67,28.56451613,20.42387097,271.5,30.68709677,20.22903226
2,124.4,30.99285714,24.81056543,166,28.85357143,21.02857143,190.7,31.075,20.95
3,43.8,30.80322581,24.49206994,188.97,28.76548387,20.93709677,193.1,30.90645161,20.70967742
4,39.4,29.93333333,23.0331944,72.77,28.003,18.058,38.8,30.02333333,17.86
5,72.8,29.23548387,21.84489245,41.21,27.52483871,16.30096774,44.7,29.33225806,16.01290323
6,30,26.75,19.12472233,20.85,25.89133333,13.73933333,21.2,26.91666667,13.49
7,15,29.70967742,21.37432794,19.9,28.86774194,15.49935484,10.7,29.8516129,15.13548387
8,14.6,30.17096774,22.14637097,28.96,30.41419355,16.79193548,23.6,30.28387097,15.86774194
9,180.2,31.29666667,24.31541667,110.61,31.435,19.94166667,177.7,31.42666667,19.47333333
10,129.2,30.825,26.21644018,76.28,31.05964286,20.685,111.4,30.98571429,22.35
11,283.6,30.89333333,26.3051389,167.68,29.98166667,21.75933333,246.8,31.14333333,22.73
12,346.2,28.86774194,24.56344084,333.1,27.77096774,20.88645161,397.7,29.0516129,21.60967742
1,206.4,29.7,25.12489003,284.64,28.63419355,20.9583871,249.2,29.91935484,22.02580645
2,206,31.35714286,25.71622029,193.65,29.71035714,20.88,213.9,31.58214286,21.77142857
