Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,535.328,30.03419355,21.38193548,330.66,28.80774194,21.97741935,465.7,31.04193548,21.19354839
2,38.834,33.59,21.63,84.06,30.510625,22.281875,95.5,33.975,20.76875
8,25.902,30.38,14.70458333,32.86,31.10875,16.2475,36.5,31.05833333,13.8125
9,6.596,31.90068966,16.58827586,11.92,33.65413793,18.58068966,3.2,33.52068966,15.67241379
10,51.238,32.59032258,19.34645161,109.52,33.19935484,20.6616129,74.7,33.66129032,18.58064516
11,141.878,31.01566667,19.69766667,157.08,30.52366667,20.65733333,167,31.54333333,19.18
12,214.046,31.83466667,20.45366667,197.23,29.69866667,21.25433333,239.3,32.37,20.21
1,185.576,31.32645161,20.68129032,195.36,29.50580645,21.51741935,338.3,31.96451613,20.4483871
2,106.356,31.22428571,20.19642857,208.43,29.09928571,21.09892857,112.8,31.76785714,20.05714286
3,96.972,33.15709677,21.33,119.17,30.20387097,21.88258065,64.3,33.71612903,20.67419355
4,9.342,30.496,17.94533333,48.43,28.731,18.71666667,19.8,31.21,17.52
5,24.884,29.35935484,14.59203226,17.3,28.21,15.80193548,21.4,29.83548387,14.14193548
6,0,29.95233333,15.162,7.62,28.91466667,17.01566667,0,30.24666667,14.94333333
7,3.038,30.45935484,12.69816129,1.26,29.92096774,15.65677419,0.2,30.60967742,12.38387097
8,36.286,30.26451613,14.58548387,19.85,30.72677419,16.72903226,32,30.50645161,15.07741935
9,47.448,32.19266667,17.147,70.41,32.78633333,19.173,42.4,32.71333333,17.13666667
10,110.686,33.20774194,20.41774194,126.22,31.42935484,21.76612903,79.7,33.44193548,20.01290323
11,333.902,30.51,20.332,277.41,29.16466667,21.00333333,331,30.88666667,19.88
12,114.764,32.57580645,20.91129032,126.78,31.11064516,21.93612903,78.5,32.96451613,20.21290323
1,32.98,34.36258065,21.22096774,45.74,32.0683871,22.05290323,48.3,33.98064516,20.59677419
2,257.956,32.37571429,21.12821429,214.55,30.78,22.29642857,220.3,32.58214286,20.53571429
3,183.598,31.86967742,20.43419355,151.41,29.34548387,21.15225806,184.7,32.02258065,20.08387097
4,176.958,31.74833333,19.4,109.81,29.837,20.25866667,181.5,31.71333333,18.79333333
5,72.382,30.34322581,17.00548387,41.29,28.8883871,18.21709677,60,30.41290323,16.33225806
6,1.77,29.47933333,13.81266667,2.56,28.65366667,15.395,3.8,29.26666667,13.29
7,4.036,28.75741935,12.78480645,3.79,28.23612903,14.46806452,7.9,28.97096774,11.97419355
8,19.818,30.94193548,15.1983871,11.31,31.0116129,17.61741935,10.5,31.19354839,14.49032258
9,44.658,35.29466667,19.07233333,43.92,36.03933333,21.43766667,30.4,35.51,18.18666667
10,55.87,35.07774194,20.66322581,47.39,35.11064516,22.45129032,39.5,35.29354839,19.68387097
11,102.566,33.00266667,21.329,122.49,32.54166667,22.11,150.5,33.38,20.39333333
12,284.654,31.19677419,21.24,259.76,29.86129032,21.8616129,266.3,32.12580645,20.57096774
1,294.816,31.64612903,21.3916129,241.86,30.36419355,22.44129032,327.9,32.5483871,20.70967742
2,262.578,30.53896552,21.2762069,245.45,29.04724138,21.61344828,263,31.34827586,20.83103448
3,45.186,32.21774194,19.43258065,75,29.91258065,20.25193548,116.8,32.6516129,18.76451613
4,39.368,31.06533333,18.50466667,25.82,29.87033333,18.883,30.5,31.11333333,17.00666667
5,15.726,28.13903226,14.23516129,20.93,27.62741935,15.06193548,25,28.26774194,12.67741935
6,5.842,29.91733333,15.306,2.45,29.71666667,17,4.2,30.01666667,14.23
7,0,30.49580645,14.31,1.27,30.0683871,16.65451613,0,30.58709677,13.22258065
