Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,365.758,27.32032258,17.58548387,281,26.94064516,17.74290323,370.3,28.76774194,18.04193548
2,70.106,30.87107143,18.30214286,68.02,28.35464286,19.32678571,61.7,32.03928571,19.3
3,75.432,29.73903226,17.28064516,26.76,30.7083871,19.04193548,74.8,31.13870968,18.6483871
4,16.764,29.21857143,17.195,17.8,31.64857143,18.68785714,17.2,31.60714286,18.68571429
9,47.244,25.57538462,13.19,70.38,28.50615385,14.06307692,47.6,27.13846154,14.7
10,110.754,31.63645161,16.73193548,70.38,33.45290323,19.35516129,110.3,32.9516129,19.6483871
11,136.14,29.11333333,16.95566667,153.21,30.60566667,17.89633333,192.7,30.51666667,18.87666667
12,189.482,30.25548387,19.92032258,212.95,29.15935484,20.87354839,241.4,31.9,21.14193548
1,185.428,28.45580645,18.52129032,261.42,27.82612903,18.73903226,262.2,29.79354839,19.72903226
2,277.614,29.54142857,18.61392857,189.52,28.03928571,19.5,203.6,30.86071429,20.225
3,195.84,28.36193548,18.23516129,157.62,27.10709677,18.63677419,181.3,29.68387097,19.61290323
4,56.134,26.49433333,15.03666667,72.17,25.366,15.66066667,69.3,27.73,17.07333333
5,115.558,25.37,12.35245161,133.58,25.32129032,14.11870968,145,26.7483871,15.70645161
6,44.954,24.46066667,12.57833333,66.51,24.66133333,14.00566667,46.1,25.98,15.72
7,30.226,24.18709677,9.579419355,22.9,24.19935484,11.31645161,33.6,25.58064516,12.73870968
8,5.842,26.83580645,9.179451613,11,28.25290323,11.87032258,4.2,28.18709677,13.34193548
9,44.71,28.08366667,12.692,80.7,31.16766667,15.093,76.4,29.29666667,16.36333333
10,113.028,27.75258065,15.45129032,117.12,28.96774194,16.47516129,108.4,29.22580645,17.4483871
11,113.278,28.10478261,17.13043478,116.68,30.04695652,18.21826087,162.4,30.04782609,18.98695652
12,26.92,27.48888889,19.36555556,64.64,30.59111111,20.49222222,33.8,31.55555556,20.47777778
