Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,31.4,33.36774194,21.56774194,26.45,34.36193548,21.33032258,22.9,33.42903226,21.42903226
2,53.2,32.79642857,21.85,51.58,33.66392857,21.65428571,27.6,32.84642857,21.74642857
3,0.6,34.67096774,22.01935484,15.51,36.28193548,22.0683871,7.9,34.71935484,21.92903226
4,75.8,31.78666667,22.25,102.16,32.48666667,22.22333333,48.3,31.79666667,22.11333333
5,161.8,26.86129032,20.70322581,156.19,28.30774194,20.51612903,107.2,26.99354839,20.59354839
6,81.4,26.44,19.58,53.98,28.13366667,18.839,62.2,26.59333333,19.47
7,73.6,26.48387097,18.67096774,62.28,28.69935484,18.16516129,65.1,26.63870968,18.58709677
8,103.4,27.08709677,18.50322581,57.23,29.07612903,18.08677419,63.6,27.19354839,18.37096774
9,12.4,30.78666667,18.97666667,9.71,33.14866667,18.86433333,8.2,30.92666667,18.9
10,94.2,31.44827586,20.74482759,49.23,33.64,20.87206897,73.5,31.55862069,20.56206897
11,0,32.91666667,20.69,0.86,35.38366667,20.34966667,0.5,33.02333333,20.57333333
12,4.2,34.04516129,21.86129032,34.4,34.91870968,21.58741935,11.7,34.07741935,21.69354839
1,50.4,33.01333333,21.31666667,50.91,33.91033333,21.074,49.7,33.05,21.18
2,36.6,33.46428571,22.09642857,36.79,33.76035714,21.97571429,21.9,33.525,21.9
3,60.6,33.2516129,22.12903226,97.94,33.40064516,22.15419355,76.7,33.30645161,21.91612903
4,198.6,29.45333333,21.57333333,142.47,30.621,21.19633333,153.6,29.55666667,21.37333333
5,41.6,29.10322581,20.61612903,49.35,31.22096774,20.3016129,33.4,29.31612903,20.48064516
6,123.8,25.93333333,19.30666667,110.34,28.187,18.81833333,108.8,26.09333333,19.10666667
7,207.4,25.39032258,18.56451613,122.93,26.45225806,17.5516129,153.4,25.52903226,18.39354839
8,60.8,25.36774194,17.17419355,47.88,27.30774194,16.18903226,48.1,25.5516129,17.0483871
9,83.2,27.00666667,18.05333333,37.18,30.122,17.53766667,58.2,27.24,17.92333333
10,116.4,31.30967742,19.90645161,53.49,34.12806452,20.29064516,84.6,31.51935484,19.73870968
11,0,32.05333333,19.86333333,1.66,35.185,20.67533333,0.1,32.25,19.77333333
12,143.4,32.35806452,20.37419355,70.84,33.74225806,21.17903226,111,32.44516129,20.27419355
1,35.6,32.08709677,20.4,44.17,33.43451613,21.00741935,37,32.22580645,20.30967742
2,61.2,32.74642857,21.04642857,41.98,33.26821429,21.55928571,48.7,32.78571429,20.88928571
3,55.4,33.16428571,21.74642857,74.43,33.46392857,22.03571429,50.7,33.23571429,21.56785714
4,82,30.68,20.87,90.21,31.87833333,20.892,69.1,30.77,20.7
5,82,27.89354839,20.06774194,59.81,29.18741935,19.73258065,60,28.00322581,19.84193548
6,58.6,27.26,18.39666667,36.04,29.28733333,18.14433333,48.6,27.41333333,18.25333333
7,55.6,26.93870968,17.38064516,48.4,28.38935484,17.07612903,46.5,27.10645161,17.27419355
8,44.4,29.14516129,17.43548387,24.87,30.02935484,17.05193548,28.4,29.25806452,17.3
9,12.6,29.77333333,17.83,14.33,31.593,17.2,6.8,29.84666667,17.69666667
10,93.8,31.21290323,20.14516129,61.28,33.17225806,20.04322581,68.5,31.29677419,19.97096774
11,106.4,29.93,20.16666667,82.95,32.19833333,19.986,80.6,30.02666667,19.94333333
12,14,33.19677419,20.58709677,17.54,34.96096774,21.01290323,14.9,33.22903226,20.43548387
1,5.2,33.72258065,20.67419355,8.54,34.73870968,20.98,3.4,33.78064516,20.53548387
2,38.4,32.57586207,20.74137931,30.5,33.75103448,20.69586207,20.2,32.64482759,20.53793103
3,3.2,33.56774194,20.5483871,5.9,35.35612903,20.59580645,6.4,33.66451613,20.40322581
4,2.8,33.02333333,20.28333333,1.81,34.474,20.224,1.9,33.12,20.13
