Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,2.4,33.78064516,20.46451613,12.11,36.02225806,21.17935484,3.9,33.47741935,20.82580645
2,148,33.45357143,21.75357143,98.43,35.23428571,21.92928571,125.3,33.39285714,21.57142857
3,72.2,31.49285714,21.95,92.47,33.29714286,21.98607143,76.2,31.63571429,21.84285714
4,72,31.15,21.31,59.55,33.12033333,21.43533333,72.7,31.05666667,21.18666667
5,42.8,28.4,19.90322581,97.83,30.19677419,20.03419355,70,28.32580645,19.72903226
6,108,26.85333333,18.65,94.96,28.38066667,17.94166667,113.5,26.86333333,18.47
7,86.2,25.7483871,17.6,79.17,27.16096774,17.09709677,97.6,25.72903226,17.31290323
8,58,26.98064516,17.58064516,49.81,29.06903226,17.32483871,58.7,26.98709677,17.39677419
9,25.2,29.14333333,18.46,29.61,32.269,18.72466667,25.8,29.06,18.33666667
10,28,31.30322581,19.74516129,35.29,33.72,19.94258065,32.4,31.33225806,19.61612903
11,78.6,33.78333333,21.08,36.44,35.65166667,21.13666667,76.2,33.70666667,20.53333333
12,82.8,31.39677419,21.60645161,77.62,33.87354839,21.47,106.2,31.41290323,21.21935484
1,36.8,32.93548387,21.52258065,33.88,35.29193548,22.05645161,51.7,32.83225806,21.17419355
2,119.8,32.61785714,21.625,66.49,34.54464286,22.38464286,78.1,32.50714286,21.24285714
3,4.4,34.1516129,22.01290323,14.72,36.89258065,22.59806452,10.1,34.12258065,21.84516129
4,64.2,31.43333333,22.16,140.94,33.47933333,22.50166667,79.8,31.45,22.31333333
5,179.6,27.69354839,21.18387097,306.56,28.13129032,21.02548387,168,27.6483871,21.20645161
6,88.4,27.56,20.07333333,76.37,27.14866667,19.185,99.7,27.54,20.12
7,56.6,27.66129032,18.71290323,72.78,27.33580645,18.27741935,49,27.61290323,18.76451613
8,36.6,27.52903226,18.46129032,63.46,28.0816129,18.12870968,42.7,27.52580645,18.47419355
9,8.2,31.34666667,18.60666667,17.6,32.02833333,18.85533333,12.8,31.32333333,18.84
10,32.6,32.02857143,21.44642857,55.37,33.10964286,21.27964286,31.7,31.88928571,21.47142857
11,11.2,34.25,20.62,6.65,35.176,20.71866667,9.6,34.14,20.77333333
12,12.6,34.79032258,22.15483871,34.12,35.7516129,22.07258065,12.7,34.88387097,22.0483871
1,25,33.58387097,21.62258065,74.53,34.31354839,21.63709677,46.9,33.53225806,21.76451613
2,3.8,34.33928571,22.43928571,30.07,35.11071429,22.54035714,13,34.22857143,22.58571429
3,1.4,33.66451613,23.08064516,124.07,34.45451613,23.05645161,91.9,33.58387097,23.16129032
4,0.2,29.95,22.19666667,216.22,30.487,21.66233333,158.7,29.93333333,22.18666667
5,0,29.82903226,20.77419355,85.28,30.14258065,20.64096774,39.7,29.75806452,20.78064516
6,0,26.81,20.04333333,114.7,27.99233333,19.19033333,94.6,26.8,19.94666667
7,0,26.01612903,19.1,244.36,26.0383871,18.1983871,182.5,25.96451613,18.99677419
8,0,26.42333333,17.42333333,60.96,26.09133333,16.588,37.8,26.45333333,17.34666667
9,6.2,27.80333333,17.92666667,43.52,28.62266667,17.793,45.9,27.48,18.23333333
10,43,31.61935484,20.45806452,91.32,32.80322581,20.44935484,53,31.72258065,20.47419355
11,5.4,33.39666667,21.07666667,5.32,34.49233333,20.99433333,4.2,33.40666667,21.07
12,77.8,33.37096774,21.43548387,85.39,34.1983871,21.61032258,76.1,33.47096774,21.51612903
1,77,32.14516129,20.86129032,70.95,33.28870968,21.1883871,76.8,32.3516129,20.9483871
2,6.2,34.02142857,21.13571429,32.89,34.3975,22.07321429,18,34.03928571,20.9
3,55,34.11034483,22.65172414,80.43,35.0037931,22.98172414,79.6,34.05172414,22.25172414
4,135,30.73333333,21.23,157.05,32.02,21.57333333,151.4,30.82333333,21.10333333
5,34.8,27.94516129,20.33225806,78.99,28.7916129,19.91741935,59.9,28.03870968,20.18387097
6,68,26.87333333,18.91,83.34,28.23866667,18.33333333,83.1,27,18.49666667
7,28.4,27.64193548,17.29354839,49.69,27.99064516,17.32870968,36.2,27.72258065,17.52258065
8,32.4,28.43225806,17.54516129,41.39,29.82290323,17.28806452,39,28.58709677,18.02258065
9,28.8,28.74,17.48,25.85,30.96633333,17.471,25.4,28.94,17.98333333
10,114.6,30.58709677,20.36774194,105.99,32.90677419,20.53387097,123.7,30.64193548,19.53225806
11,118.2,29.16333333,20.28333333,97.86,31.449,20.164,126.3,29.34,19.63333333
12,53.6,31.65483871,20.6,50.37,33.74645161,21.05354839,49,31.66774194,19.98709677
1,6.6,33.1,20.4516129,19.52,34.29483871,21.26354839,9.5,33.18709677,20.88387097
2,32,32.9,20.67586207,39.4,33.94,21.13344828,36.7,33.10689655,20.75862069
3,4,33.76129032,20.38709677,12.98,35.63096774,21.13935484,7.5,34.04193548,20.42903226
4,18.2,32.59,20.06666667,14.18,34.76166667,20.95233333,23.4,32.43,19.60333333
5,65.6,29.80322581,20.26451613,88.12,31.62193548,20.44258065,90.4,29.85483871,20.30967742
6,68,28.35333333,18.73333333,71.18,29.417,19.04733333,79.1,28.5,18.94333333
7,19.4,27.23333333,17.9,30.68,27.93866667,17.69066667,21.6,27.12666667,18.04
8,3,28.3375,16.65,3.71,28.85375,16.97875,4.8,28.2,16.85
9,24.6,30.32666667,18.31,31.18,31.508,17.92066667,27.7,30.12333333,18.19333333
10,17.2,31.42903226,19.17096774,22.96,33.10677419,19.26935484,17.7,31.24193548,19.34516129
11,76.2,32.69,22.05666667,48.39,34.65533333,21.85966667,79.6,32.40666667,22.07
12,2,34.46774194,21.02580645,5.44,36.38129032,21.29580645,1.3,34.21935484,20.89677419
1,122,34.02580645,21.82258065,69.26,34.35129032,22.01451613,93.9,33.89354839,21.50967742
2,7.4,34.2,21.55357143,20.01,35.72642857,21.86428571,9,33.91785714,21.26785714
3,2,35.10333333,22.03666667,10.32,36.72566667,22.72466667,6.3,34.76333333,21.75666667
4,99,31.41333333,21.78666667,136.79,33.638,22.09066667,104.2,31.34333333,21.25666667
5,24.6,29.225,20.99375,56.41,30.24,20.4425,41.7,29.025,20.54375
6,44.4,27.52105263,19.73157895,45.45,28.50105263,19.19578947,46,27.31578947,19.28421053
7,76.4,26.57419355,18.54193548,135.99,27.70225806,18.33064516,96.3,26.49677419,18.33870968
8,66.8,27.33548387,18.43548387,86.2,27.86548387,18.04806452,81.7,27.2,17.93548387
9,38.6,29.13666667,18.68333333,46.96,30.511,18.331,53.2,28.94333333,18.31
10,84.2,30.32580645,19.56774194,84.04,32.33451613,19.68870968,84.2,30.29354839,19.32258065
11,56,31.57,20.34666667,68.17,32.669,20.42166667,54.4,31.75666667,20.00666667
12,64.6,32.85806452,22.03548387,67.2,33.97516129,21.60419355,56.2,32.7483871,21.60322581
1,21.4,33.4516129,20.50645161,18.6,34.78290323,21.0316129,24,33.34516129,20.03870968
2,43.4,32.325,21.13214286,58.92,33.6025,21.42857143,48.3,31.85357143,20.70714286
3,24,32.68709677,21.46774194,61.16,33.91903226,21.86354839,49.1,32.39354839,21.03870968
4,21.4,32.71,21.90333333,52.94,33.843,22.19466667,32.5,32.76,21.33
5,100.4,29.21290323,20.81290323,119.29,31.02580645,20.4516129,93,29.16451613,20.23870968
6,71,27.40333333,19.20333333,82.84,29.09333333,18.68566667,83.2,27.37333333,18.45
7,130.2,26.86129032,18.64516129,135.11,28.08193548,18.34225806,119.3,26.80322581,17.9483871
8,61.8,26.92580645,17.2516129,56.43,28.41935484,17.27258065,62.1,27.02580645,16.66129032
9,29.8,29.39333333,18.24,42.44,31.08966667,18.361,50.5,29.42666667,18.15666667
10,57.8,30.42580645,19.21290323,39.52,32.48064516,19.3283871,52.2,30.22258065,19.22258065
11,29,32.03,20.82666667,46.19,33.61266667,21.15266667,38.5,31.72666667,20.63333333
12,121,32.19310345,21.27241379,77.8,33.6537931,20.96931034,94.9,31.88275862,21.0862069
1,14.2,33.452,20.46,15.67,34.7824,21.3736,18,33.216,20.424
