Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,261.6,28.24193548,19.78387097,292.16,27.33258065,19.22870968,274.5,28.38709677,20.15483871
2,265.2,27.3,19.03076923,280.04,26.78307692,18.59692308,272.5,27.50769231,19.49230769
3,106.6,27.84827586,18.50344828,105,26.59689655,17.07965517,130.3,28.08965517,18.81724138
4,147.8,27.31,18.70333333,156.31,25.99466667,17.329,124.3,27.52333333,19.03333333
5,111.6,24.63870968,15.51935484,90.97,23.77322581,13.7516129,113.8,24.87741935,15.69677419
6,17.6,23.84137931,14.55517241,17.58,23.26482759,12.51068966,17.1,24.13448276,14.73793103
7,32,23.68064516,13.91935484,33.02,24.00741935,12.27548387,22.3,23.99354839,14.2516129
8,0,27.11666667,15.68333333,1.43,28.399,13.373,0,27.43666667,15.98666667
9,5.2,31.73666667,19.92333333,12.02,34.40666667,17.799,6.1,32.00333333,20.15666667
10,175.2,27.6516129,18.05806452,160.03,29.67258065,17.69419355,169.3,27.84516129,18.27419355
11,125.6,28.14642857,18.72857143,135.04,29.30607143,18.40535714,117.7,28.51071429,19.175
12,414.2,27.09032258,18.22903226,310.09,26.70612903,18.47548387,357.8,27.66774194,19.10322581
1,425.2,27.3,19.34193548,225.83,26.93193548,19.74903226,352.5,27.96451613,20.18064516
2,121.2,28.56785714,18.45357143,111.1,27.77821429,18.03857143,103.2,29.14642857,19.27857143
3,255.2,27.76129032,18.8483871,224.37,27.46903226,19.20709677,197.8,28.36774194,19.7483871
4,79.4,27.70666667,18.49,77.93,27.59366667,17.80466667,45.4,28.40333333,19.24333333
5,147.8,24.76451613,15.37741935,111.26,25.52483871,14.59806452,144.7,25.47096774,16.22258065
6,17,24.15666667,14.78666667,20.34,25.18433333,13.893,21.1,24.86333333,15.61
7,19,23.55806452,13.95483871,11.69,26.05580645,12.60483871,19.3,24.24516129,14.69032258
8,1.2,27.12258065,16.06129032,1.81,30.57709677,14.98290323,0.9,27.8,16.71612903
9,56,27.43461538,16.8,51.11,30.25730769,17.70153846,60.2,28.05769231,17.62307692
10,116.2,30.13846154,19.25,118,33.04038462,20.09538462,81.6,30.80384615,19.89615385
11,36.4,27.24545455,18.1,74.19,28.67727273,18.80545455,63.5,27.82727273,18.93636364
12,366.2,26.43666667,17.75666667,264.85,26.13233333,18.262,341.1,26.93,18.60666667
1,253,28.37419355,18.99354839,239.32,27.04806452,18.72967742,226.7,28.91290323,19.90645161
2,309,28.35833333,19.1875,174.74,27.64625,19.71083333,264.9,28.91666667,19.85416667
3,166.2,27.61,19.18666667,172.29,26.87933333,19.34133333,184.4,28.19666667,20.01333333
4,21.8,26.74347826,17.66521739,45.88,26.15521739,16.50043478,28,27.4,18.47826087
5,2.4,25.28,15.27333333,0.64,25.43133333,13.014,2.3,25.90666667,15.97333333
6,13.2,24.1137931,14.10344828,11.59,25.38448276,12.53275862,9.9,24.82758621,14.7137931
7,10.6,25.73870968,15.25806452,4.83,28.16032258,13.0483871,6.8,26.47096774,15.8516129
8,27.6,27.78666667,16.25666667,22.65,30.76133333,14.95933333,25,28.49,16.98333333
9,42.8,27.07333333,16.11333333,68.9,30.81066667,16.086,38.6,27.75333333,16.90333333
10,349.8,26.96774194,17.60322581,214.76,27.38129032,17.94290323,347.2,27.60645161,18.44516129
11,362.8,26.86333333,17.80666667,255.75,27.29266667,18.36166667,320.7,27.65333333,18.58666667
12,445.8,26.98709677,19.02580645,378.07,26.39096774,19.78193548,388.1,27.60322581,19.86129032
1,436.4,26.50322581,19.30967742,382.83,26.19903226,20.08516129,458.6,27.11612903,20.10322581
2,135.6,27.91071429,18.83928571,179.88,27.16571429,18.8875,176.7,28.56428571,19.69642857
3,109.4,28.82903226,19.33548387,104.32,28.0183871,18.44483871,119.1,29.47419355,20.25483871
4,69,27.57666667,18.43333333,68.24,27.60766667,17.91133333,65.6,28.22333333,19.28333333
5,42.6,24.55666667,15.02,42.89,26.124,13.67233333,43.7,25.24666667,15.6
6,0.6,25.19,15.30666667,0.53,27.00466667,12.559,1.7,25.91333333,16.05
7,48.2,24.73666667,14.61333333,50.56,27.573,12.71966667,59.1,25.44666667,15.10333333
8,0.8,27.01935484,15.57741935,0.59,30.26451613,14.07645161,0.1,27.67096774,16.34193548
9,6.2,29.77666667,17.84666667,11.11,33.98266667,18.40766667,7.3,30.50666667,18.65
10,68,30.39354839,18.98064516,74.4,33.57806452,20.11935484,43.2,31.25483871,19.80645161
11,187.8,27.475,18.01428571,167.73,28.50607143,18.70071429,172.3,28.33214286,18.74285714
12,283.8,28.12580645,19.01290323,229.45,28.58419355,19.07967742,288.9,28.95483871,19.80322581
1,361,26.5,18.62580645,287.1,26.76387097,19.02322581,311.7,27.33548387,19.49354839
2,231.6,27.08965517,18.61034483,224.18,26.33793103,19.10034483,202.8,27.9137931,19.43793103
3,211,26.82903226,18.00322581,212.28,26.65870968,18.28451613,218.6,27.55806452,18.84516129
4,157.2,26.18666667,17.91,154.12,25.94766667,17.73233333,158.8,26.90666667,18.65
5,46.8,23.85806452,14.98064516,57.96,23.60129032,13.64483871,37.3,24.5516129,15.7483871
6,13.4,24.55,15.28333333,7.28,24.75233333,13.44133333,22.7,25.24333333,16.01
7,0,24.87419355,14.07096774,0.34,25.98032258,11.54967742,0,25.6516129,14.8
8,52.2,26.96451613,16.4516129,29.17,29.77516129,15.23225806,42,27.90645161,17.03548387
9,27.2,28.03666667,15.89333333,29.55,31.65766667,15.804,27.3,28.97333333,16.61333333
10,121.4,28.5483871,18.8,83.38,31.9,19.27935484,88.7,29.46129032,19.50322581
11,155,28.04333333,17.76666667,121.56,30.56466667,19.25733333,165.9,28.90333333,18.57
12,330.8,27.3875,17.8,236.92,28.755,18.44125,258,28.22916667,18.53333333
10,206,27.58,18.19333333,91.67,28.02666667,19.61933333,135.9,28.49333333,18.84
11,237.6,28.94333333,19.45666667,193.22,28.83733333,19.89033333,193.1,29.80333333,20.24
12,464,26.62580645,18.81290323,320.83,26.47,19.59580645,384.4,27.43225806,19.59032258
1,441.8,27.98333333,19.4,284.45,27.267,19.62766667,360.9,28.83,20.24666667
2,202.6,28.88571429,19.33214286,142.45,28.20178571,19.35142857,179.9,29.71785714,20.125
3,223.2,28.6,19.4516129,162.83,27.35419355,19.13387097,178,29.40322581,20.20967742
4,40.8,26.63333333,16.97666667,32.8,26.33633333,16.40633333,25.8,27.54333333,17.7
5,36.6,25.14193548,15.04193548,27.43,26.00806452,13.35774194,19.1,26.1,15.64193548
6,12.2,24.82333333,13.62333333,12.16,26.342,12.05866667,11.3,25.81,14.11666667
7,3.4,26.09032258,15.30967742,3.78,28.39032258,14.41516129,1.5,27.00967742,15.9483871
8,0,27.49666667,15.19333333,0,30.79633333,13.45766667,0,28.48666667,15.71666667
9,116,28.84333333,17.30666667,74.32,33.45066667,18.198,95.1,29.75333333,17.93
10,167.4,28.20967742,17.20967742,119.81,29.89,17.79967742,124.7,29.12903226,17.83548387
11,249.6,27.49,18.15333333,199.1,28.421,18.252,199.8,28.34666667,18.79666667
12,299.6,28.88387097,19.40322581,215.63,27.51451613,19.71935484,187.4,29.60322581,20.01290323
1,322.2,27.76129032,19.40967742,266.19,27.1216129,19.72612903,230.2,28.60322581,20.2
2,170.4,28.68928571,19.05714286,136.19,27.73107143,19.46321429,182.9,29.50357143,19.95357143
3,409,25.95517241,18.61034483,354.3,25.00827586,19.07827586,350,26.8137931,19.43448276
4,133.4,26.77666667,17.46,126.32,25.8,17.34,145.4,27.62333333,18.24333333
5,1.8,24.7483871,14.7,2.14,24.3416129,13.72129032,3.8,25.67741935,15.40967742
6,36.4,23.66333333,12.93,32.92,23.92566667,11.524,32,24.63,13.49333333
7,0.6,25.4516129,15.01290323,0.4,26.56387097,13.06258065,0.3,26.39354839,15.53225806
8,25.4,27.92903226,16.57741935,18.96,29.87806452,15.01483871,25.1,28.88064516,16.90322581
9,15.4,29.55333333,16.72333333,5.27,32.95633333,16.64866667,25.7,30.51333333,17.36333333
10,160.6,27.06451613,17.07419355,158.11,29.04322581,18.43451613,153.3,27.94193548,17.90645161
11,153.2,26.74,15.63666667,157.63,29.005,17.382,142.7,27.75333333,16.92666667
12,291.4,27.09354839,16.03870968,222.55,27.57645161,18.87225806,287,28.05483871,17.81290323
1,330.8,25.77741935,16.39677419,313.24,26.09387097,18.07387097,378.2,26.80967742,17.79677419
2,128.2,28.50714286,16.56785714,74.78,27.43571429,18.31214286,117.3,29.50357143,18.53214286
3,197.6,27.73225806,15.30322581,124.13,27.58451613,18.48741935,169.8,28.77419355,17.70322581
4,51.4,26.85333333,17.04666667,73.96,28.031,18.07766667,74,27.86333333,18.14666667
5,32.8,23.31935484,14.1,32.61,25.32096774,14.49225806,32.7,24.39677419,14.9483871
6,93.2,24.18,15.69,94.49,25.62233333,14.81966667,102,25.16,16.48666667
7,35.6,24.82258065,14.68064516,25.62,26.25548387,12.40645161,31.4,25.7483871,15.29677419
8,0,25.55,14.32333333,0,28.302,13.86833333,0,26.48,15.08666667
9,81.4,29.27,17.68666667,69.61,32.45066667,17.098,87,30.20666667,18.16
10,85.4,30.89032258,19.52580645,67.15,33.42354839,19.60806452,70.2,31.79354839,20.21290323
11,190.2,28.61333333,18.53333333,161.54,30.13866667,19.232,184.9,29.44333333,19.19333333
12,280,29.1516129,19.50967742,188,28.86516129,20.40741935,228.9,29.96129032,20.30645161
1,267.6,27.95483871,19.00967742,230.03,27.33709677,19.4183871,288.3,28.75483871,19.70322581
2,285.2,28.44642857,18.72857143,179.35,27.26142857,19.37321429,294.4,29.26071429,19.56071429
3,271.6,27.28,18.53,180.57,26.91233333,19.24766667,263.3,28.11666667,19.48666667
4,118.2,25.68333333,16.52666667,79.89,25.31766667,16.57633333,128.8,26.55,17.38
5,127,25.47741935,15.75483871,96.02,25.7316129,15.01677419,119.5,26.4,16.61935484
6,81.4,24.84333333,16.02666667,39.13,25.39833333,14.967,64.8,25.76333333,16.75666667
7,12.4,24.32333333,13.88333333,14.68,25.59966667,12.71566667,12.7,25.52333333,14.54666667
8,21,26.51666667,15.05333333,8.14,29.09166667,13.62366667,12.8,27.47666667,15.61
9,68.2,27.91,16.33333333,77.13,32.09933333,16.75833333,71,28.75666667,17.15666667
10,111,27.53870968,17.11935484,105.04,29.73322581,17.76096774,109.4,28.43870968,17.79677419
11,159,27.24333333,18.20666667,135.75,29.76366667,18.80866667,202.1,28.10666667,19.03
12,128.4,28.4,19.03548387,203.65,28.25096774,19.64580645,214.8,29.2,19.91935484
5,13.8,25.32666667,15.25,7.6,28.14466667,14.64366667,8.9,26.33,16.06
6,7.8,25.39,15.45333333,3.02,28.62033333,14.74366667,5.9,26.33666667,16.19666667
7,61.4,24.02580645,14.34516129,47.39,27.12774194,14.13935484,47.7,24.96774194,15.0516129
8,0,28.11612903,16.32903226,0.68,30.43516129,14.64935484,0.8,29.09032258,17.03870968
9,46,29.93333333,17.4,30.43,33.37733333,18.41833333,35.3,30.82666667,18.04
10,23.4,30.9,18.51290323,46.23,33.79903226,19.52612903,36.5,31.79032258,19.35483871
11,227,28.38,18.65,214.31,29.16666667,19.507,254,29.20333333,19.38333333
12,219.8,27.75483871,18.9483871,195.31,27.71258065,19.0516129,219.7,28.61290323,19.78064516
1,189.6,31.26129032,20.00645161,131.93,30.52516129,20.10064516,136,32.04516129,20.8
2,90.8,28.61428571,18.75357143,213.46,27.375,19.17642857,198.1,29.39285714,19.6
3,136,26.64193548,18.63225806,197.89,26.55612903,18.85774194,186.4,27.51290323,19.3483871
4,138.4,26.89666667,17.73666667,85.23,26.62766667,17.85233333,141,27.78666667,18.54333333
5,81,24.23870968,15.67741935,60.23,24.85322581,14.98741935,94.5,25.09677419,16.32258065
6,30,24.40666667,15.22666667,17.52,25.625,14.232,24.5,25.37666667,15.87666667
7,13,25.04516129,15.92258065,6.81,27.62064516,15.07129032,9.3,26.02580645,16.63870968
8,2.2,27.56451613,15.85806452,6.71,30.9883871,15.46193548,0.4,28.53870968,16.45483871
9,131,29.26,18.97333333,108.71,32.26433333,18.27466667,129,30.19333333,19.65
10,136.8,31.7483871,20.13225806,87.48,35.37451613,21.38064516,151.1,32.68387097,20.7516129
11,235,28.97,19.07333333,210.07,29.50566667,20.55433333,245.5,29.82666667,19.90333333
12,161.2,28.70322581,19.21935484,233.06,27.67806452,20.25193548,282.4,29.57419355,19.9483871
1,331,27.19032258,19.64516129,315.52,27.21580645,20.16387097,275.1,28.03870968,20.44516129
2,176.4,29.59655172,19.8,149.74,28.23724138,20.29655172,189.1,30.37931034,20.45517241
3,311.8,28.23225806,19.36451613,241.06,27.29451613,19.74677419,288.4,29.08709677,20.16451613
4,10.8,28.65666667,18.74666667,9.45,27.81233333,17.16866667,10.1,29.54333333,19.45666667
5,32.2,25.61612903,15.66129032,27.53,27.23258065,14.91935484,38,26.49354839,16.42580645
6,59.4,23.6137931,14.10344828,62.33,24.57137931,12.66586207,77.4,24.5862069,14.85862069
7,0.2,26.27666667,15.35,0.06,28.17666667,13.164,0.1,27.21666667,15.95333333
8,26.4,27.59032258,15.88064516,27.46,30.6683871,15.18322581,29.5,28.5483871,16.33225806
9,2.4,30.18333333,17.08666667,7.53,33.359,17.77266667,4.1,31.07,17.72
10,174,29.27741935,17.80322581,137.87,31.65774194,18.73129032,168.7,30.19677419,18.62258065
11,81.6,27.39,18.16666667,177.57,28.13733333,18.52366667,217.3,28.22333333,18.96666667
12,66.2,28.74193548,18.79677419,189.41,27.61967742,19.21806452,181.7,29.56129032,19.48064516
1,220.6,27.90322581,19.04193548,279.44,26.94193548,19.54612903,314.3,28.74516129,19.8
2,172.8,28.875,19.22857143,143.06,27.47607143,19.13642857,150.1,29.72857143,20.06071429
7,0.4,23.00333333,11.77333333,0.61,25.85966667,11.95433333,0.1,23.98666667,12.5
8,4.2,27.5483871,15.91935484,5.89,31.13548387,15.70258065,4.8,28.54193548,16.44193548
9,20.6,29.71333333,17.26,27.11,33.24866667,17.39633333,20.3,30.6,17.95
10,133.8,30.26774194,18.73225806,97.19,33.15225806,19.66193548,133.2,31.10967742,19.49677419
11,161.4,27.64,18.27666667,195.32,29.24066667,19.04666667,216.8,28.55333333,19.02
12,289.4,28.1516129,18.93225806,233.01,27.91290323,19.5883871,293.4,29.05483871,19.69677419
1,292.4,28.37741935,18.84193548,244.29,27.63645161,19.70193548,264.8,29.19677419,19.72580645
2,247,27.94285714,18.70357143,232.69,27.2275,19.11571429,211.2,28.83571429,19.56428571
3,205.8,29.22258065,19.66129032,173.16,27.89,19.86806452,177.6,30.14193548,20.49677419
4,35.2,27,17.11333333,48.65,26.21333333,16.941,47,27.95333333,17.93666667
5,21,25.82666667,15.46666667,22.26,26.201,14.17266667,15.9,26.81666667,16.12
6,13.6,25.92333333,16.38666667,10.62,27.291,15.20466667,9.5,26.81666667,17.09
7,0,26.24516129,15.51290323,0.93,28.92483871,14.22612903,0.4,27.25806452,16.09354839
8,62.6,26.46451613,14.99032258,36.65,29.15774194,14.89903226,62,27.3483871,15.6516129
9,61.4,28.22666667,17.29,59.37,31.55566667,17.42566667,67.7,29.21,17.91666667
10,204,28.74193548,18.64193548,194.84,29.28096774,19.72806452,178.6,29.61290323,19.49677419
11,413.4,26.45333333,18.35,303.57,27.10633333,19.00333333,384.5,27.38,19.22666667
12,201.6,28.92903226,18.8,131.33,28.13516129,19.47548387,194.9,29.84193548,19.72903226
1,117.8,30.17096774,19.83548387,96.01,29.27548387,19.91612903,116.9,31.04516129,20.55806452
2,230,28.59642857,19.55714286,265.93,28.94107143,20.30321429,297.1,29.54642857,20.17857143
3,219.6,28.30645161,18.73548387,193.36,27.01645161,19.22,274,29.19032258,19.47741935
4,167.2,28.06333333,18.56666667,118.88,27.393,18.32,153.6,29.00666667,19.38
5,73.2,26.43225806,17.13870968,45.24,26.23580645,16.24354839,61,27.36774194,17.80322581
6,8.2,24.3,13.89166667,4.72,25.26166667,12.50083333,7.5,25.325,14.15
10,80.4,30.08333333,18.31666667,60.88,32.29583333,20.40166667,60.8,31.03333333,19.09166667
11,240.4,29.09666667,19.07666667,195.52,30.26466667,19.914,247.6,29.98666667,19.86333333
12,167.6,28.5483871,19.23870968,139.29,28.06225806,19.72322581,197.6,29.39677419,20.01935484
1,417,28.75483871,19.59032258,271.46,28.49096774,20.24709677,364,29.55806452,20.22903226
2,342,27.53793103,19.36206897,302.7,27.14827586,20.02103448,352.1,28.33448276,20.13793103
3,94.2,27.99354839,18.07741935,102.32,27.42935484,18.34967742,115.1,28.95483871,18.92903226
4,25.6,27.22333333,17.30333333,23.86,27.33766667,16.866,23.4,28.18333333,18.00666667
5,33,24.49032258,13.92258065,21.04,26.01419355,13.0116129,28.4,25.53225806,14.63225806
7,0,27.2,15.73636364,0.22,29.97363636,15.50818182,0,28.15454545,16.40909091
