Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,233,27.51153846,19.25384615,222.18,26.63,18.49576923,249.5,27.93076923,19.64230769
2,138,28.61428571,19.11071429,183.01,27.3975,18.345,204.2,29.09285714,19.41785714
3,13.6,30.01612903,18.68709677,114.07,27.85612903,17.92903226,68.3,30.4516129,19.00967742
4,0,26.59666667,17.61333333,86.76,26.04133333,16.87166667,51.1,27.09333333,17.84333333
5,0,21.97333333,12.66666667,84.82,21.413,11.80266667,66.5,22.51333333,13.02666667
6,0,23.94482759,12.2137931,36.37,22.3637931,10.78,9.3,24.47931034,12.59310345
7,0,20.94193548,10.36451613,192.67,19.76322581,8.821290323,137,21.48064516,10.73548387
8,0,24.39354839,12.46451613,24.41,23.04419355,10.95129032,6.2,24.90645161,12.78064516
9,0,27.3,15.08666667,31.54,27.70866667,13.943,13.3,27.84333333,15.45333333
10,38.6,28.35483871,16.47419355,74.77,29.50580645,15.43774194,54,28.85483871,16.77419355
11,138.2,26.144,16.112,162.51,26.6544,15.5232,163.2,26.624,16.324
12,206.4,28.5483871,17.74516129,248.98,27.37741935,16.8383871,178,28.97419355,18.09032258
1,265.8,26.07419355,17.98709677,203.88,26.08516129,17.69419355,283.9,26.56129032,18.24516129
2,139.6,27.98571429,18.37142857,114.92,27.29964286,17.80678571,157.3,28.40714286,18.66428571
3,136.2,27.20645161,17.86451613,105.81,27.12709677,17.13580645,136.4,27.69677419,18.23225806
4,145.8,25.00666667,16,140.72,24.93933333,15.431,198.8,25.47,16.21
5,87.4,21.83870968,12.38064516,79.27,21.33806452,11.56193548,127,22.27741935,12.59677419
6,39.8,21.28,11.81333333,55.3,20.898,11.01266667,50.7,21.75666667,12.21666667
7,22.8,23.56129032,11.83870968,31.57,23.10032258,10.67677419,17.8,24.03225806,12.02580645
8,110.6,23.48387097,13.42903226,154.66,23.40741935,12.29225806,113,24.00967742,13.72580645
9,57.2,23.45333333,12.74,96.26,23.474,11.63933333,64.6,23.97333333,13.05
10,160.8,25.4516129,16.28387097,142.07,26.09580645,15.16096774,147,25.99032258,16.60645161
11,82.8,26.3,16.31,105.3,26.33666667,15.45833333,87.4,26.82333333,16.59666667
12,82.4,27.97096774,16.53225806,109.8,28.8616129,15.68548387,79.1,28.45806452,16.81290323
1,199.6,26.56129032,18.02903226,287.92,26.64612903,17.57193548,210.6,26.95806452,18.40967742
2,195.8,28.61428571,19.41428571,164.43,26.73714286,18.6325,164.2,29.04642857,19.73214286
3,50.4,28.88709677,18.83225806,56.52,27.62903226,18.22741935,58.3,29.30322581,19.13548387
4,20.4,26.44,16.07666667,43.84,26.18766667,15.39,49.5,26.87,16.37333333
5,62.8,23.42903226,13.99032258,85.38,23.78064516,13.57870968,70.1,23.87419355,14.29677419
6,66.4,19.75666667,10.20666667,82.2,19.87766667,9.414333333,72.1,20.22333333,10.70333333
7,247.8,19.9,12.19677419,323.49,19.51903226,11.70129032,257.8,20.37096774,12.82580645
8,33.8,22.98064516,13.00645161,64.8,21.93354839,11.93258065,48.9,23.44516129,13.47096774
9,238.6,24.06666667,15.35666667,240.65,23.71066667,14.504,208.4,24.54,15.69
10,177,24.725,15.4,153.73,24.97,14.40285714,173.2,25.34642857,15.71785714
11,210.2,29.35,19.35333333,232.57,27.683,18.62166667,229.3,29.77666667,19.65666667
12,39.8,29.93076923,19.62307692,56.39,28.16230769,18.82384615,32.1,30.32307692,19.96153846
1,176.2,28.39166667,19.34166667,225.14,26.31083333,19.25458333,254,28.78333333,19.6875
2,113.4,30.124,20.148,98.39,27.9236,19.4816,101.8,30.512,20.42
3,136,27.93913043,18.54782609,159.11,26.0526087,18.19826087,133.2,28.39130435,19.0173913
4,116.6,25.29230769,16.45,115.39,23.70576923,15.36192308,109.6,25.78076923,16.64615385
5,11,22.472,13.26,32.84,21.2136,12.6612,19.6,22.94,13.592
6,36.4,21.64,11.652,59.31,20.144,10.6952,26.2,22.2,12.016
7,81,22.82258065,13.16451613,69.5,21.08548387,12.15645161,62.2,23.33548387,13.53548387
8,35.4,25.1,13.71111111,21.72,23.23666667,12.09333333,36.6,25.67777778,13.78888889
9,28.4,24.84347826,14.17826087,31.5,24.02434783,12.36608696,31.7,25.45217391,14.4826087
11,8.8,28.65,18.71666667,24.8,29.36833333,17.41166667,18.3,29.21666667,18.9
12,283,27.68064516,18.18064516,208.5,27.08709677,17.2516129,262.2,28.11290323,18.39677419
1,257.8,29.66774194,19.41290323,243.24,27.96483871,19.46354839,226.4,30.03548387,19.7
2,149.6,29.34642857,19.4,131.17,27.34714286,19.20392857,177.5,29.72142857,19.69285714
3,75.2,26.13214286,18.19642857,95.77,25.26821429,17.24428571,93,26.50714286,18.475
4,53,26.13666667,16.44,95.09,24.75033333,16.023,68.4,26.53666667,16.75333333
5,6.4,22.5,12.45483871,9.45,22.26419355,12.09741935,7.8,22.92580645,12.73548387
6,88.6,20.71666667,9.906666667,83.79,20.434,9.151333333,106.7,21.16666667,10.24333333
7,71.2,22.12580645,12.42580645,80.45,22.32483871,11.2683871,74.8,22.59354839,12.67741935
8,87.8,22.75483871,12.58064516,92.82,22.74967742,11.25580645,94.3,23.29032258,12.51290323
