Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,190.4,28.53870968,19.15483871,254.6,29.91483871,19.76419355,191.5,29.03548387,19.62580645
2,67.6,28.14827586,18.9862069,86.52,29.23655172,19.51103448,67.8,28.65862069,19.46896552
3,159,27.02903226,18.98387097,181.47,28.21354839,19.43419355,150.3,27.5483871,19.40645161
4,32.6,26.95,18.36666667,90.99,28.39266667,18.64466667,35,27.47,18.88666667
5,90.8,25.43548387,17.67741935,99.85,27.22935484,17.88483871,70.7,25.94516129,18.15806452
6,67,23.00666667,16.00666667,81.24,25.241,16.10866667,50.5,23.58,16.37
7,67.4,22.37741935,14.90967742,56.58,24.73677419,14.97774194,48.2,22.96451613,15.28064516
8,5.8,24.84193548,14.89677419,19.69,27.41483871,15.27387097,6.6,25.39677419,15.29677419
9,14.2,26.25666667,15.08,32.77,29.13133333,15.43733333,14.2,26.78666667,15.48
10,37.2,27.68709677,17.19032258,53.39,31.53645161,17.88935484,29.8,28.18064516,17.61612903
11,140.6,28.34285714,17.95714286,138.67,31.18714286,18.67714286,122.4,28.91071429,18.37142857
12,21,29.09354839,18.03225806,14.05,32.60516129,19.11354839,20.8,29.63870968,18.41612903
1,13.2,29.81428571,18.80357143,54.95,32.43857143,20.05392857,25.3,30.36785714,19.27142857
2,208.6,29.228,19.112,232.34,30.1256,19.8724,181,29.8,19.572
3,102,28.85,19.15333333,54.76,30.88433333,20.00366667,82.5,29.41333333,19.58666667
4,129.8,26.44333333,18.62333333,130.24,28.578,19.173,85.6,26.97333333,19.1
5,68.4,24.82,17.38,71.44,26.7576,17.8508,48.8,25.424,17.828
6,68.2,23.18888889,16.51851852,79.76,25.6962963,16.92740741,55.2,23.82592593,16.93703704
7,19.8,22,14.85384615,23.54,25.06846154,15.49,15.5,22.60769231,15.21538462
8,32.8,23.6,15.18666667,27.51,27.03266667,15.30133333,22.5,24.26,15.53333333
9,25.2,25.67692308,16.38461538,31.59,29.79307692,17.07961538,16.2,26.31538462,16.78461538
10,10.8,28.46,16.82,20.83,31.653,17.58333333,5.1,29.06,17.41666667
11,21.6,27.3,17.22777778,37.27,31.58777778,18.32166667,15.3,27.93333333,17.60555556
12,54,28.34333333,18.04,60.97,31.10133333,18.90666667,51,28.92333333,18.51333333
1,48.4,28.72258065,17.86774194,43.57,31.92290323,18.73741935,33.3,29.18064516,18.38064516
2,12.2,31.79130435,18.99565217,18.16,34.15,19.82434783,11.2,32.39565217,19.51304348
3,168.2,29.44642857,19.34642857,141.91,31.26678571,20.08357143,168.7,30.12857143,19.87857143
4,108.6,26.55652174,18.92608696,106.68,28.41565217,19.61173913,102.7,27.17826087,19.38695652
6,5,21,15.3,1.57,24.87333333,15.09666667,2,21.83333333,15.2
7,34.2,24.13684211,14.65789474,29.91,26.31473684,14.53421053,22.6,24.93157895,14.94736842
8,20.4,24.48695652,14.94347826,42.93,27.4226087,15.36826087,12.1,25.11304348,15.29565217
9,26.8,25.86521739,15.9826087,116.11,28.13521739,16.72130435,14.9,26.5173913,16.25217391
10,62.8,26.88181818,17.46363636,114.45,28.01909091,18.16363636,61.4,27.51363636,17.91363636
11,51.2,28.31,18.82,70.71,29.646,19.219,87.3,29,18.53
12,0,29.3,18.9,0.01,30.61,18.38,0,29.9,17.2
4,1,28.53333333,18.13333333,1.06,30.67666667,18.48666667,0.5,28.96666667,18.9
5,0.2,30.5,18.1,0.04,28.46,15.96,0,28.8,16.8
6,0,26,17.1,0.44,27.48,16.45,0,26.3,15.9
7,42.4,24.428,15.388,35.83,26.8248,15.2984,25.1,24.96,15.872
8,81,23.06451613,14.20967742,66.47,25.97483871,14.56967742,51.2,23.66774194,14.58709677
9,64.2,24.41333333,15.08333333,71.14,27.70133333,15.527,32.8,24.91,15.55
