Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,521.6,30.35483871,21.22258065,306.78,30.12548387,22.43516129,375.3,30.25806452,21.11935484
2,254.8,30.88571429,21.00357143,202.51,28.73107143,21.81,240.7,30.78928571,20.79285714
3,145.8,30.16774194,20.21935484,166.34,28.55225806,20.61483871,144.8,30.1,20.1483871
4,118,30.02,19.96666667,135.81,28.02966667,19.98866667,128.4,29.93,19.86
5,65.4,26.5483871,15.91612903,41.05,25.61806452,15.54290323,53.8,26.47741935,15.77741935
6,1.6,27.86666667,15.83666667,1.24,27.07833333,15.25766667,2.6,27.81666667,15.75666667
7,0,29.80967742,16.00967742,4.9,29.71032258,14.26258065,0,29.71612903,15.86129032
8,25.4,31.54516129,17.86129032,19.46,32.90322581,17.57258065,17,31.4516129,17.75806452
9,15.4,31.22666667,17.29333333,10.27,33.92766667,17.94066667,12,31.14,17.07666667
10,82.6,32.83548387,21.06774194,106.98,33.99483871,22.35064516,95,32.76451613,20.97419355
11,122.2,32.26666667,20.49,103.09,32.77433333,22.39366667,92.1,32.20666667,20.22666667
12,221,31.90322581,20.91935484,220.77,31.55967742,21.81387097,226.7,31.84516129,20.58387097
1,297.4,30.69677419,20.91935484,255.38,29.5616129,21.77645161,233.2,30.61612903,20.95806452
2,171.8,31.42857143,21.51428571,179.63,29.23178571,22.32071429,162.8,31.33571429,21.5
3,156.6,31.53870968,21.25483871,223,29.04032258,22.09451613,162.4,31.4483871,21.13548387
4,15.8,30.82,18.93666667,47.05,28.34566667,18.78,37,30.72333333,18.83
5,39.2,29.4483871,17.39677419,38.84,27.59741935,16.83709677,51.7,29.37741935,17.22903226
6,1.8,26.19,14.57666667,25.16,26.071,14.132,16.1,26.11666667,14.47
7,0,28.83225806,16.26774194,30.18,29.38483871,16.2916129,11.8,28.75483871,16.04193548
8,0.2,29.9,16.76774194,51.61,31.34225806,17.81225806,41.9,29.81290323,16.72580645
9,0.6,30.8,19.86,187.97,31.30533333,20.54533333,171.8,30.72333333,19.68333333
10,0,31.27586207,20.1137931,100.73,31.33931034,21.25,158.8,31.18275862,19.77241379
11,0,32.03333333,22.09,157.9,30.57966667,23.075,126.4,31.97,22.00333333
12,0,30.92580645,21.36129032,317.69,28.57419355,22.14419355,223.7,30.82903226,21.23225806
1,0,31.34,21.59666667,315.96,28.54466667,22.214,229.5,31.27,21.43666667
2,0,32.35714286,21.83214286,157.52,29.7425,22.28357143,76.4,32.34642857,21.78214286
3,117.4,31.92580645,21.02903226,161.89,29.43451613,21.68225806,189.9,31.84193548,20.86129032
4,60,30.61071429,19.03571429,44.03,27.96821429,18.69428571,72.7,30.52857143,18.95
5,4.4,29.275,16.54166667,7.78,27.505,16.08583333,5.4,29.19583333,16.36666667
6,6.4,28.87,14.89,4.47,28.2945,13.652,4.9,28.82,14.645
7,0,30.64285714,17.33571429,2.73,30.50357143,16.02928571,0.7,30.54285714,17.04285714
8,0,32.945,16.74,2.64,33.748,15.884,0,32.84,16.525
9,100.6,32.41071429,19.18928571,46.25,35.84571429,20.64,110.7,32.325,19.05357143
10,38,31.664,19.228,84.91,32.0404,19.7872,43.8,31.58,18.928
11,112,31.61034483,19.84137931,112.98,32.42068966,21.21034483,96.4,31.52413793,19.58965517
12,115.8,31.84482759,21.65862069,138.72,30.87586207,22.55862069,110,31.77241379,21.51034483
1,182.2,32.17083333,21.37916667,205.63,29.39625,22.595,174.3,32.00416667,21.25
2,325,31.67727273,21.00454545,185.16,29.09272727,22.40227273,216.1,31.58636364,20.91818182
3,400.6,28.65454545,21,350.83,26.85272727,21.50045455,378.4,28.58636364,20.94090909
4,38.6,31.30416667,19.44166667,36.31,28.17708333,19.73791667,28.7,31.2,19.3125
5,0,29.5,16.8,15.5,26.57058824,16.77882353,0,29.40588235,16.67647059
6,0,28.58235294,14.96470588,24.39,26.86941176,13.64058824,0.1,28.48823529,14.73529412
9,0,37.6,21.93333333,0.01,39.05,22.59333333,0,37.53333333,21.83333333
10,79.6,31.45806452,20.1483871,93.66,32.74354839,21.82,95.2,31.39032258,19.97096774
11,141.2,31.45666667,18.84,107.49,32.81633333,20.522,126,31.39333333,18.76333333
12,194.8,32.50645161,20.57419355,208.3,32.41870968,22.08677419,174.1,32.42903226,20.48064516
1,290.2,30.53870968,20.22258065,271.58,28.69741935,21.10645161,287.1,30.44516129,20.06774194
2,66.4,33.07931034,21.01034483,76.12,30.09724138,21.37344828,49.3,32.99310345,20.92068966
3,58.2,32.00322581,20.11290323,88.11,31.07548387,21.35290323,87.4,31.95806452,20.00322581
4,115.4,30.76666667,19.81,90.77,31.361,20.98066667,81.4,30.71,19.52666667
5,78.6,27.46774194,16.18064516,48.99,28.03903226,16.61258065,76.9,27.37096774,16.07741935
6,144.2,26.99666667,16.74,148.08,26.791,16.414,176,26.90333333,16.56
7,2.8,28.12903226,14.1516129,5.51,27.82032258,13.94,7,28.03225806,14.01935484
8,0,30.41333333,16.8,0.06,31.52266667,17.11366667,0,30.32666667,16.69
9,69.4,33.43666667,18.78333333,71.89,35.03133333,19.58633333,95.5,33.36,18.48
10,51.4,34.81935484,21.17096774,37.64,36.56258065,22.84645161,38.6,34.74193548,20.96774194
11,118.4,32.88,20.91666667,153.28,33.616,22.82666667,134.8,32.77666667,20.69
12,223.2,33.17096774,21.78387097,178.01,31.54032258,23.11258065,195,33.08709677,21.72258065
1,203.2,31.28709677,21.12580645,170.74,29.81225806,22.08935484,156.7,31.19354839,20.99032258
2,132,31.50357143,20.89642857,163.09,28.98071429,21.99428571,169.3,31.42857143,20.82857143
3,223,31.16333333,20.67,145.51,29.188,21.67733333,165.3,31.08,20.59
4,97.6,29.11333333,18.47666667,74.87,27.69366667,18.96633333,91,29.02333333,18.33666667
5,30.2,29.8516129,17.06129032,30.03,29.60290323,17.49,36.2,29.76774194,16.91935484
6,92.4,28.63666667,17.78333333,60.29,29.15533333,18.05266667,96,28.55666667,17.61
7,21.4,27.27741935,14.36774194,25.74,27.90935484,14.41612903,17.2,27.27741935,14.16129032
8,0,29.76451613,14.60967742,0.1,30.91419355,15.10709677,0.1,29.67741935,14.45806452
9,49.6,31.37666667,17.73333333,52.01,34.45533333,19.34133333,63.7,31.31,17.61666667
10,78.8,31.67419355,19.43548387,63.18,32.85774194,21.01451613,72.6,31.58709677,19.3483871
11,78.6,32.53666667,20.53,82.75,33.44333333,22.674,107.5,32.45666667,20.33
12,217.6,32.57096774,21.3,149.05,32.45806452,23.03064516,184.2,32.51935484,21.1516129
1,194.8,33.39032258,20.6,124.96,32.29741935,22.52064516,149.8,33.29677419,20.38709677
2,92.2,33.575,20.88214286,163.26,32.38714286,22.54535714,140.6,33.47142857,20.775
3,135.6,31.78387097,20.17419355,157.44,29.35645161,21.48580645,148.4,31.67419355,20.05806452
4,38.6,31.58333333,19.83666667,42.21,30.63066667,20.68533333,44.8,31.48333333,19.75
5,25.2,28.86774194,16.2,16.21,29.88,16.63612903,24.7,28.76451613,15.99677419
6,3,28.83,15.85666667,3.79,30.36266667,16.869,2.6,28.75333333,15.71666667
7,81,27.93870968,15.23870968,56.23,29.45,16.17193548,79.8,27.8516129,15.06451613
8,0,31.72580645,16.58064516,0.15,32.55258065,17.07870968,0,31.63548387,16.43225806
9,102.4,32.55666667,19.22,75.47,35.40633333,21.307,96.2,32.48666667,18.92
10,83,33.63225806,19.78387097,65.06,35.73774194,21.44677419,109.5,33.57419355,19.59354839
11,125.8,30.91666667,20.42,207.36,30.96566667,21.998,189.8,30.83666667,20.26666667
12,214.4,31.70967742,21.08387097,170.48,29.60870968,21.98903226,244.7,31.6516129,20.93225806
1,169,33.96129032,21.46129032,135.75,31.17129032,22.9416129,194.4,33.92258065,21.26451613
