Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,531.4,29.62142857,21.63214286,355.64,27.40142857,19.78285714,356.5,29.43928571,21.36428571
2,180.8,31.86923077,21.36153846,142.78,28.08884615,19.025,164.7,31.68461538,21.13846154
3,80,32.06451613,19.95483871,142.21,28.76096774,18.68580645,101.7,31.91935484,19.77096774
4,38.2,29.16666667,17.89,49.95,27.338,17.563,40.8,29.05333333,17.71666667
5,61.2,25.37333333,12.69,74.29,23.877,12.55766667,56.4,25.21333333,12.60333333
6,24.8,26.56896552,11.54827586,14.48,25.04241379,11.41724138,20.5,26.42758621,11.44827586
7,175.8,24.73666667,11.19666667,143.22,24.43633333,10.65933333,169.5,24.59333333,11.04
8,0,27.85806452,11.89032258,0.13,27.40709677,12.08419355,0,27.73870968,11.84193548
9,2,30.61333333,15.38666667,8.5,31.66,15.631,2.2,30.47,15.24666667
10,93.6,31.77741935,17.49677419,61.66,33.22935484,17.83903226,77,31.62903226,17.40645161
11,127.8,28.4,17.696,125.19,30.2204,17.326,123.4,28.276,17.456
12,190,30.37419355,18.82903226,149.27,30.59258065,18.71741935,199,30.26129032,18.6483871
1,433.8,28.19677419,18.78709677,256.84,28.42258065,18.88419355,368.2,28.09032258,18.58064516
2,85.4,29.87142857,19.18214286,205.15,28.06392857,19.19392857,101,29.75,19.03571429
3,154.8,28.97096774,18.37741935,139.43,27.41967742,17.82032258,123.5,28.85483871,18.26129032
4,176.8,27.22666667,17.17666667,116.33,26.14733333,16.84966667,167.2,27.11666667,16.98
5,58.8,24.13225806,12.59677419,59.96,23.12935484,12.26741935,59.7,24.03548387,12.46774194
6,64.6,24.73666667,12.59,38.1,23.69366667,12.42933333,55.1,24.62,12.60666667
7,0.8,26.31935484,9.85483871,2.2,25.77258065,10.57709677,0,26.20967742,9.809677419
8,70.8,27.39032258,13.63225806,56.89,28.61774194,13.9316129,63.7,27.28064516,13.50322581
9,48.8,27.03666667,13.30333333,32.41,29.76666667,13.454,42.1,26.93666667,13.15333333
10,109.4,29.26774194,17.48064516,104.6,30.92870968,17.9883871,136.8,29.14193548,17.36774194
11,25,29.89666667,17.50666667,111.37,29.77966667,17.593,49.3,29.73333333,17.41
12,151,29.92580645,17.89032258,200.4,29.8316129,17.25258065,156.5,29.79032258,17.74193548
1,177,28.7,19.23548387,229.21,27.80967742,19.04806452,175,28.58387097,19.01612903
2,148.6,30.25357143,20.02857143,194.42,28.47785714,19.65785714,180.9,30.13571429,19.78928571
3,126.2,30.28709677,19.42258065,170.29,28.04709677,19.31258065,122,30.18709677,19.31935484
4,23.8,28.25,15.91,55.74,26.42866667,16.079,29,28.10666667,15.84666667
5,12.4,27.16129032,14.03870968,25.3,25.65387097,14.55645161,28.5,27.01290323,13.9516129
6,61.4,23.41333333,9.88,65.15,22.77333333,10.53833333,55.8,23.28333333,9.89
7,67,24.01612903,12.67096774,77.47,24.78516129,13.01903226,82.8,23.9,12.62903226
8,64,26.16451613,12.8516129,106.03,26.60870968,13.28580645,56.5,26.03870968,12.85806452
9,147.6,27.54333333,16.66333333,131.2,28.09166667,16.395,132.3,27.40666667,16.36333333
10,47.4,28.47142857,17.18928571,93.27,28.16178571,16.85428571,67.6,28.33571429,16.96071429
11,180.2,31.52333333,20.1,203.61,30.11333333,20.05566667,229.7,31.38666667,19.94666667
12,285.2,29.28709677,19.69032258,354.03,27.77741935,19.28354839,300.9,29.16451613,19.50322581
1,250,30.04333333,20.20333333,276.22,27.435,19.958,325.4,29.91333333,20.05
2,119.4,31.46785714,20.04285714,112.01,28.5975,19.56428571,104.5,31.36071429,19.94285714
3,162.4,30.14193548,19.14193548,120.39,28.0783871,18.73225806,154.3,30.02580645,18.94516129
4,83.8,28.18,16.45666667,66.88,25.94533333,15.81566667,88,28.06333333,16.30666667
5,27.2,25.30645161,13.15806452,24.31,24.13483871,13.07548387,21.6,25.18709677,13.07096774
6,19.2,25.26333333,10.05,18.54,24.095,10.45266667,19.2,25.13666667,9.96
7,63.6,26.65483871,12.58709677,37.93,26.27548387,12.56806452,57,26.54193548,12.54516129
8,0,27.66774194,10.47096774,1.74,28.09451613,11.18709677,0,27.53548387,10.40967742
9,109.6,29.14666667,15.40333333,54.5,31.26133333,15.64266667,103.4,29.02666667,15.2
10,92.2,28.12258065,15.51612903,59.94,30.67451613,15.41774194,76.2,28.00322581,15.38709677
11,34.4,29.78888889,17.67037037,74.62,31.44888889,17.91185185,69.5,29.64814815,17.51481481
12,208.6,30.22916667,19.725,125.02,29.99583333,19.75,279.4,30.1125,19.5875
1,331,29.2,20.15789474,271.92,27.86842105,20.19789474,343.9,29.08947368,19.91052632
2,28.2,32.11,20.02,28.19,29.185,19.551,39,32.26,20.06
4,23.6,28.85,17.55,44.5,26.702,16.903,11.7,28.76,17.56
5,25.4,25.17,13.55,11.43,24.969,13.818,16.4,25.11,13.73
6,35.4,22.87368421,8.821052632,23.62,23.04578947,9.559473684,38.7,22.77894737,8.984210526
7,3.4,26.05806452,12.56774194,2.78,26.42903226,12.45806452,1.1,25.9483871,12.53548387
8,2.8,24.88888889,12.16666667,5.76,26.33444444,11.46888889,4.3,24.82222222,11.61111111
9,1.8,30.45333333,12.92,2.84,32.86333333,13.57266667,0.7,30.32666667,12.82666667
10,211,29.01935484,16.84516129,168.97,29.93387097,16.94806452,205.4,28.88064516,16.65483871
11,153.8,28.56,16.36333333,167.81,29.07066667,15.855,170.6,28.44333333,16.25
12,162.2,29.7516129,18.08387097,139.45,29.99064516,17.94225806,171.2,29.63548387,18
1,251.4,28.20645161,18.13225806,264.39,27.20419355,17.73064516,276.4,28.09354839,17.9483871
2,151,31.73793103,19.61034483,95.44,29.05931034,19.49137931,157.5,31.62758621,19.46206897
3,66.2,30.18387097,18.29677419,27.69,30.49548387,18.58032258,73.5,30.08387097,18.08387097
4,167.8,28.60333333,17.56,119.33,29.691,17.923,150.1,28.49333333,17.37
5,72.2,25.13870968,13.28387097,52.4,24.53258065,13.59129032,86.3,25.02580645,13.21935484
6,174.8,23.85333333,13.83333333,127.57,24.132,13.65866667,194.1,23.74333333,13.71333333
7,27,25.29677419,11.10645161,43.88,24.54967742,11.70032258,34.9,25.15806452,11.01935484
8,0.2,27.84,11.73333333,0.32,27.643,12.45833333,0,27.69333333,11.71
9,44,29.83666667,14.93,56.13,31.28233333,15.23933333,42.1,29.68666667,14.68
10,76.6,32.14193548,17.93548387,66.52,33.26451613,18.90806452,84,32,17.74193548
11,109.6,29.94666667,17.88666667,133.46,30.71833333,17.53266667,86,29.79,17.75666667
12,195.6,31.68064516,20.99032258,239.91,29.6816129,20.94483871,204.4,31.53870968,20.85806452
1,257.2,28.67419355,19.05483871,243.17,28.02967742,18.65419355,264.2,28.55806452,18.86129032
2,128.4,30.18928571,19.51785714,148.82,28.32,19.55964286,157.7,30.09285714,19.42142857
3,150.8,29.06666667,18.96666667,153.69,27.27433333,18.72866667,162.2,28.93333333,18.82
4,184.4,26.99333333,15.86666667,110.21,25.529,15.624,161.8,26.88,15.76666667
5,89.2,25.62258065,13.77096774,115.55,25.00322581,14.03580645,93.2,25.50322581,13.71290323
6,133,24.30666667,13.79666667,87.96,24.279,13.90933333,116.3,24.2,13.72
7,55.8,24.14516129,11.05483871,35.82,23.3616129,11.23129032,52.1,24.02903226,10.73225806
8,2.6,27.01935484,10.75806452,7.4,26.44322581,11.48354839,3.2,26.9,10.56774194
9,30.4,28.33666667,14.07,52.33,29.859,14.347,35,28.20333333,14
10,167.4,28.40322581,16.51935484,133.35,28.53225806,16.26419355,139.2,28.2516129,16.36451613
11,124.4,29.45,18.04,115.78,29.676,17.565,134.2,29.33,17.81666667
12,127.2,31.01935484,19.64516129,109.25,31.28903226,19.33870968,135.4,30.88709677,19.50645161
1,86.6,32.60967742,19.89032258,79.18,32.04903226,20.3316129,101.9,32.50967742,19.67096774
2,53.6,33.16071429,20.31071429,73.53,33.97642857,20.96428571,59.1,33.03928571,20.20357143
3,127,30.28064516,19.09032258,91.08,30.75193548,19.51903226,155.3,30.16774194,18.92580645
4,28.6,28.51,16.86333333,56.75,29.63233333,17.381,56.5,28.38,16.77
5,39.4,26.26451613,13.28064516,38.13,27.67483871,14.02774194,42.5,26.12903226,13.21612903
6,2.4,26.48,12.62333333,5.82,27.605,13.55033333,2.1,26.33333333,12.59333333
7,13.4,26.072,11.28,21.3,27.3016,12.4636,10.7,25.932,11.228
8,1,28.03846154,11.92307692,5.5,28.77384615,12.49923077,2.7,27.89230769,11.47692308
10,21.8,32.14516129,16.7,28.58,34.26290323,17.14354839,21.5,31.99032258,16.57741935
11,167.4,29.63333333,18.66666667,169.79,30.35333333,18.36233333,175.1,29.53333333,18.44333333
12,279.8,30.30645161,19.44516129,209.55,29.74,19.20451613,316.5,30.18709677,19.23548387
1,116,32.73870968,20.91612903,130.99,30.30096774,20.48129032,150.8,32.63548387,20.79354839
2,247,29.94642857,19.65714286,178.51,28.59214286,19.63964286,268.1,29.83214286,19.26428571
3,139.4,28.37741935,19.05483871,143.72,27.4683871,18.59967742,184.3,28.28064516,18.90967742
4,13,28.52666667,16.96666667,41.08,27.647,16.93133333,36.3,28.41,16.86333333
5,84.4,25.44516129,14.34193548,75.81,25.39903226,14.68225806,94.8,25.31935484,14.26451613
6,6.6,25.76666667,13.16,7.24,25.49166667,13.08833333,10.1,25.64666667,12.94333333
7,40,24.68064516,13.18709677,26.02,26.67677419,13.80774194,50.7,24.56451613,13.18064516
8,33.4,28.64193548,12.3483871,23.59,29.93387097,13.77903226,37.6,28.50645161,12.28709677
9,115.8,25.99285714,15.09285714,116.64,28.59428571,15.69857143,135.4,25.86428571,14.87142857
10,100.6,31.03870968,18.3483871,71.82,33.55516129,18.73774194,79.4,30.91290323,18.20322581
11,267.8,29.22333333,19.81333333,233.34,29.087,19.82366667,261.6,29.10666667,19.63
12,238.4,29.89032258,20.37419355,206.09,28.4783871,20.30709677,219.9,29.78064516,20.2483871
1,278.4,30.01612903,20.11935484,271.9,28.33935484,19.58903226,294.1,29.89354839,20.00645161
2,194.2,31.27931034,20.73793103,188.91,28.69482759,20.20931034,216.4,31.16551724,20.59310345
3,130.6,30.16129032,19.41935484,157.22,28.06774194,19.53516129,156.9,30.05483871,19.31290323
4,6,30.91,17.76666667,6.78,28.46366667,17.361,6.2,30.8,17.65
5,68.2,25.544,13.716,53.95,24.68,13.5164,82.9,25.444,13.744
9,3.6,28.925,13.67083333,5.77,30.80666667,13.70666667,7.6,28.79583333,13.55833333
10,102.4,29.52903226,17.10322581,111.33,31.02516129,17.02709677,158.9,29.40322581,16.99354839
11,193.8,29.12,17.83666667,138.89,29.494,17.61433333,169.8,29,17.67333333
12,180.6,30.87741935,19.11290323,135.91,29.97290323,19.15548387,152.6,30.76129032,19.06774194
1,316.6,29.79032258,20.32258065,273.59,27.78451613,20.13709677,274.4,29.68064516,20.22258065
2,98,31.76428571,20.04285714,81.28,28.98142857,19.8225,101.6,31.65714286,19.85
3,131,29.98709677,18.67096774,137.64,27.95548387,18.57645161,153.2,29.87096774,18.49354839
4,124,27.85,16.94333333,110.36,26.70066667,16.62,116.5,27.74666667,16.71333333
5,152.4,25.70666667,15.14333333,147.79,25.314,15.01366667,158.4,25.59,14.99
