Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,8.2,34.97741935,21.1516129,19.69,35.52387097,21.79064516,13.2,35.21290323,20.79032258
2,38.8,36.22142857,22.875,38.44,35.59928571,22.31607143,36.3,36.37142857,22.46428571
3,113,34.39032258,22.51290323,104.13,33.70645161,22.08225806,127.1,34.51935484,21.8516129
4,5.6,33.79666667,21.82333333,64.45,32.94233333,21.10866667,15.9,34.00666667,21.31
5,19.8,33.08387097,20.97096774,74.2,30.78451613,19.74451613,28.7,33.1,20.2516129
6,120.8,28.41333333,19.78333333,81.75,28.68766667,18.18633333,112.7,28.59,18.78666667
7,88.2,27.82258065,18.83548387,21.03,29.39451613,17.45483871,87.3,27.99354839,17.71935484
8,29,29.18333333,17.9,24.92,31.653,18.06633333,30.1,29.42,16.93333333
9,23.6,31.60666667,19.05333333,8.79,33.914,19.109,29.6,31.75,18.32
10,13.4,34.18709677,19.96774194,10.48,36.16709677,21.11258065,12.1,34.21612903,19.41935484
11,6.2,35.69,21.35,25.63,35.86166667,21.66166667,6.3,35.75666667,20.74
12,9.6,36.23870968,21.4,60,34.21774194,21.35290323,6.3,36.29677419,20.62903226
1,60.4,35.4483871,22.46774194,10.38,36.44935484,21.91387097,90.7,35.4516129,21.6483871
2,53.8,35.05172414,22.8862069,31.14,36.85862069,23.25275862,61.2,35.07586207,23.05172414
3,233.6,33.34666667,22.94,140.2,34.22433333,22.48333333,205.8,33.48,22.17
4,111.6,31.97666667,22.54,46.93,33.98466667,22.235,123.6,32.07,22.64
5,100,29.23225806,21.78064516,37.59,33.47129032,21.11903226,148,29.3516129,21.83548387
6,107.8,27.75333333,20.59666667,124.52,28.77233333,18.69033333,131.3,27.88,20.65
7,2.6,27.95,18.46666667,3.56,31.58833333,19.21833333,2.7,28.06666667,18.63333333
