Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,174.4,28.18181818,22.66894836,76.24,26.94727273,18.24272727,152.6,27.83636364,19.29090909
2,188.6,28.95714286,22.89176371,228.28,27.43535714,19.32857143,231.9,28.55714286,18.43928571
3,111.4,30.01290323,23.48890252,200.23,26.76451613,19.03709677,91.4,29.66774194,18.19677419
4,56.4,28.82333333,22.4508333,71.28,26.049,16.65466667,54.8,28.45333333,17.48333333
5,28.4,26.18709677,19.34426935,26.12,23.67483871,12.2,24.7,25.82258065,13.76129032
6,0,26.59310345,19.1595741,13.54,23.68275862,12.1637931,0,26.27586207,12.64482759
7,15.6,26.26451613,19.03752445,3.8,26.06258065,12.40580645,24.8,25.91935484,12.72258065
8,1,28.72580645,20.86588477,26.23,29.11225806,14.39741935,0.2,28.27741935,13.6483871
9,22.8,31.02,23.62569433,69.59,29.75266667,15.85133333,9.3,30.65333333,16.70333333
10,107.8,31.32580645,24.46175197,237.81,27.28387097,17.85709677,65.3,30.99677419,18.36451613
11,187.2,28.232,22.66760608,198.69,26.7728,18.1036,205.3,27.848,18.28
12,260.4,28.86451613,23.01612906,363.55,26.49645161,19.59387097,226.7,28.47741935,18.38709677
1,276.6,27.3,22.17163974,338.06,26.29935484,19.73419355,210.6,26.9483871,18.36129032
2,169.8,28.13333333,22.36867289,162.64,26.91777778,18.67074074,221.6,27.76296296,18.2
3,181.6,28.02903226,22.05548629,90.81,27.86548387,17.99741935,233.4,27.63870968,17.60645161
4,182.8,27.51333333,21.6065278,75.33,26.96933333,17.52033333,156,27.14333333,17.09333333
5,46.8,24.98709677,18.76400774,26.9,24.89387097,13.37677419,26.8,24.7,13.57741935
6,11.4,26.14,19.3856406,0.66,25.774,12.29433333,6.1,25.70333333,13.85
7,12.8,26.17419355,18.58561832,34.93,26.49387097,12.49806452,2.7,25.79354839,11.60645161
8,15.2,28.30322581,21.34153226,2.2,29.59612903,13.75903226,5.8,27.97096774,15.05806452
9,40,29.65333333,21.92625003,16.46,33.10133333,17.72933333,36.6,29.32666667,15.21333333
10,61.4,30.20645161,23.81747313,85.48,32.87129032,19.53258065,53.1,29.76129032,18.44516129
11,140.6,28.93333333,22.65125,190.03,28.1,18.555,147.5,28.57,17.98666667
12,378.8,27.71935484,21.98615587,284.5,28.1216129,18.83483871,351.1,27.30967742,17.91935484
1,312,28.30322581,22.1763441,266.75,26.68483871,18.77677419,288.8,27.90967742,18.23225806
2,194.2,29.14285714,23.1473215,232.22,26.235,18.77678571,210.3,28.71071429,18.71785714
3,274.6,28.60645161,22.61344084,232.8,26.59677419,18.06387097,302.1,28.18387097,18.66129032
4,67.4,27.26666667,21.22097227,178.31,25.98433333,17.749,133.8,26.88333333,16.26666667
5,64.8,26.45483871,19.96680113,50.77,23.7016129,13.69870968,66.1,26.06129032,14.51612903
6,52,23.97,17.46319443,8.8,24.106,13.21133333,49.3,23.61333333,12.21666667
7,17.8,26.92258065,19.8424731,0.15,24.42548387,11.06064516,18.3,26.5483871,13.87419355
8,36.6,27.21612903,20.28481174,23.55,28.05451613,14.51451613,34.1,26.81935484,14.57741935
9,100.4,28.95,22.49263887,35.55,30.303,15.127,109.6,28.56666667,17.29
10,213.2,28.91071429,22.72098211,79.35,31.25035714,19.02285714,145.2,28.52142857,17.97857143
