Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,182.8,26.86451613,18.30967742,226.48,28.49967742,19.16419355,238.7,27.83870968,19.00322581
2,183.2,27.91071429,18.38928571,198.33,28.13214286,19.27571429,205.7,28.87142857,19.01785714
3,177.6,27.05806452,17.46774194,146.3,27.36709677,18.05290323,171.7,28.00967742,18.21290323
4,98.8,26.06666667,16.56666667,117.49,26.12066667,17.023,130.8,27.02666667,17.21666667
5,31.6,23.18064516,12.51612903,52.61,23.51483871,12.56258065,41.4,24.17741935,13.13225806
6,32.4,23.57666667,12.89666667,31.86,24.05866667,12.76,24.3,24.67333333,13.47333333
7,0,24.90322581,11.61612903,2.44,26.34774194,11.19,0,25.93225806,12.03870968
8,47.4,26.80645161,14.59354839,44.9,29.48354839,14.49064516,46.8,27.82580645,15.17741935
9,35.2,26.86666667,13.73666667,29.39,30.50366667,14.035,31.5,27.81333333,14.33333333
10,81.6,28.6,17.59032258,89.83,31.19096774,18.6683871,74.6,29.50322581,18.19677419
11,51.2,28.47333333,16.96666667,92.05,30.45933333,18.189,76.5,29.38666667,17.69333333
12,175.2,28.18064516,17.45806452,230.89,30.14032258,17.8083871,221.3,29.09354839,18.19354839
1,333.8,26.99032258,18.16451613,262.77,27.49774194,19.04612903,317.7,27.89354839,18.84193548
2,180.2,28.34642857,19.14285714,182.19,28.37821429,19.63892857,174.2,29.37142857,19.72857143
3,304,28.49354839,18.75483871,176.16,27.9983871,19.4983871,232,29.51290323,19.43225806
4,105.2,26.49,15.91,53.53,26.501,16.338,89.5,27.52666667,16.50333333
5,35.4,25.35483871,14.27741935,24.76,25.38516129,14.72548387,31.9,26.31290323,14.86129032
6,31.6,22.16666667,10.78,57.92,22.59766667,10.688,31.2,23.06666667,11.33
7,71,24.02903226,13.49032258,52.87,25.35354839,13.4583871,65.3,25.01935484,13.95806452
8,153.4,24.87741935,13.98709677,124.35,27.08064516,13.75322581,144.6,25.82258065,14.3483871
9,132.8,26.63,16.54333333,120.71,28.54833333,16.76666667,147.9,27.55,16.99333333
10,80.2,27.8137931,16.80344828,95.74,28.62551724,17.31724138,101.7,28.85172414,17.4
11,244.2,29.40666667,19.77666667,217.81,29.92166667,20.239,242.7,30.39666667,20.34
12,394.2,27.30645161,18.81935484,336.72,27.54,19.56258065,345.4,28.24193548,19.42580645
1,348.8,28.11,19.38666667,225.12,27.41033333,19.97633333,291.8,29.11,20.00666667
2,111.8,29.68571429,19.32857143,99.19,28.76178571,19.63821429,125.7,30.68214286,20.07857143
3,193.6,28.66451613,18.71612903,114.79,28.17032258,18.90290323,215.9,29.67096774,19.3
4,123.8,26.52,16.37666667,58.37,26.29933333,16.13333333,112.7,27.49666667,16.88
5,13,24.24516129,13.63225806,20.24,24.58483871,13.2116129,14.5,25.24516129,14.02903226
6,19,24.26333333,11.42666667,30.03,24.87866667,11.07866667,18.7,25.29333333,11.84
7,33.8,25.53870968,13.89354839,26.84,27.18516129,13.20483871,21.7,26.58387097,14.30322581
8,0,27.05483871,12,0.23,29.23451613,12.07870968,0,28.08064516,12.48387097
9,78,28.30666667,16.18333333,59.95,32.10466667,16.24733333,70.7,29.23666667,16.63333333
10,87.2,27.68064516,15.47741935,67.53,30.69870968,16.14612903,74.1,28.67419355,16.06129032
11,61.4,28.54,16.99,56.82,32.13033333,18.23233333,85.2,29.52333333,17.59
12,151.8,29.2,19.02903226,173.19,30.10064516,19.90451613,197.2,30.11612903,19.72580645
1,429.6,28.72580645,19.47419355,323.62,28.1916129,20.20096774,424.7,29.71290323,20.09032258
2,336.8,29.26071429,19.225,196.38,28.34535714,19.95321429,230.7,30.31785714,19.93571429
3,279.4,25.82580645,18.79032258,158.72,26.17096774,18.78258065,254.6,26.77419355,19.38387097
4,88.6,26.72666667,17.11333333,73.19,26.47833333,17.311,107.4,27.82666667,17.67
5,6,24.17741935,13.11935484,9.9,24.04,13.15645161,4.6,25.25806452,13.58709677
6,44,23.30666667,10.91333333,36.38,23.29066667,10.143,37.7,24.31666667,11.39
7,0.2,25.38709677,13.38709677,1.63,26.15935484,12.70354839,0.1,26.43548387,13.70967742
8,13.2,27.14516129,14.69032258,22.45,28.99354839,13.67419355,11.6,28.12258065,14.68387097
9,13,29.03666667,14.69333333,5.67,32.19633333,14.302,19.8,30.02666667,15.21
10,175,27.35806452,16.8,157.01,29.84709677,17.53,200,28.28387097,17.28387097
11,131.6,27.34,16.00666667,163.45,29.33933333,16.32633333,144.6,28.34333333,16.52333333
12,227,28.43548387,17.7,161.37,30.08451613,18.07322581,200.3,29.44516129,18.29677419
1,32.8,27.8,17.9,26.31,29.114,18.148,41,28.76,18.36
3,11.4,28.06,17.34666667,12.76,30.376,18.32666667,16.7,29.12,17.96666667
4,151.8,27.39,17.61666667,98.1,29.921,18.198,168.7,28.37,17.97
5,100.8,23.60967742,13.38387097,58.03,24.82806452,13.95516129,105.7,24.49032258,13.8483871
6,194,22.92,14.16666667,115.39,24.43,14.035,178.4,23.8,14.62333333
7,41.2,24.04193548,12.20645161,23.8,25.12677419,11.83516129,35.4,25.01290323,12.74516129
8,2.4,25.94333333,13.91,0.42,28.436,13.306,2.9,26.92666667,14.47
9,77.8,28.50666667,15.44,72.11,31.64966667,15.91133333,88.2,29.43333333,15.77
10,98.2,30.49354839,18.48387097,61.32,33.59548387,19.55774194,112,31.50967742,18.96774194
11,176.2,28.33,17.66,144.58,30.895,18.01133333,199,29.34666667,18.19666667
12,232.8,29.83225806,19.89677419,208.4,29.77290323,21.05032258,215.4,30.85806452,20.47419355
1,280.8,27.66129032,18.45483871,259.56,28.14645161,18.80129032,272.6,28.56774194,19.0483871
2,201,28.74642857,18.87857143,179.14,28.12571429,19.49178571,162.4,29.69285714,19.65
3,208.8,27.52,18.38666667,151.97,27.36333333,18.87233333,209.6,28.41,19.03
4,71.8,25.64333333,16.02333333,83.3,25.64433333,16.05633333,85.6,26.67333333,16.66333333
5,156,24.52580645,14.67096774,127.86,25.33516129,14.45967742,157.9,25.57419355,15.28064516
6,63,23.82333333,14.69,60.6,24.60933333,14.28366667,68.1,24.79666667,15.24
7,44.2,23.27419355,11.86451613,25.74,23.92903226,11.82225806,32.8,24.23225806,12.37419355
8,23.2,25.76451613,12.44516129,7.39,27.21935484,11.95129032,12.6,26.81935484,12.82903226
9,62.8,27.29666667,15.19,63.12,30.57,14.92966667,61.6,28.12666667,15.79333333
10,175.4,26.90645161,16.2483871,123.53,28.87677419,16.5516129,140,27.88387097,16.86451613
11,160.6,27.67333333,17.74333333,123.8,29.95066667,17.99066667,190.4,28.68333333,18.36333333
12,122.6,28.94516129,18.88064516,114.65,31.06516129,19.54967742,106.4,29.87419355,19.48387097
1,71.4,30.89677419,19.57419355,78.08,31.99,20.22548387,93.7,31.96451613,20.18064516
2,20.6,30.90357143,19.82142857,69.96,33.3075,20.91928571,56.4,31.84642857,20.45
3,33.2,28.5516129,18.77096774,101.32,30.31322581,19.52096774,111.2,29.5516129,19.41290323
5,11,24.88333333,14.35666667,32.27,27.75333333,14.44266667,43.5,25.88333333,14.85666667
8,0.4,27.66333333,13.69666667,5.58,30.35166667,13.83533333,0.6,28.63333333,14.17666667
9,21.8,28.81333333,16.57333333,65.75,32.61766667,17.02133333,102.9,29.78333333,17.19
10,57.8,30.55483871,17.45483871,33.48,34.19806452,17.69354839,44.1,31.64193548,18.0516129
