Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,419.6,30.02258065,19.52903226,233.6,28.24612903,19.56709677,350.2,30.48064516,19.52258065
2,267.6,29.51785714,19.625,228.3,27.87392857,19.35964286,226.8,30.15357143,19.66071429
3,54.2,31.05483871,20.27419355,116.33,28.62,19.84741935,60.6,32.02580645,20.19354839
4,121.2,28.49666667,17.80666667,79.31,26.98433333,17.126,88.2,29.28333333,17.42666667
5,60.8,27.25483871,14.70967742,24.59,26.46225806,14.11,29,28.03225806,13.92580645
6,0,27.77857143,15.58214286,1,27.17821429,15.44214286,1,28.43571429,15.33571429
7,0.2,28.14193548,13.50967742,0.17,27.99225806,14.05064516,0,29.0483871,12.48064516
8,34.6,28.82903226,15.03225806,18.83,29.15774194,15.26870968,28.2,29.85806452,14.7483871
9,63.4,30.78666667,17.32666667,61.24,31.59466667,17.79466667,63.6,30.73666667,17.05333333
10,284.6,30.78064516,19.90322581,171.8,29.2416129,20.03,228.9,30.7516129,19.72258065
11,363.2,28.38333333,19.59333333,306.08,27.25,19.122,346.3,28.36,19.31333333
12,214.8,30.6516129,19.48709677,177.43,28.77677419,19.65,186.3,30.59032258,19.41612903
1,66.6,31.66129032,19.57096774,84.65,29.62612903,19.72032258,76,31.50322581,19.50645161
2,401.4,30.25,19.86071429,264.91,28.41785714,20.3425,304.6,30.21785714,19.76785714
3,252.4,29.89354839,19.52258065,188.4,27.70580645,19.30290323,240.3,29.83548387,19.42903226
4,195.8,30.04074074,19.02222222,126.88,27.68851852,18.92074074,217.9,29.96296296,18.91111111
5,29.2,28.62580645,16.69354839,36.33,26.7583871,16.25258065,26.7,28.55806452,16.53548387
6,0,27.39,13.61333333,2.78,25.83366667,13.417,1.1,27.34,13.49666667
7,1.6,27.54230769,12.84230769,1.5,26.20576923,12.98153846,1,27.46153846,12.70769231
8,40.2,28.88709677,15.08709677,8.32,28.80903226,15.60903226,34.8,28.8516129,14.99032258
9,57.2,33.72666667,18.6,41.01,34.04266667,19.42233333,40.9,33.67666667,18.46333333
10,140.2,32.0862069,19.74827586,73.49,32.25068966,20.21275862,103.3,32.07241379,19.50689655
11,167.8,30.84,19.97,150.03,30.40433333,20.22133333,205.5,30.81,19.77
12,259.2,30.11935484,19.84516129,233.68,28.13741935,19.82258065,232.7,30.06451613,19.75806452
1,510.4,30.43548387,20.26774194,299.83,28.62709677,20.33741935,442.8,30.36129032,20.18709677
2,330,29.34827586,20.3,262.26,27.52862069,20.11068966,304.1,29.28965517,20.14137931
3,108,30.03333333,18.91666667,79.54,28.23266667,18.58066667,111.1,29.97666667,18.79333333
4,53.2,29.07333333,17.69,24.52,27.66166667,17.55933333,39.8,29.02333333,17.54
5,10,26.78214286,13.2,2.6,25.96857143,13.67642857,7,26.725,13.10714286
6,0,27.79333333,14.32,0.51,27.259,15.02066667,0.2,27.75,14.23
7,0,28.21935484,13.87741935,4.61,27.68967742,14.8583871,0,28.17741935,13.78709677
