Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
3,73.4,27.63,19.25,41.82,24.338,16.494,75.1,28.47,19.97
4,101.2,28.14333333,18.93333333,167.22,25.462,17.584,125,29.12666667,19.63333333
5,33.4,25.64814815,14.91481481,63.95,24.64,16.32703704,25,26.46666667,14.7962963
6,0,27.175,15.36785714,17.75,24.14571429,13.99642857,0,28.05357143,15.72857143
7,1.4,26.38333333,15.20666667,42.39,24.04666667,12.85433333,0.6,27.31333333,15.7
8,3.2,27.98,15.51666667,1.64,24.953,11.895,2.6,28.91666667,15.96333333
9,47.6,30.17,18.54666667,99.89,27.75933333,16.80066667,46.2,31.14,19.05333333
10,0,31.7,20.53333333,19.72,26.07,17.19833333,0,32.91666667,21.13333333
12,80.6,30.29285714,20.53571429,167.61,24.83285714,18.06428571,106.3,31.15,20.97142857
1,73.4,28,20.35,38.88,26.909,18.163,107,28.82,20.78
2,76.8,27.8125,19.025,16.29,27.88125,18.44875,61.6,28.55,19.575
3,158.2,28.7,19.06666667,154.41,27.254,18.52333333,147.2,29.50666667,19.54
4,0,30.23333333,18.56666667,30.93,24.04666667,16.96666667,0.8,31,19.26666667
1,157,28.50833333,19.575,194.45,25.6525,18.9025,204.9,29.41666667,20.35833333
2,40.6,29.99047619,19.80952381,113.33,27.51238095,18.07714286,34.8,30.75714286,20.38571429
3,151,28.58421053,20.42105263,197.73,25.83368421,18.04052632,214.2,29.45263158,21.17894737
5,3.6,25.55,16.575,0.01,24.405,13.23,1.8,26.3,17.1
6,41.2,25.54642857,15.56071429,0.59,21.565,9.221785714,30.1,26.40714286,16.03571429
7,0.2,26.12413793,14.76551724,0.56,22.6937931,10.27241379,0,26.99655172,15.39310345
8,3.2,28.45555556,16.31111111,0.77,25.83703704,12.62185185,5.7,29.46296296,16.87037037
9,25.4,29.84444444,18.76111111,22.3,29.19444444,16.01777778,28.6,30.83333333,19.48888889
10,44.4,32.53928571,21.11428571,88.8,28.76357143,17.25964286,42.9,33.52857143,21.60357143
11,40.4,27.8625,19.4875,29.04,29.0975,17.47,39.8,28.725,20.1
12,209.4,27.30333333,19.24666667,228.71,27.83233333,18.06566667,252,28.15333333,19.62666667
1,205,29.09677419,19.84193548,258.4,27.02677419,18.55387097,214.5,30.12580645,20.55806452
2,102,29.54782609,20.32173913,193.16,26.20782609,18.02086957,120.2,30.45652174,20.84347826
3,138.8,28.19285714,20.10357143,184.08,26.78107143,18.19285714,238.5,28.83571429,20.73928571
4,15.6,27.975,18.49583333,45.72,26.84458333,17.07625,55.5,28.6875,19.13333333
5,0.2,26.8,15.31428571,47.93,24.85357143,14.455,3.2,27.50714286,15.83571429
6,0.6,25.44827586,14.80344828,0.22,23.63655172,11.00655172,0.4,26.17241379,15.3
7,0,26.91666667,15.13,31.35,23.90666667,11.68533333,0,27.63,15.53666667
8,1.2,29.29,17.32,68.19,26.02866667,14.539,8.1,30.05333333,17.56
9,89.2,28.96,17.50333333,45.13,27.52233333,14.486,78.4,29.67333333,17.82666667
10,267.2,27.84516129,19.10645161,104.84,29.30709677,16.57806452,250.3,28.53225806,19.59677419
