Month,P,Tmax,Tmin,P_N,Tmax_N,Tmin_N,P_X,Tmax_X,Tmin_X
1,696,29.68064516,21.73870968,574.61,27.82419355,21.96258065,661.4,29.70967742,21.57741935
2,136.8,31.06785714,21.34285714,211.35,28.79464286,21.075,212,31.13571429,21.41785714
3,80.6,32.67419355,21.56129032,119.8,29.52451613,20.62870968,89.7,32.71290323,21.88387097
4,22.2,32.12333333,20.12333333,24.25,28.80333333,19.24766667,17.6,32.10333333,20.27333333
5,98.8,28.46666667,16.03333333,87.31,25.60933333,14.51166667,103.4,28.4,16.06
6,0.6,29.05,15.33666667,0.65,26.48766667,13.31833333,0.1,29.10666667,15.63
7,60.4,27.60333333,14.51333333,62.33,25.95733333,12.22,60.3,27.6,14.37333333
8,0,30.66774194,16.09677419,0.01,30.04935484,14.12354839,0,30.67096774,16.14516129
9,1,34.15666667,20.07,4.19,35.10066667,18.841,1.1,34.15,20.14333333
10,46.2,34.36129032,21.62580645,61.65,35.87645161,22.10354839,48.4,34.31290323,21.69354839
11,81,30.74,19.828,79.54,32.5248,20.8804,70.9,30.76,19.788
12,128.2,32.48387097,21.22580645,130.24,32.23516129,21.16580645,145.6,32.48387097,21.19032258
1,421.8,30.2,21.28709677,339.56,29.49290323,21.79967742,447.3,30.10322581,21.10322581
2,279,30.31428571,20.90357143,222.13,28.33928571,21.14214286,282.9,30.36785714,20.80714286
3,111.8,30.31290323,20.05483871,130.95,28.27387097,19.79612903,118.2,30.37419355,20.20322581
4,138,29.67666667,19.78,134.75,27.62266667,19.05733333,118.5,29.70333333,19.89666667
5,47.4,26.56774194,15.56774194,48.67,25.30451613,14.60483871,52.2,26.58387097,15.58387097
6,1.2,28.01666667,15.58666667,1.9,26.09766667,14.47166667,1.4,28.02333333,15.87
7,0,29.60967742,15.44193548,1.32,28.18548387,13.21516129,0,29.64516129,15.41290323
8,18.6,31.37419355,17.4516129,20.84,31.7716129,16.49096774,17.3,31.36774194,17.63225806
9,7.4,31.18666667,17.01,10.19,33.153,16.49666667,8.2,31.13,16.81
10,103.6,32.4516129,20.81290323,101.42,33.68709677,21.72580645,106.3,32.50645161,20.88709677
11,60,32.55,20.41,68.33,33.19166667,21.70966667,78.6,32.57333333,20.17
12,242.4,31.67741935,20.41612903,246.81,31.52451613,21.02064516,226.7,31.79677419,20.25806452
1,256.2,30.80322581,20.76774194,236.22,29.21387097,21.23774194,263.7,30.70322581,20.73225806
2,264.4,31.32857143,21.05714286,203.69,29.02642857,21.66642857,305.2,31.23214286,21.16785714
3,189,31.47741935,20.88709677,198.86,28.81419355,21.2316129,195.4,31.38064516,21.00967742
4,76.6,30.84333333,18.08,55.26,28.04433333,17.92333333,56.3,30.74333333,18.22
5,43,30.05483871,16.78064516,39.41,26.91645161,16.13548387,42.4,29.9516129,16.92580645
6,24.8,26.55,14.09,20.66,24.66,12.95766667,21.1,26.45,14.19
7,16.2,28.96451613,16.06129032,43.98,27.88225806,15.33387097,15,28.86451613,15.97419355
